Dong,복지_국민기초생활보장수급자_Autonomous Gu_Autonomous Gu,복지_국민기초생활보장수급자_Total recipients_Households,복지_국민기초생활보장수급자_Total recipients_Facility,복지_국민기초생활보장수급자_Total recipients_Persons,복지_국민기초생활보장수급자_General Recipients_Households,복지_국민기초생활보장수급자_General Recipients_Persons,복지_국민기초생활보장수급자_Conditional recipients_Households,복지_국민기초생활보장수급자_Conditional recipients_Persons,복지_국민기초생활보장수급자_Special recipients_Households,복지_국민기초생활보장수급자_Special recipients_Persons,복지_국민기초생활보장수급자_Institutional Recipients_Facility,복지_국민기초생활보장수급자_Institutional Recipients_Persons
Yeonhui-dong,Seodaemun-gu,332,1,486.0,307,419,21,60,4,6,1,1
Yonggang-dong,Mapo-gu,96,-,143.0,77,102,12,30,7,11,-,-
Daeheung-dong,Mapo-gu,241,-,304.0,207,240,28,52,6,12,-,-
Yeomni-dong,Mapo-gu,255,-,371.0,211,279,30,67,14,25,-,-
Sinsu-dong,Mapo-gu,118,-,154.0,102,123,12,22,4,9,-,-
Seogyo-dong,Mapo-gu,136,1,219.0,114,161,15,34,7,23,1,1
Hapjeong-dong,Mapo-gu,188,1,261.0,164,206,19,40,5,10,1,5
Mangwon 1(il)-dong,Mapo-gu,297,-,466.0,233,334,47,105,17,27,-,-
Mangwon 2(i)-dong,Mapo-gu,177,-,281.0,149,229,19,41,9,11,-,-
Yeonnam-dong,Mapo-gu,160,1,226.0,149,196,7,19,4,4,1,7
Seongsan 1(il)-dong,Mapo-gu,169,1,265.0,134,182,32,78,3,4,1,1
Seongsan 2(i)-dong,Mapo-gu,772,1,1494.0,599,1052,145,376,28,65,1,1
Sangam-dong,Mapo-gu,227,1,475.0,180,349,38,106,9,15,1,5
Dohwa-dong,Mapo-gu,245,-,339.0,218,299,17,27,10,13,-,-
Seogang-dong,Mapo-gu,161,1,223.0,134,173,20,38,7,11,1,1
gongdeok-dong,Mapo-gu,393,1,578.0,348,471,28,78,17,28,1,1
Ahyeon-dong,Mapo-gu,204,-,288.0,186,250,14,33,4,5,-,-
Mok 1(il)-dong,Yangcheon-gu,74,1,107.0,64,90,6,12,4,4,1,1
Mok 2(i)-dong,Yangcheon-gu,192,-,297.0,166,237,20,49,6,11,-,-
Mok 3(sam)-dong,Yangcheon-gu,258,1,384.0,222,286,33,92,3,4,1,2
Mok 4(sa)-dong,Yangcheon-gu,209,1,327.0,183,268,15,43,11,13,1,3
Sinwol 1(il)-dong,Yangcheon-gu,450,1,697.0,399,582,35,78,16,36,1,1
Sinwol 2(i)-dong,Yangcheon-gu,196,1,300.0,170,245,22,44,4,10,1,1
Sinwol 3(sam)-dong,Yangcheon-gu,375,1,569.0,313,413,49,116,13,25,1,15
Sinwol 4(sa)-dong,Yangcheon-gu,119,1,178.0,103,146,10,21,6,8,1,3
Sinwol 5(o)-dong,Yangcheon-gu,174,1,268.0,151,204,19,42,4,12,1,10
Sinwol 6(yuk)-dong,Yangcheon-gu,122,1,192.0,109,163,7,14,6,14,1,1
Sinwol 7(chil)-dong,Yangcheon-gu,221,1,333.0,194,255,22,67,5,10,1,1
Sinjeong 1(il)-dong,Yangcheon-gu,83,1,123.0,73,95,9,22,1,1,1,5
Sinjeong 2(i)-dong,Yangcheon-gu,238,1,337.0,206,273,19,38,13,21,1,5
Sinjeong 3(sam)-dong,Yangcheon-gu,587,1,954.0,498,742,68,168,21,34,1,10
Sinjeong 6(yuk)-dong,Yangcheon-gu,13,1,14.0,13,13,-,-,-,-,1,1
Sinjeong 7(chil)-dong,Yangcheon-gu,581,1,870.0,489,696,65,128,27,42,1,4
Mok 5(o)-dong,Yangcheon-gu,15,-,18.0,15,18,-,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,386,1,589.0,335,471,42,95,9,19,1,4
Yeomchang-dong,Gangseo-gu,70,1,100.0,61,81,4,10,5,8,1,1
Deungchon 1(il)-dong,Gangseo-gu,104,1,170.0,90,125,12,41,2,2,1,2
Deungchon 2(i)-dong,Gangseo-gu,84,1,125.0,78,113,6,11,-,-,1,1
Deungchon 3(sam)-dong,Gangseo-gu,2961,1,5276.0,2516,4233,393,936,52,106,1,1
Hwagokbon-dong,Gangseo-gu,506,1,842.0,439,690,62,139,5,9,1,4
Hwagok 2(i)-dong,Gangseo-gu,210,1,345.0,180,265,18,47,12,32,1,1
Hwagok 3(sam)-dong,Gangseo-gu,136,1,276.0,120,172,10,22,6,20,1,62
Hwagok 4(sa)-dong,Gangseo-gu,266,1,435.0,224,332,36,90,6,11,1,2
Hwagok 6(yuk)-dong,Gangseo-gu,257,-,399.0,211,308,42,85,4,6,-,-
Hwagok 8(pal)-dong,Gangseo-gu,200,1,283.0,173,234,20,39,7,9,1,1
Gayang 1(il)-dong,Gangseo-gu,37,1,44.0,36,41,1,2,-,-,1,1
Gayang 2(i)-dong,Gangseo-gu,1638,1,2611.0,1434,2121,167,410,37,79,1,1
Gayang 3(sam)-dong,Gangseo-gu,1098,1,1832.0,951,1499,110,262,37,70,1,1
Balsan 1(il)-dong,Gangseo-gu,245,-,465.0,207,367,29,72,9,26,-,-
Gonghang-dong,Gangseo-gu,240,1,318.0,226,288,9,18,5,11,1,1
Banghwa 1(il)-dong,Gangseo-gu,191,1,281.0,164,218,17,35,10,18,1,10
Banghwa 2(i)-dong,Gangseo-gu,637,1,930.0,582,808,50,111,5,7,1,4
Banghwa 3(sam)-dong,Gangseo-gu,1066,1,1671.0,950,1432,90,191,26,47,1,1
Hwagok 1(il)-dong,Gangseo-gu,425,1,624.0,369,516,51,97,5,7,1,4
Ujangsan-dong,Gangseo-gu,164,-,217.0,137,171,22,38,5,8,-,-
Sindorim-dong,Guro-gu,42,-,55.0,39,45,3,10,-,-,-,-
Guro 1(il)-dong,Guro-gu,23,-,32.0,23,32,-,-,-,-,-,-
Guro 3(sam)-dong,Guro-gu,123,-,163.0,112,143,7,14,4,6,-,-
Guro 4(sa)-dong,Guro-gu,389,1,572.0,345,478,37,79,7,14,1,1
Guro 5(o)-dong,Guro-gu,196,1,264.0,181,237,13,24,2,2,1,1
Gocheok 1(il)-dong,Guro-gu,140,1,207.0,119,157,18,38,3,3,1,9
Gocheok 2(i)-dong,Guro-gu,299,1,475.0,229,319,55,123,15,29,1,4
Gaebong 2(i)-dong,Guro-gu,179,-,281.0,157,236,19,35,3,10,-,-
Gaebong 3(sam)-dong,Guro-gu,195,1,347.0,164,268,23,57,8,19,1,3
Oryu 1(il)-dong,Guro-gu,277,1,416.0,228,303,39,94,10,18,1,1
Oryu 2(i)-dong,Guro-gu,328,1,589.0,258,376,51,121,19,44,1,48
Sugung-dong,Guro-gu,184,1,305.0,152,225,25,62,7,13,1,5
Garibong-dong,Guro-gu,509,-,666.0,438,523,58,120,13,23,-,-
Guro 2(i)-dong,Guro-gu,506,1,740.0,435,586,58,132,13,21,1,1
Gaebong 1(il)-dong,Guro-gu,356,1,525.0,311,433,38,78,7,12,1,2
Gasan-dong,Geumcheon-gu,396,-,507.0,334,399,51,86,11,22,-,-
Doksan 1(il)-dong,Geumcheon-gu,736,5,1221.0,629,994,96,198,11,17,5,12
Doksan 2(i)-dong,Geumcheon-gu,429,2,693.0,359,544,55,115,15,28,2,6
Doksan 3(sam)-dong,Geumcheon-gu,594,4,907.0,509,732,61,128,24,43,4,4
Doksan 4(sa)-dong,Geumcheon-gu,320,-,533.0,274,426,36,78,10,29,-,-
Siheung 1(il)-dong,Geumcheon-gu,605,5,886.0,496,650,80,172,29,55,5,9
Siheung 2(i)-dong,Geumcheon-gu,653,2,1053.0,509,743,117,251,27,48,2,11
Siheung 3(sam)-dong,Geumcheon-gu,122,1,178.0,102,145,13,24,7,8,1,1
Siheung 4(sa)-dong,Geumcheon-gu,475,-,784.0,375,566,71,155,29,63,-,-
Siheung 5(o)-dong,Geumcheon-gu,557,1,887.0,463,689,74,162,20,35,1,1
Yeouido-dong,Yeongdeungpo-gu,26,-,29.0,24,26,2,3,-,-,-,-
Dangsan 1(il)-dong,Yeongdeungpo-gu,240,-,329.0,202,260,32,57,6,12,-,-
Dangsan2(i)-dong,Yeongdeungpo-gu,115,1,161.0,101,136,9,19,5,5,1,1
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,113,-,154.0,102,135,8,16,3,3,-,-
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,106,-,134.0,89,103,9,18,8,13,-,-
Singil 1(il)-dong,Yeongdeungpo-gu,390,-,563.0,328,452,54,98,8,13,-,-
Singil 3(sam)-dong,Yeongdeungpo-gu,299,1,486.0,250,375,35,77,14,32,1,2
Singil 4(sa)-dong,Yeongdeungpo-gu,316,1,496.0,270,409,33,62,13,23,1,2
Singil 5(o)-dong,Yeongdeungpo-gu,337,-,574.0,269,428,54,111,14,35,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,283,1,412.0,256,355,19,35,8,19,1,3
Singil 7(chil)-dong,Yeongdeungpo-gu,119,-,188.0,101,153,10,18,8,17,-,-
Daerim 1(il)-dong,Yeongdeungpo-gu,324,1,497.0,278,378,35,90,11,21,1,8
Daerim 2(i)-dong,Yeongdeungpo-gu,354,-,539.0,318,462,23,53,13,24,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,383,1,589.0,340,511,31,57,12,20,1,1
Yeongdeungpobon-dong,Yeongdeungpo-gu,408,-,500.0,343,403,56,85,9,12,-,-
Yeongdeungpo-dong,Yeongdeungpo-gu,992,-,1063.0,857,909,122,137,13,17,-,-
Dorim-dong,Yeongdeungpo-gu,281,-,409.0,246,337,28,58,7,14,-,-
Mullae-dong,Yeongdeungpo-gu,160,-,177.0,146,158,10,15,4,4,-,-
Noryangjin 2(i)-dong,Dongjak-gu,229,1,322.0,208,278,14,23,7,12,1,9
Sangdo 1(il)-dong,Dongjak-gu,421,1,614.0,363,459,44,98,14,31,1,26
Sangdo 2(i)-dong,Dongjak-gu,177,1,277.0,156,227,15,35,6,11,1,4
Sangdo 3(sam)-dong,Dongjak-gu,297,1,502.0,243,355,40,97,14,33,1,17
Sangdo 4(sa)-dong,Dongjak-gu,307,1,499.0,251,360,42,107,14,29,1,3
Sadang 1(il)-dong,Dongjak-gu,179,1,247.0,157,207,14,28,8,10,1,2
Sadang 3(sam)-dong,Dongjak-gu,149,-,205.0,134,171,14,33,1,1,-,-
Sadang 4(sa)-dong,Dongjak-gu,162,-,236.0,144,193,17,40,1,3,-,-
Sadang 5(o)-dong,Dongjak-gu,122,-,215.0,97,137,15,55,10,23,-,-
Daebang-dong,Dongjak-gu,520,-,899.0,453,740,49,126,18,33,-,-
Sindaebang 1(il)-dong,Dongjak-gu,141,-,175.0,126,151,11,20,4,4,-,-
Sindaebang 2(i)-dong,Dongjak-gu,141,-,192.0,124,154,13,31,4,7,-,-
Heukseok-dong,Dongjak-gu,322,-,438.0,288,362,25,61,9,15,-,-
Noryangjin 1(il)-dong,Dongjak-gu,372,1,526.0,343,454,21,42,8,13,1,17
Sadang 2(i)-dong,Dongjak-gu,193,-,244.0,178,217,9,17,6,10,-,-
Boramae-dong,Gwanak-gu,284,1,474.0,230,321,40,102,14,31,1,20
Cheongnim-dong,Gwanak-gu,271,1,375.0,231,298,34,64,6,9,1,4
Haengun-dong,Gwanak-gu,469,-,693.0,389,511,77,176,3,6,-,-
Nagseongdae-dong,Gwanak-gu,130,-,176.0,106,140,17,26,7,10,-,-
Jungang-dong,Gwanak-gu,165,-,227.0,140,183,22,40,3,4,-,-
Inheon-dong,Gwanak-gu,150,1,201.0,124,155,19,34,7,8,1,4
Namhyeon-dong,Gwanak-gu,76,1,102.0,65,69,7,16,4,7,1,10
Sewon-dong,Gwanak-gu,242,-,388.0,188,269,33,73,21,46,-,-
Sinwon-dong,Gwanak-gu,326,1,510.0,259,370,53,117,14,22,1,1
Serim-dong,Gwanak-gu,269,1,401.0,219,290,41,91,9,16,1,4
Sinsa-dong,Gwanak-gu,318,1,499.0,268,375,47,113,3,7,1,4
Sillim-dong,Gwanak-gu,171,1,228.0,144,182,19,31,8,13,1,2
Nanhyang-dong,Gwanak-gu,232,-,351.0,186,253,39,83,7,15,-,-
Jowon-dong,Gwanak-gu,191,-,257.0,158,202,25,42,8,13,-,-
Daehak-dong,Gwanak-gu,204,1,272.0,147,183,49,76,8,12,1,1
Euncheon-dong,Gwanak-gu,574,1,898.0,465,658,83,188,26,47,1,5
Seonghyeon-dong,Gwanak-gu,693,1,1123.0,554,842,98,206,41,73,1,2
Cheongnyong-dong,Gwanak-gu,350,1,489.0,298,402,44,69,8,13,1,5
Nangok-dong,Gwanak-gu,615,1,987.0,489,695,101,235,25,56,1,1
Samseong-dong,Gwanak-gu,571,-,872.0,476,657,71,159,24,56,-,-
Miseong-dong,Gwanak-gu,464,1,768.0,356,523,84,199,24,44,1,2
Seocho 1(il)-dong,Seocho-gu,147,1,237.0,132,207,12,23,3,5,1,2
Seocho 2(i)-dong,Seocho-gu,44,-,54.0,41,48,3,6,-,-,-,-
Seocho 3(sam)-dong,Seocho-gu,120,-,152.0,116,140,4,12,-,-,-,-
Seocho 4(sa)-dong,Seocho-gu,14,-,17.0,14,17,-,-,-,-,-,-
Jamwon-dong,Seocho-gu,111,-,138.0,106,129,3,7,2,2,-,-
Banpobon-dong,Seocho-gu,5,-,5.0,5,5,-,-,-,-,-,-
Banpo 1(il)-dong,Seocho-gu,107,1,152.0,101,136,4,11,2,2,1,3
Banpo 2(i)-dong,Seocho-gu,6,-,7.0,6,7,-,-,-,-,-,-
Banpo 3(sam)-dong,Seocho-gu,12,-,13.0,11,12,1,1,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,30,-,42.0,30,42,-,-,-,-,-,-
Bangbaebon-dong,Seocho-gu,78,-,121.0,70,101,8,20,-,-,-,-
Bangbae 1(il)-dong,Seocho-gu,85,-,112.0,80,98,2,6,3,8,-,-
Bangbae 2(i)-dong,Seocho-gu,151,1,225.0,136,194,13,28,2,2,1,1
Bangbae 3(sam)-dong,Seocho-gu,68,1,100.0,62,90,5,9,1,1,1,-
Bangbae 4(sa)-dong,Seocho-gu,126,-,167.0,119,148,6,16,1,3,-,-
Yangjae 1(il)-dong,Seocho-gu,624,1,1136.0,550,930,66,186,8,18,1,2
Yangjae 2(i)-dong,Seocho-gu,180,-,260.0,165,226,14,33,1,1,-,-
Naegok-dong,Seocho-gu,76,2,104.0,71,85,5,12,-,-,2,7
Sinsa-dong,Gangnam-gu,69,-,107.0,56,70,9,24,4,12,-,1
Nonhyeon 1(il)-dong,Gangnam-gu,203,1,299.0,175,237,23,53,5,7,1,2
Nonhyeon 2(i)-dong,Gangnam-gu,167,-,289.0,128,199,33,78,6,8,-,4
Samseong 1(il)-dong,Gangnam-gu,35,-,68.0,29,52,6,16,-,-,-,-
Samseong 2(i)-dong,Gangnam-gu,131,-,210.0,99,131,29,72,3,7,-,-
Daechi 1(il)-dong,Gangnam-gu,7,-,16.0,3,4,4,12,-,-,-,-
Daechi 4(sa)-dong,Gangnam-gu,80,-,123.0,64,96,15,26,1,1,-,-
Yeoksam 1(il)-dong,Gangnam-gu,219,-,330.0,174,236,44,90,1,1,-,3
Yeoksam 2(i)-dong,Gangnam-gu,151,1,295.0,135,181,13,24,3,4,1,86
Dogok 1(il)-dong,Gangnam-gu,38,-,46.0,36,40,2,5,-,-,-,1
Dogok 2(i)-dong,Gangnam-gu,12,1,20.0,10,11,1,2,1,2,1,5
Gaepo 1(il)-dong,Gangnam-gu,239,-,363.0,212,304,24,53,3,6,-,-
Gaepo 4(sa)-dong,Gangnam-gu,283,1,470.0,222,321,59,144,2,2,1,3
Irwonbon-dong,Gangnam-gu,22,1,60.0,20,34,2,7,-,-,1,19
Irwon 1(il)-dong,Gangnam-gu,693,-,1202.0,584,956,88,205,21,40,-,1
Irwon 2(i)-dong,Gangnam-gu,569,-,918.0,493,747,63,141,13,30,-,-
Suseo-dong,Gangnam-gu,1705,1,2818.0,1481,2299,202,462,22,55,1,2
Segok-dong,Gangnam-gu,265,-,509.0,214,371,44,123,7,15,-,-
Apgujeong -dong,Gangnam-gu,28,-,35.0,24,28,3,5,1,2,-,-
Cheongdam -dong,Gangnam-gu,102,-,164.0,85,124,13,27,4,13,-,-
Daechi 2(i)-dong,Gangnam-gu,59,-,89.0,54,81,5,8,-,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,134,-,207.0,109,146,21,55,4,6,-,-
Pungnap 1(il)-dong,Songpa-gu,231,-,329.0,199,269,27,51,5,9,-,-
Pungnap 2(i)-dong,Songpa-gu,126,-,191.0,111,159,13,28,2,4,-,-
Geoyeo 1(il)-dong,Songpa-gu,179,-,280.0,150,223,19,41,10,16,-,-
Geoyeo 2(i)-dong,Songpa-gu,395,-,587.0,354,510,30,61,11,16,-,-
Macheon 1(il)-dong,Songpa-gu,402,-,644.0,349,523,37,95,16,26,-,-
Macheon 2(i)-dong,Songpa-gu,351,1,545.0,312,447,30,78,9,14,1,6
Bangi 1(il)-dong,Songpa-gu,72,-,128.0,60,87,8,24,4,17,-,-
Bangi 2(i)-dong,Songpa-gu,153,-,247.0,136,206,13,33,4,8,-,-
Oryun-dong,Songpa-gu,4,-,4.0,4,4,-,-,-,-,-,-
Ogeum-dong,Songpa-gu,211,1,355.0,192,305,14,34,5,14,1,2
Songpa 1(il)-dong,Songpa-gu,99,1,154.0,81,102,14,39,4,12,1,1
Songpa 2(i)-dong,Songpa-gu,62,-,94.0,57,79,4,13,1,2,-,-
Seokchon-dong,Songpa-gu,291,1,438.0,241,321,38,91,12,25,1,1
Samjeon-dong,Songpa-gu,246,1,379.0,210,304,25,57,11,16,1,2
Garakbon-dong,Songpa-gu,120,1,185.0,100,138,13,35,7,11,1,1
Garak 1(il)-dong,Songpa-gu,6,-,9.0,5,8,1,1,-,-,-,-
Garak 2(i)-dong,Songpa-gu,92,-,163.0,75,121,9,20,8,22,-,-
Munjeong 1(il)-dong,Songpa-gu,96,-,137.0,86,116,8,18,2,3,-,-
Munjeong 2(i)-dong,Songpa-gu,30,-,37.0,29,34,-,-,1,3,-,-
Jangji-dong,Songpa-gu,302,1,583.0,250,454,42,109,10,17,1,3
Jamsilbon-dong,Songpa-gu,205,-,314.0,174,247,23,51,8,16,-,-
Jamsil 4(sa)-dong,Songpa-gu,12,-,15.0,11,11,1,4,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,10,-,13.0,9,12,-,-,1,1,-,-
Jamsil 7(chil)-dong,Songpa-gu,2,-,3.0,2,3,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,6,-,6.0,6,6,-,-,-,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,16,-,20.0,15,17,1,3,-,-,-,-
Gangil-dong,Gangdong-gu,258,-,548.0,206,402,33,101,19,45,-,-
Sangil-dong,Gangdong-gu,118,1,196.0,109,163,9,31,-,-,1,2
Myeongil 1(il)-dong,Gangdong-gu,109,-,166.0,92,125,10,26,7,15,-,-
Myeongil 2(i)-dong,Gangdong-gu,44,-,78.0,35,58,5,15,4,5,-,-
Godeok 1(il)-dong,Gangdong-gu,121,1,210.0,108,156,12,40,1,1,1,13
Godeok 2(i)-dong,Gangdong-gu,270,1,415.0,237,337,20,55,13,21,1,2
Amsa 2(i)-dong,Gangdong-gu,58,-,71.0,49,54,6,12,3,5,-,-
Amsa 3(sam)-dong,Gangdong-gu,36,1,54.0,33,43,2,8,1,1,1,2
Cheonho 1(il)-dong,Gangdong-gu,404,1,558.0,334,409,57,117,13,22,1,10
Cheonho 3(sam)-dong,Gangdong-gu,467,-,654.0,400,531,51,97,16,26,-,-
Seongnae 1(il)-dong,Gangdong-gu,73,-,114.0,60,87,8,19,5,8,-,-
Seongnae 2(i)-dong,Gangdong-gu,316,-,413.0,279,342,28,58,9,13,-,-
Seongnae 3(sam)-dong,Gangdong-gu,186,1,298.0,149,210,27,62,10,24,1,2
Dunchon 1(il)-dong,Gangdong-gu,22,-,31.0,20,26,2,5,-,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,178,1,299.0,149,221,27,69,2,4,1,5
Amsa 1(il)-dong,Gangdong-gu,531,1,834.0,448,647,63,144,20,41,1,2
Cheonho 2(i)-dong,Gangdong-gu,663,1,962.0,577,780,69,152,17,27,1,3
Gil-dong,Gangdong-gu,362,1,571.0,308,443,39,91,15,35,1,2
