Dong,산업_금융기관_Autonomous Gu_Autonomous Gu_Autonomous Gu,산업_금융기관_Financial Institutions_Total_Total,산업_금융기관_Financial Institutions_Bank of Korea_Bank of Korea,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Wooribank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Standard Chartered First Bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Kookmin,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Korea Exchange bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Shinhan bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Citibank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Hanabank,산업_금융기관_Financial Institutions_Localbank_Localbank,산업_금융기관_Financial Institutions_Chartered bank_Industrial bank of korea,산업_금융기관_Financial Institutions_Chartered bank_N.A.C.F.,산업_금융기관_Financial Institutions_Chartered bank_N.F.F.C.,산업_금융기관_Financial Institutions_Chartered bank_Korea Develop-ment bank,산업_금융기관_Financial Institutions_Other banks_Exports Imports bank,산업_금융기관_Financial Institutions_Other banks_Foreign bank in korea
Sajik-dong,Jongno-gu,24.0,-,2,1,2,3,2,2,2,-,1,4,-,1,-,4
Samcheong-dong,Jongno-gu,5.0,-,2,-,-,-,-,-,1,-,-,2,-,-,-,-
Buam-dong,Jongno-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Pyeongchang-dong,Jongno-gu,5.0,-,1,-,1,1,1,-,1,-,-,-,-,-,-,-
Muak-dong,Jongno-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Gyonam-dong,Jongno-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Gahoe-dong,Jongno-gu,4.0,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,59.0,-,9,7,11,4,5,1,4,-,4,6,-,1,-,7
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,12.0,-,3,-,2,2,2,-,1,-,1,-,1,-,-,-
Ihwa-dong,Jongno-gu,6.0,-,-,-,1,-,2,-,-,-,1,2,-,-,-,-
Changsin 1(il)-dong,Jongno-gu,5.0,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-
Changsin 2(i)-dong,Jongno-gu,2.0,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Sungin 1(il)-dong,Jongno-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sungin 2(i)-dong,Jongno-gu,5.0,-,1,-,-,1,1,-,1,-,-,1,-,-,-,-
Cheongunhyoja-dong,Jongno-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Hyehwa-dong,Jongno-gu,6.0,-,2,-,2,-,1,-,1,-,-,-,-,-,-,-
Sogong-dong,Jung-gu,46.0,1,3,4,5,4,12,-,3,1,1,4,-,1,-,7
Hoehyeon-dong,Jung-gu,26.0,-,8,1,4,2,2,-,2,-,2,3,-,-,-,2
Myeong-dong,Jung-gu,86.0,-,9,3,9,5,12,5,8,6,7,3,2,1,-,16
Pil-dong,Jung-gu,7.0,-,2,1,-,-,2,-,1,-,-,1,-,-,-,-
Jangchung-dong,Jung-gu,6.0,-,2,-,1,-,2,-,1,-,-,-,-,-,-,-
Gwanghui-dong ,Jung-gu,18.0,-,5,1,3,1,1,-,2,-,3,1,1,-,-,-
Euljiro-dong,Jung-gu,13.0,-,3,1,2,-,3,-,1,-,1,2,-,-,-,-
Sindang 5(o)-dong,Jung-gu,3.0,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
Hwanghak-dong,Jung-gu,5.0,-,1,-,1,-,1,-,-,-,2,-,-,-,-,-
Jungnim-dong,Jung-gu,2.0,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
Sindang-dong,Jung-gu,7.0,-,1,-,2,-,2,-,-,-,-,-,2,-,-,-
Dasan-dong,Jung-gu,4.0,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-
Yaksu-dong,Jung-gu,3.0,-,1,-,-,-,1,-,-,-,1,-,-,-,-,-
Cheonggu-dong,Jung-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Donghwa-dong,Jung-gu,2.0,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-
Huam-dong,Yongsan-gu,2.0,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Yongsan 2-ga-dong,Yongsan-gu,1.0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Namyeong-dong,Yongsan-gu,10.0,-,2,2,1,1,-,-,1,-,2,1,-,-,-,-
Wonhyoro 2(i)-dong,Yongsan-gu,5.0,-,1,1,1,-,1,-,-,-,1,-,-,-,-,-
Hyochang-dong,Yongsan-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Ichon 1(il)-dong,Yongsan-gu,17.0,-,1,1,3,1,3,2,3,-,1,1,-,1,-,-
Itaewon 1(il)-dong,Yongsan-gu,8.0,-,1,1,1,2,1,-,-,-,2,-,-,-,-,-
Itaewon 2(i)-dong,Yongsan-gu,5.0,-,1,-,1,-,1,-,-,-,1,1,-,-,-,-
Seobinggo-dong,Yongsan-gu,3.0,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
Bogwang-dong,Yongsan-gu,2.0,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Cheongpa-dong,Yongsan-gu,4.0,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-
Wonhyoro 1(il)-dong,Yongsan-gu,3.0,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-
Hangangno-dong,Yongsan-gu,23.0,-,6,1,3,-,3,1,5,-,1,3,-,-,-,-
Hannam-dong,Yongsan-gu,12.0,-,2,-,1,1,1,1,3,-,2,1,-,-,-,-
Wangsimni 2(i)-dong,Seongdong-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Majang-dong,Seongdong-gu,5.0,-,1,2,1,-,-,-,-,-,1,-,-,-,-,-
Sageun-dong,Seongdong-gu,4.0,-,-,-,1,-,2,-,1,-,-,-,-,-,-,-
Haengdang 1(il)-dong,Seongdong-gu,6.0,-,2,-,2,-,-,-,1,-,-,1,-,-,-,-
Haengdang 2(i)-dong,Seongdong-gu,3.0,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
Eungbong-dong,Seongdong-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Geumho 1(il)-ga-dong,Seongdong-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Geumho 4(sa)-ga-dong,Seongdong-gu,4.0,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,3.0,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,4.0,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,3.0,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,15.0,-,2,2,2,1,2,1,1,-,2,1,-,1,-,-
Yongdap-dong,Seongdong-gu,3.0,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
WangsimniDoseon-dong,Seongdong-gu,4.0,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,3.0,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-
Oksu-dong,Seongdong-gu,3.0,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-
Hwayang-dong,Gwangjin-gu,10.0,-,-,-,2,2,2,-,1,-,1,1,1,-,-,-
Gunja-dong,Gwangjin-gu,4.0,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-
Junggok 1(il)-dong,Gwangjin-gu,4.0,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-
Junggok 2(i)-dong,Gwangjin-gu,4.0,-,-,-,1,-,1,-,1,-,1,-,-,-,-,-
Junggok 3(sam)-dong,Gwangjin-gu,1.0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Junggok 4(sa)-dong,Gwangjin-gu,2.0,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Guui 1(il)-dong,Gwangjin-gu,5.0,-,-,1,-,-,1,-,1,-,1,1,-,-,-,-
Guui 2(i)-dong,Gwangjin-gu,3.0,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-
Guui 3(sam)-dong,Gwangjin-gu,10.0,-,1,1,3,-,2,1,1,-,-,-,-,-,-,1
Gwangjang-dong,Gwangjin-gu,10.0,-,2,-,1,1,2,1,2,-,1,-,-,-,-,-
Jayang 1(il)-dong,Gwangjin-gu,3.0,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Jayang 2(i)-dong,Gwangjin-gu,3.0,-,-,1,1,-,1,-,-,-,-,-,-,-,-,-
Jayang 3(sam)-dong,Gwangjin-gu,7.0,-,1,1,3,-,1,-,1,-,-,-,-,-,-,-
Jayang 4(sa)-dong,Gwangjin-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Hoegi-dong,Dongdaemun-gu,6.0,-,2,-,1,-,-,-,3,-,-,-,-,-,-,-
Hwigyeong 1(il)-dong,Dongdaemun-gu,2.0,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
Hwigyeong 2(i)-dong,Dongdaemun-gu,2.0,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-
Cheongnyangni-dong,Dongdaemun-gu,7.0,-,1,1,1,1,-,-,1,-,1,1,-,-,-,-
Yongsin-dong,Dongdaemun-gu,11.0,-,1,1,2,-,-,1,1,-,2,2,1,-,-,-
Jegi-dong,Dongdaemun-gu,9.0,-,1,-,2,1,2,-,-,-,1,1,1,-,-,-
Jeonnong 1(il)-dong,Dongdaemun-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Jeonnong 2(i)-dong,Dongdaemun-gu,4.0,-,1,-,-,-,1,-,1,-,-,1,-,-,-,-
Dapsimni 1(il)-dong,Dongdaemun-gu,8.0,-,1,1,1,-,2,-,1,-,1,1,-,-,-,-
Dapsimni 2(i)-dong,Dongdaemun-gu,1.0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Jangan 1(il)-dong,Dongdaemun-gu,12.0,-,3,1,2,-,1,-,2,-,1,1,1,-,-,-
Jangan 2(i)-dong,Dongdaemun-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Imun 1(il)-dong,Dongdaemun-gu,4.0,-,2,-,1,-,-,-,-,-,-,1,-,-,-,-
Myeonmok 2(i)-dong,Jungnang-gu,1.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Myeonmok 5(o)-dong,Jungnang-gu,2.0,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
Myeonmok 7(chil)-dong,Jungnang-gu,3.0,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-
Sangbong 1(il)-dong,Jungnang-gu,1.0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Sangbong 2(i)-dong,Jungnang-gu,4.0,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
Junghwa 1(il)-dong,Jungnang-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Junghwa 2(i)-dong,Jungnang-gu,4.0,-,1,-,1,-,-,-,-,-,-,1,1,-,-,-
Muk 1(il)-dong,Jungnang-gu,4.0,-,1,-,-,1,1,-,1,-,-,-,-,-,-,-
Muk 2(i)-dong,Jungnang-gu,3.0,-,-,1,1,-,-,-,-,-,1,-,-,-,-,-
Mangu 3(sam)-dong,Jungnang-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sinnae 1(il)-dong,Jungnang-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Sinnae 2(i)-dong,Jungnang-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Myeonmokbon-dong,Jungnang-gu,3.0,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Mangubon-dong,Jungnang-gu,5.0,-,1,-,2,-,1,-,1,-,-,-,-,-,-,-
Donam 1(il)-dong,Seongbuk-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Donam 2(i)-dong,Seongbuk-gu,4.0,-,1,-,-,-,2,-,1,-,-,-,-,-,-,-
Anam-dong,Seongbuk-gu,8.0,-,1,-,1,-,-,-,5,-,1,-,-,-,-,-
Bomun-dong,Seongbuk-gu,4.0,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-
Jeongneung 2(i)-dong,Seongbuk-gu,4.0,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-
Jeongneung 3(sam)-dong,Seongbuk-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Jeongneung 4(sa)-dong,Seongbuk-gu,4.0,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-
Gireum 1(il)-dong,Seongbuk-gu,7.0,-,1,1,1,-,2,-,1,-,-,1,-,-,-,-
Gireum 2(i)-dong,Seongbuk-gu,3.0,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-
Wolgok 1(il)-dong,Seongbuk-gu,6.0,-,2,1,1,-,1,-,1,-,-,-,-,-,-,-
Wolgok 2(i)-dong,Seongbuk-gu,5.0,-,1,-,1,-,1,-,1,-,-,1,-,-,-,-
Jangwi 1(il)-dong,Seongbuk-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Jangwi 2(i)-dong,Seongbuk-gu,3.0,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
Jangwi 3(sam)-dong,Seongbuk-gu,2.0,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
Seongbuk-dong,Seongbuk-gu,4.0,-,-,-,-,-,1,-,1,-,-,1,1,-,-,-
Samseon-dong,Seongbuk-gu,9.0,-,3,1,1,1,1,-,1,-,1,-,-,-,-,-
Dongseon-dong,Seongbuk-gu,3.0,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
Jongam-dong,Seongbuk-gu,4.0,-,-,-,2,-,-,-,1,-,1,-,-,-,-,-
Seokgwan-dong,Seongbuk-gu,6.0,-,2,1,1,1,-,-,-,-,-,1,-,-,-,-
Beon 1(il)-dong,Gangbuk-gu,4.0,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-
Beon 3(sam)-dong,Gangbuk-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Suyu 1(il)-dong,Gangbuk-gu,3.0,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-
Suyu 2(i)-dong,Gangbuk-gu,2.0,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Suyu 3(sam)-dong,Gangbuk-gu,8.0,-,2,-,1,1,1,-,-,-,1,1,1,-,-,-
Samyang-dong,Gangbuk-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Mia-dong,Gangbuk-gu,2.0,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
Songjung-dong,Gangbuk-gu,2.0,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Songcheon-dong,Gangbuk-gu,6.0,-,1,-,1,-,1,-,1,-,1,1,-,-,-,-
Samgaksan-dong,Gangbuk-gu,6.0,-,1,-,2,-,1,-,2,-,-,-,-,-,-,-
Ui-dong,Gangbuk-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Insu-dong,Gangbuk-gu,1.0,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Ssangmun 1(il)-dong,Dobong-gu,2.0,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
Ssangmun 2(i)-dong,Dobong-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Ssangmun 3(sam)-dong,Dobong-gu,2.0,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Ssangmun 4(sa)-dong,Dobong-gu,2.0,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Banghak 1(il)-dong,Dobong-gu,8.0,-,2,-,1,-,2,1,-,-,1,1,-,-,-,-
Banghak 3(sam)-dong,Dobong-gu,4.0,-,1,1,1,-,-,-,1,-,-,-,-,-,-,-
Chang 1(il)-dong,Dobong-gu,4.0,-,1,-,1,-,1,-,-,-,1,-,-,-,-,-
Chang 2(i)-dong,Dobong-gu,1.0,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Chang 4(sa)-dong,Dobong-gu,4.0,-,1,-,1,-,1,-,-,-,-,1,-,-,-,-
Chang 5(o)-dong,Dobong-gu,5.0,-,1,-,1,1,1,-,1,-,-,-,-,-,-,-
Dobong 1(il)-dong,Dobong-gu,2.0,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Dobong 2(i)-dong,Dobong-gu,3.0,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-
Wolgye 1(il)-dong,Nowon-gu,3.0,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-
Wolgye 2(i)-dong,Nowon-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Wolgye 3(sam)-dong,Nowon-gu,3.0,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-
Gongneung 2(i)-dong,Nowon-gu,6.0,-,2,-,1,-,-,-,1,-,1,1,-,-,-,-
Hagye 1(il)-dong,Nowon-gu,5.0,-,1,-,1,-,1,-,1,-,-,1,-,-,-,-
Hagye 2(i)-dong,Nowon-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Junggyebon-dong,Nowon-gu,3.0,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-
Junggye 1(il)-dong,Nowon-gu,5.0,-,2,-,1,-,-,-,1,-,-,-,-,1,-,-
Junggye 4(sa)-dong,Nowon-gu,2.0,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
Sanggye 1(il)-dong,Nowon-gu,2.0,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Sanggye 2(i)-dong,Nowon-gu,2.0,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
Sanggye 5(o)-dong,Nowon-gu,2.0,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-
Sanggye 8(pal)-dong,Nowon-gu,4.0,-,1,-,-,-,1,-,-,-,1,1,-,-,-,-
Sanggye 9(gu)-dong,Nowon-gu,4.0,-,-,1,1,-,1,-,1,-,-,-,-,-,-,-
Sanggye 10(sip)-dong,Nowon-gu,1.0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
Sanggye 3.4(sam.sa)-dong,Nowon-gu,3.0,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,15.0,-,4,1,2,1,1,1,2,-,-,2,-,1,-,-
Junggye 2.3(i.sam)-dong,Nowon-gu,3.0,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
Gongneung 1(il)-dong,Nowon-gu,7.0,-,1,-,2,-,1,-,-,-,1,1,1,-,-,-
Nokbeon-dong,Eunpyeong-gu,2.0,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-
Bulgwang 1(il)-dong,Eunpyeong-gu,6.0,-,-,-,2,-,1,1,1,-,-,1,-,-,-,-
Galhyeon 1(il)-dong,Eunpyeong-gu,4.0,-,-,-,1,1,1,-,-,-,-,1,-,-,-,-
Galhyeon 2(i)-dong,Eunpyeong-gu,3.0,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-
Daejo-dong,Eunpyeong-gu,7.0,-,2,1,1,-,1,-,1,-,1,-,-,-,-,-
Eungam 1(il)-dong,Eunpyeong-gu,7.0,-,1,1,1,1,1,-,-,-,1,1,-,-,-,-
Eungam 2(i)-dong,Eunpyeong-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sinsa 1(il)-dong,Eunpyeong-gu,2.0,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
Susaek-dong,Eunpyeong-gu,3.0,-,-,-,1,-,1,-,-,-,1,-,-,-,-,-
Jingwan-dong,Eunpyeong-gu,9.0,-,2,-,1,1,2,-,1,-,1,1,-,-,-,-
Bulgwang 2(i)-dong,Eunpyeong-gu,1.0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Eungam 3(sam)-dong,Eunpyeong-gu,4.0,-,1,-,1,-,-,-,1,-,-,-,1,-,-,-
Yeokchon-dong,Eunpyeong-gu,4.0,-,1,-,1,-,1,-,1,-,-,-,-,-,-,-
Cheonyeon-dong,Seodaemun-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Hongje 1(il)-dong,Seodaemun-gu,3.0,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-
Hongje 3(sam)-dong,Seodaemun-gu,3.0,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
Hongje 2(i)-dong,Seodaemun-gu,3.0,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-
Hongeun 1(il)-dong,Seodaemun-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Hongeun 2(i)-dong,Seodaemun-gu,4.0,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-
Namgajwa 1(il)-dong,Seodaemun-gu,3.0,-,-,-,1,1,-,-,-,-,-,1,-,-,-,-
Namgajwa 2(i)-dong,Seodaemun-gu,5.0,-,1,1,1,-,1,-,1,-,-,-,-,-,-,-
Bukgajwa 1(il)-dong,Seodaemun-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Bukgajwa 2(i)-dong,Seodaemun-gu,4.0,-,1,-,-,-,-,-,2,-,1,-,-,-,-,-
