Dong,산업_금융기관_Autonomous Gu_Autonomous Gu_Autonomous Gu,산업_금융기관_Financial Institutions_Total_Total,산업_금융기관_Financial Institutions_Bank of Korea_Bank of Korea,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Wooribank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Standard Chartered First Bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Kookmin,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Korea Exchange bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Shinhan bank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Citibank,산업_금융기관_Financial Institutions_Nation-wide commercial banks_Hanabank,산업_금융기관_Financial Institutions_Localbank_Localbank,산업_금융기관_Financial Institutions_Chartered bank_Industrial bank of korea,산업_금융기관_Financial Institutions_Chartered bank_N.A.C.F.,산업_금융기관_Financial Institutions_Chartered bank_N.F.F.C.,산업_금융기관_Financial Institutions_Chartered bank_Korea Develop-ment bank,산업_금융기관_Financial Institutions_Other banks_Exports Imports bank,산업_금융기관_Financial Institutions_Other banks_Foreign bank in korea
Chunghyeon-dong,Seodaemun-gu,9.0,-,1,-,2,-,2,-,1,-,-,2,-,1,-,-
Bugahyeon-dong,Seodaemun-gu,2.0,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
Sinchon-dong,Seodaemun-gu,16.0,-,3,1,4,-,4,-,2,-,1,1,-,-,-,-
Yeonhui-dong,Seodaemun-gu,10.0,-,2,1,1,1,1,1,1,-,1,1,-,-,-,-
Yonggang-dong,Mapo-gu,11.0,-,1,1,1,1,1,1,2,-,1,1,1,-,-,-
Daeheung-dong,Mapo-gu,6.0,-,3,-,1,1,1,-,-,-,-,-,-,-,-,-
Yeomni-dong,Mapo-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Sinsu-dong,Mapo-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Seogyo-dong,Mapo-gu,27.0,-,4,2,4,1,4,1,5,-,1,3,1,1,-,-
Hapjeong-dong,Mapo-gu,4.0,-,1,1,1,-,-,-,-,-,-,1,-,-,-,-
Mangwon 1(il)-dong,Mapo-gu,2.0,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
Mangwon 2(i)-dong,Mapo-gu,3.0,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
Yeonnam-dong,Mapo-gu,1.0,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Seongsan 1(il)-dong,Mapo-gu,3.0,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-
Seongsan 2(i)-dong,Mapo-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Sangam-dong,Mapo-gu,11.0,-,3,-,1,1,2,-,1,-,2,1,-,-,-,-
Dohwa-dong,Mapo-gu,9.0,-,1,1,1,1,1,-,1,1,1,1,-,-,-,-
Seogang-dong,Mapo-gu,3.0,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-
gongdeok-dong,Mapo-gu,12.0,-,2,-,1,-,4,-,2,-,1,1,1,-,-,-
Ahyeon-dong,Mapo-gu,9.0,-,1,1,2,1,1,-,1,-,1,1,-,-,-,-
Mok 1(il)-dong,Yangcheon-gu,15.0,-,1,1,2,2,4,1,2,-,1,1,-,-,-,-
Mok 2(i)-dong,Yangcheon-gu,2.0,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Mok 3(sam)-dong,Yangcheon-gu,4.0,-,-,1,1,-,1,-,-,-,1,-,-,-,-,-
Mok 4(sa)-dong,Yangcheon-gu,3.0,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,4.0,-,1,-,1,-,-,-,1,-,-,1,-,-,-,-
Sinwol 2(i)-dong,Yangcheon-gu,2.0,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Sinwol 3(sam)-dong,Yangcheon-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,2.0,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,2.0,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-
Sinjeong 1(il)-dong,Yangcheon-gu,5.0,-,-,1,1,-,2,-,1,-,-,-,-,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,5.0,-,2,-,1,-,2,-,-,-,-,-,-,-,-,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,9.0,-,3,1,1,-,1,1,1,-,1,-,-,-,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,6.0,-,-,1,1,1,2,-,1,-,-,-,-,-,-,-
Mok 5(o)-dong,Yangcheon-gu,13.0,-,1,2,3,2,2,1,1,-,1,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,8.0,-,2,1,1,-,-,-,1,-,1,1,1,-,-,-
Yeomchang-dong,Gangseo-gu,5.0,-,2,-,1,-,1,-,-,-,1,-,-,-,-,-
Deungchon 1(il)-dong,Gangseo-gu,4.0,-,-,-,-,-,1,-,-,-,2,1,-,-,-,-
Deungchon 2(i)-dong,Gangseo-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Deungchon 3(sam)-dong,Gangseo-gu,7.0,-,1,-,2,-,1,-,1,-,1,1,-,-,-,-
Hwagokbon-dong,Gangseo-gu,2.0,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Hwagok 3(sam)-dong,Gangseo-gu,3.0,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-
Hwagok 4(sa)-dong,Gangseo-gu,3.0,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-
Hwagok 6(yuk)-dong,Gangseo-gu,5.0,-,2,-,1,-,1,-,1,-,-,-,-,-,-,-
Hwagok 8(pal)-dong,Gangseo-gu,3.0,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,2.0,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Gayang 2(i)-dong,Gangseo-gu,3.0,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-
Balsan 1(il)-dong,Gangseo-gu,7.0,-,2,-,2,-,1,-,-,-,1,-,1,-,-,-
Gonghang-dong,Gangseo-gu,10.0,-,2,1,-,-,4,-,2,-,-,1,-,-,-,-
Banghwa 1(il)-dong,Gangseo-gu,4.0,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-
Banghwa 2(i)-dong,Gangseo-gu,4.0,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-
Banghwa 3(sam)-dong,Gangseo-gu,2.0,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Hwagok 1(il)-dong,Gangseo-gu,3.0,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-
Ujangsan-dong,Gangseo-gu,8.0,-,1,-,-,1,2,1,1,-,-,1,1,-,-,-
Sindorim-dong,Guro-gu,8.0,-,2,1,2,-,1,-,1,1,-,-,-,-,-,-
Guro 1(il)-dong,Guro-gu,2.0,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Guro 3(sam)-dong,Guro-gu,22.0,-,3,2,4,2,2,-,1,2,4,2,-,-,-,-
Guro 4(sa)-dong,Guro-gu,5.0,-,1,-,-,1,-,-,-,-,2,1,-,-,-,-
Guro 5(o)-dong,Guro-gu,7.0,-,1,-,2,2,-,-,1,-,-,1,-,-,-,-
Gocheok 1(il)-dong,Guro-gu,3.0,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-
Gocheok 2(i)-dong,Guro-gu,2.0,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
Gaebong 2(i)-dong,Guro-gu,3.0,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-
Gaebong 3(sam)-dong,Guro-gu,2.0,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Oryu 1(il)-dong,Guro-gu,5.0,-,-,-,1,1,1,-,1,-,1,-,-,-,-,-
Oryu 2(i)-dong,Guro-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sugung-dong,Guro-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Garibong-dong,Guro-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Guro 2(i)-dong,Guro-gu,13.0,-,3,1,1,1,3,-,2,-,2,-,-,-,-,-
Gaebong 1(il)-dong,Guro-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Gasan-dong,Geumcheon-gu,35.0,-,7,3,6,2,3,-,2,-,8,2,1,1,-,-
Doksan 1(il)-dong,Geumcheon-gu,7.0,-,2,-,1,-,-,-,1,1,1,1,-,-,-,-
Doksan 2(i)-dong,Geumcheon-gu,2.0,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
Doksan 3(sam)-dong,Geumcheon-gu,3.0,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-
Doksan 4(sa)-dong,Geumcheon-gu,2.0,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-
Siheung 1(il)-dong,Geumcheon-gu,10.0,-,3,-,2,1,1,-,-,-,1,1,1,-,-,-
Siheung 2(i)-dong,Geumcheon-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Siheung 3(sam)-dong,Geumcheon-gu,5.0,-,-,-,-,-,1,-,1,-,2,1,-,-,-,-
Siheung 4(sa)-dong,Geumcheon-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Siheung 5(o)-dong,Geumcheon-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Yeouido-dong,Yeongdeungpo-gu,79.0,-,11,6,11,4,11,3,9,5,6,7,2,2,1,1
Dangsan 1(il)-dong,Yeongdeungpo-gu,5.0,-,3,-,1,-,1,-,-,-,-,-,-,-,-,-
Dangsan2(i)-dong,Yeongdeungpo-gu,8.0,-,1,-,2,1,1,-,2,-,1,-,-,-,-,-
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,3.0,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,3.0,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-
Singil 1(il)-dong,Yeongdeungpo-gu,2.0,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-
Singil 3(sam)-dong,Yeongdeungpo-gu,5.0,-,2,-,2,-,-,-,-,-,-,1,-,-,-,-
Singil 4(sa)-dong,Yeongdeungpo-gu,1.0,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,2.0,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Singil 7(chil)-dong,Yeongdeungpo-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Daerim 1(il)-dong,Yeongdeungpo-gu,4.0,-,1,-,1,-,2,-,-,-,-,-,-,-,-,-
Daerim 2(i)-dong,Yeongdeungpo-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,8.0,-,2,1,1,-,-,-,2,-,1,-,1,-,-,-
Yeongdeungpo-dong,Yeongdeungpo-gu,19.0,-,3,1,3,1,3,1,1,-,2,3,1,-,-,-
Dorim-dong,Yeongdeungpo-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Mullae-dong,Yeongdeungpo-gu,11.0,-,3,1,2,-,-,-,2,-,3,-,-,-,-,-
Noryangjin 2(i)-dong,Dongjak-gu,5.0,-,2,-,1,-,1,-,-,-,-,-,1,-,-,-
Sangdo 1(il)-dong,Dongjak-gu,7.0,-,2,-,2,1,1,-,1,-,-,-,-,-,-,-
Sangdo 2(i)-dong,Dongjak-gu,4.0,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-
Sangdo 3(sam)-dong,Dongjak-gu,3.0,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-
Sangdo 4(sa)-dong,Dongjak-gu,1.0,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Sadang 1(il)-dong,Dongjak-gu,8.0,-,-,1,2,1,1,-,1,-,1,1,-,-,-,-
Sadang 3(sam)-dong,Dongjak-gu,3.0,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-
Daebang-dong,Dongjak-gu,6.0,-,2,-,2,-,2,-,-,-,-,-,-,-,-,-
Sindaebang 1(il)-dong,Dongjak-gu,4.0,-,1,-,1,-,-,1,1,-,-,-,-,-,-,-
Sindaebang 2(i)-dong,Dongjak-gu,7.0,-,1,-,-,-,2,-,1,-,1,2,-,-,-,-
Heukseok-dong,Dongjak-gu,8.0,-,3,-,2,-,1,-,1,-,-,1,-,-,-,-
Noryangjin 1(il)-dong,Dongjak-gu,5.0,-,-,-,1,-,1,-,1,-,1,1,-,-,-,-
Sadang 2(i)-dong,Dongjak-gu,3.0,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-
Boramae-dong,Gwanak-gu,3.0,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-
Cheongnim-dong,Gwanak-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Haengun-dong,Gwanak-gu,6.0,-,2,-,1,1,1,-,-,-,-,-,1,-,-,-
Nagseongdae-dong,Gwanak-gu,4.0,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-
Jungang-dong,Gwanak-gu,4.0,-,1,1,1,-,1,-,-,-,-,-,-,-,-,-
Inheon-dong,Gwanak-gu,5.0,-,1,-,1,-,1,-,1,-,1,-,-,-,-,-
Namhyeon-dong,Gwanak-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sewon-dong,Gwanak-gu,4.0,-,-,1,1,-,-,1,-,-,1,-,-,-,-,-
Sinwon-dong,Gwanak-gu,1.0,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
Serim-dong,Gwanak-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Sinsa-dong,Gwanak-gu,2.0,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-
Sillim-dong,Gwanak-gu,3.0,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-
Nanhyang-dong,Gwanak-gu,1.0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
Jowon-dong,Gwanak-gu,2.0,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-
Daehak-dong,Gwanak-gu,7.0,-,2,-,1,-,2,-,-,-,-,2,-,-,-,-
Euncheon-dong,Gwanak-gu,2.0,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
Cheongnyong-dong,Gwanak-gu,7.0,-,2,-,1,-,1,-,1,-,1,-,1,-,-,-
Nangok-dong,Gwanak-gu,2.0,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Miseong-dong,Gwanak-gu,4.0,-,1,-,1,-,-,-,-,-,1,1,-,-,-,-
Seocho 1(il)-dong,Seocho-gu,14.0,-,2,1,2,2,1,2,1,-,1,1,-,-,1,-
Seocho 2(i)-dong,Seocho-gu,37.0,-,4,3,5,2,5,1,7,2,3,1,2,2,-,-
Seocho 3(sam)-dong,Seocho-gu,34.0,-,5,2,4,2,10,1,4,-,3,3,-,-,-,-
Seocho 4(sa)-dong,Seocho-gu,22.0,-,4,1,4,2,3,2,3,-,1,-,1,-,-,1
Jamwon-dong,Seocho-gu,11.0,-,1,2,2,1,3,-,1,-,-,-,-,1,-,-
Banpobon-dong,Seocho-gu,7.0,-,1,1,1,1,1,-,1,-,-,1,-,-,-,-
Banpo 1(il)-dong,Seocho-gu,11.0,-,2,-,1,1,3,-,1,-,2,1,-,-,-,-
Banpo 2(i)-dong,Seocho-gu,9.0,-,-,1,-,1,1,1,2,-,2,-,-,1,-,-
Banpo 3(sam)-dong,Seocho-gu,7.0,-,2,-,2,-,1,1,-,-,1,-,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,19.0,-,4,1,3,2,3,1,4,-,-,1,-,-,-,-
Bangbaebon-dong,Seocho-gu,8.0,-,2,1,2,-,1,-,1,-,1,-,-,-,-,-
Bangbae 1(il)-dong,Seocho-gu,5.0,-,-,-,1,1,1,1,1,-,-,-,-,-,-,-
Bangbae 2(i)-dong,Seocho-gu,2.0,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-
Bangbae 3(sam)-dong,Seocho-gu,5.0,-,1,-,1,-,-,1,1,-,1,-,-,-,-,-
Bangbae 4(sa)-dong,Seocho-gu,15.0,-,1,1,3,-,3,1,2,-,1,2,-,-,-,1
Yangjae 1(il)-dong,Seocho-gu,14.0,-,4,-,2,2,2,1,1,-,1,-,1,-,-,-
Yangjae 2(i)-dong,Seocho-gu,14.0,-,2,1,1,2,4,-,-,-,1,3,-,-,-,-
Sinsa-dong,Gangnam-gu,17.0,-,2,1,3,-,4,2,1,-,1,1,1,-,-,1
Nonhyeon 1(il)-dong,Gangnam-gu,19.0,-,2,2,3,2,2,1,2,-,3,1,1,-,-,-
Nonhyeon 2(i)-dong,Gangnam-gu,29.0,-,6,2,6,3,2,-,4,-,1,3,1,1,-,-
Samseong 1(il)-dong,Gangnam-gu,34.0,-,6,1,4,4,4,1,8,1,2,2,-,1,-,-
Samseong 2(i)-dong,Gangnam-gu,23.0,-,4,4,1,1,3,-,3,1,2,2,1,1,-,-
Daechi 1(il)-dong,Gangnam-gu,16.0,-,2,1,2,2,1,1,2,1,1,1,-,2,-,-
Daechi 4(sa)-dong,Gangnam-gu,21.0,-,3,2,2,1,4,-,1,-,3,3,1,-,-,1
Yeoksam 1(il)-dong,Gangnam-gu,64.0,-,8,4,14,4,10,5,4,1,4,7,3,-,-,-
Yeoksam 2(i)-dong,Gangnam-gu,21.0,1,4,1,2,-,3,4,1,1,2,2,-,-,-,-
Dogok 1(il)-dong,Gangnam-gu,12.0,-,3,-,1,-,2,1,1,1,1,2,-,-,-,-
Dogok 2(i)-dong,Gangnam-gu,24.0,-,5,2,4,1,3,2,3,-,2,1,-,1,-,-
Gaepo 1(il)-dong,Gangnam-gu,3.0,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,5.0,-,1,-,2,-,-,-,1,-,-,1,-,-,-,-
Irwonbon-dong,Gangnam-gu,6.0,-,1,-,1,1,2,1,-,-,-,-,-,-,-,-
Irwon 1(il)-dong,Gangnam-gu,3.0,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-
Irwon 2(i)-dong,Gangnam-gu,4.0,-,2,-,1,-,-,-,1,-,-,-,-,-,-,-
Suseo-dong,Gangnam-gu,4.0,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-
Apgujeong -dong,Gangnam-gu,34.0,-,6,3,5,3,7,2,4,-,2,1,-,1,-,-
Cheongdam -dong,Gangnam-gu,20.0,-,4,-,3,-,2,3,4,-,1,2,-,1,-,-
Daechi 2(i)-dong,Gangnam-gu,26.0,-,3,-,5,2,6,3,3,1,-,2,-,-,-,1
Gaepo 2(i)-dong,Gangnam-gu,5.0,-,1,-,1,-,1,-,1,-,-,-,-,1,-,-
Pungnap 1(il)-dong,Songpa-gu,1.0,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Pungnap 2(i)-dong,Songpa-gu,4.0,-,1,-,-,1,1,-,1,-,-,-,-,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,4.0,-,1,-,1,-,-,-,1,-,-,1,-,-,-,-
Macheon 2(i)-dong,Songpa-gu,2.0,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Bangi 1(il)-dong,Songpa-gu,3.0,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,7.0,-,2,-,1,-,1,1,1,-,1,-,-,-,-,-
Oryun-dong,Songpa-gu,8.0,-,1,-,1,2,1,1,1,-,-,-,1,-,-,-
Ogeum-dong,Songpa-gu,7.0,-,-,-,1,-,1,-,2,-,1,1,1,-,-,-
Songpa 1(il)-dong,Songpa-gu,7.0,-,1,1,2,1,-,-,-,-,1,1,-,-,-,-
Songpa 2(i)-dong,Songpa-gu,4.0,-,1,-,-,-,1,1,1,-,-,-,-,-,-,-
Seokchon-dong,Songpa-gu,10.0,-,4,-,1,-,2,-,2,-,-,-,1,-,-,-
Samjeon-dong,Songpa-gu,6.0,-,1,-,3,-,-,1,-,-,1,-,-,-,-,-
Garakbon-dong,Songpa-gu,12.0,-,2,2,2,1,1,-,1,-,1,2,-,-,-,-
Garak 1(il)-dong,Songpa-gu,3.0,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-
Garak 2(i)-dong,Songpa-gu,9.0,-,2,-,1,-,1,1,3,-,-,1,-,-,-,-
Munjeong 1(il)-dong,Songpa-gu,3.0,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-
Munjeong 2(i)-dong,Songpa-gu,11.0,-,2,1,2,-,2,1,1,1,1,-,-,-,-,-
Jangji-dong,Songpa-gu,4.0,-,-,-,1,-,1,-,1,-,-,1,-,-,-,-
Jamsilbon-dong,Songpa-gu,11.0,-,2,1,2,1,1,-,2,-,1,1,-,-,-,-
Jamsil 4(sa)-dong,Songpa-gu,7.0,-,2,-,2,-,1,-,1,-,1,-,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,16.0,-,2,1,1,2,4,1,2,-,-,1,1,1,-,-
Jamsil 7(chil)-dong,Songpa-gu,5.0,-,1,1,1,-,1,-,1,-,-,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,10.0,-,2,1,1,-,-,1,1,1,1,1,-,1,-,-
Jamsil 3(sam)-dong,Songpa-gu,11.0,-,2,-,3,1,4,-,1,-,-,-,-,-,-,-
Gangil-dong,Gangdong-gu,6.0,-,1,-,2,1,-,-,-,-,2,-,-,-,-,-
Sangil-dong,Gangdong-gu,2.0,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
Myeongil 1(il)-dong,Gangdong-gu,9.0,-,2,1,2,-,2,-,2,-,-,-,-,-,-,-
Myeongil 2(i)-dong,Gangdong-gu,8.0,-,1,1,1,1,1,1,1,-,-,1,-,-,-,-
Godeok 2(i)-dong,Gangdong-gu,2.0,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-
Amsa 2(i)-dong,Gangdong-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,3.0,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,1.0,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
Cheonho 3(sam)-dong,Gangdong-gu,3.0,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,7.0,-,1,-,2,-,-,1,1,-,1,1,-,-,-,-
Seongnae 2(i)-dong,Gangdong-gu,5.0,-,1,1,1,1,-,-,-,1,-,-,-,-,-,-
Seongnae 3(sam)-dong,Gangdong-gu,6.0,-,1,-,1,1,1,-,1,-,1,-,-,-,-,-
Dunchon 1(il)-dong,Gangdong-gu,2.0,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-
Dunchon 2(i)-dong,Gangdong-gu,7.0,-,3,1,1,-,1,-,1,-,-,-,-,-,-,-
Amsa 1(il)-dong,Gangdong-gu,4.0,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-
Cheonho 2(i)-dong,Gangdong-gu,7.0,-,1,1,1,-,1,1,1,-,-,1,-,-,-,-
Gil-dong,Gangdong-gu,8.0,-,3,-,1,-,1,-,-,-,1,1,1,-,-,-
