Dong,산업_출판인쇄및기록매체복제업_Gu_Gu,"산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of books,brochures, musical booksand other publications_Employees","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Establish-ments","산업_출판인쇄및기록매체복제업_Publishing of newspapers,journals and periodicals_Employees",산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Establish-ments,산업_출판인쇄및기록매체복제업_Audio publishing and original master recordings_Employees,산업_출판인쇄및기록매체복제업_Otherpublishing_Establish-ments,산업_출판인쇄및기록매체복제업_Otherpublishing_Employees,산업_출판인쇄및기록매체복제업_Printing_Establish-ments,산업_출판인쇄및기록매체복제업_Printing_Employees,산업_출판인쇄및기록매체복제업_Service activities related to printing_Establish-ments,산업_출판인쇄및기록매체복제업_Service activities related to printing_Employees,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Establish-ments,산업_출판인쇄및기록매체복제업_Reproduction of recorded media_Employees
Yeonhui-dong,Seodaemun-gu,14,45,7,22,6,18,-,-,3,16,4,15,-,-
Yonggang-dong,Mapo-gu,19,180,9,70,3,5,-,-,8,14,2,2,-,-
Daeheung-dong,Mapo-gu,7,20,1,2,2,3,-,-,4,10,2,5,-,-
Yeomni-dong,Mapo-gu,9,42,5,22,1,5,-,-,4,12,3,45,-,-
Sinsu-dong,Mapo-gu,39,137,4,20,1,1,-,-,3,10,2,10,-,-
Seogyo-dong,Mapo-gu,257,2280,33,281,55,137,1,1,27,94,17,79,1,1
Hapjeong-dong,Mapo-gu,36,170,8,145,24,336,-,-,5,11,8,33,-,-
Mangwon 1(il)-dong,Mapo-gu,8,36,1,2,3,6,-,-,-,-,2,5,-,-
Mangwon 2(i)-dong,Mapo-gu,8,24,-,-,3,4,-,-,4,17,2,4,1,3
Yeonnam-dong,Mapo-gu,34,181,6,32,5,13,1,5,4,9,2,8,1,8
Seongsan 1(il)-dong,Mapo-gu,39,285,12,101,8,24,-,-,9,70,2,7,2,2
Seongsan 2(i)-dong,Mapo-gu,7,36,1,2,2,2,-,-,5,11,-,-,-,-
Sangam-dong,Mapo-gu,5,64,5,187,2,3,-,-,2,5,3,6,-,-
Dohwa-dong,Mapo-gu,24,154,8,40,1,2,1,5,3,5,-,-,-,-
Seogang-dong,Mapo-gu,9,88,9,201,5,14,-,-,3,5,3,10,-,-
gongdeok-dong,Mapo-gu,20,451,6,680,-,-,-,-,9,32,4,46,1,2
Ahyeon-dong,Mapo-gu,9,54,6,6,-,-,1,3,5,14,2,4,-,-
Mok 1(il)-dong,Yangcheon-gu,10,121,4,44,5,10,-,-,3,8,-,-,-,-
Mok 2(i)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,1,1,-,-,1,1
Mok 3(sam)-dong,Yangcheon-gu,1,2,-,-,-,-,-,-,-,-,2,3,-,-
Mok 4(sa)-dong,Yangcheon-gu,1,1,1,1,-,-,-,-,-,-,-,-,-,-
Sinwol 1(il)-dong,Yangcheon-gu,1,1,1,3,-,-,-,-,8,21,2,2,-,-
Sinwol 2(i)-dong,Yangcheon-gu,1,9,1,3,-,-,-,-,2,5,1,4,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,-,-,-,-,-,-,-,-,2,5,-,-,-,-
Sinwol 5(o)-dong,Yangcheon-gu,-,-,1,10,-,-,-,-,4,7,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,-,-,-,-,-,-,-,-,2,5,-,-,-,-
Sinwol 7(chil)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,2,8,-,-,1,4
Sinjeong 1(il)-dong,Yangcheon-gu,2,3,1,2,1,1,-,-,-,-,-,-,-,-
Sinjeong 2(i)-dong,Yangcheon-gu,-,-,1,1,-,-,-,-,-,-,-,-,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,1,1,-,-,-,-,-,-,1,1,-,-,-,-
Sinjeong 7(chil)-dong,Yangcheon-gu,-,-,1,4,-,-,-,-,-,-,-,-,-,-
Mok 5(o)-dong,Yangcheon-gu,4,7,1,1,1,2,-,-,-,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,7,29,5,7,2,2,-,-,4,6,2,4,-,-
Yeomchang-dong,Gangseo-gu,3,9,3,37,2,3,-,-,8,36,3,59,-,-
Deungchon 1(il)-dong,Gangseo-gu,3,7,1,8,2,2,-,-,9,98,3,19,-,-
Deungchon 2(i)-dong,Gangseo-gu,1,7,1,32,-,-,-,-,1,6,-,-,-,-
Deungchon 3(sam)-dong,Gangseo-gu,4,29,3,24,1,7,-,-,2,7,1,9,-,-
Hwagokbon-dong,Gangseo-gu,-,-,-,-,1,1,1,6,1,1,-,-,-,-
Hwagok 2(i)-dong,Gangseo-gu,1,7,-,-,-,-,-,-,3,7,1,4,-,-
Hwagok 3(sam)-dong,Gangseo-gu,2,3,2,4,-,-,-,-,1,1,-,-,-,-
Hwagok 4(sa)-dong,Gangseo-gu,1,6,1,2,-,-,-,-,-,-,1,1,-,-
Hwagok 6(yuk)-dong,Gangseo-gu,2,4,1,7,4,7,-,-,3,7,-,-,-,-
Hwagok 8(pal)-dong,Gangseo-gu,3,15,-,-,-,-,-,-,4,6,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,3,16,2,19,1,2,1,13,1,5,-,-,-,-
Gayang 3(sam)-dong,Gangseo-gu,7,53,-,-,-,-,-,-,1,9,-,-,-,-
Balsan 1(il)-dong,Gangseo-gu,-,-,1,9,-,-,-,-,1,2,2,9,-,-
Gonghang-dong,Gangseo-gu,1,1,2,9,-,-,-,-,-,-,-,-,-,-
Banghwa 1(il)-dong,Gangseo-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Banghwa 2(i)-dong,Gangseo-gu,-,-,-,-,-,-,-,-,3,6,2,3,-,-
Banghwa 3(sam)-dong,Gangseo-gu,1,1,-,-,-,-,-,-,1,1,-,-,-,-
Hwagok 1(il)-dong,Gangseo-gu,2,13,3,14,-,-,-,-,6,10,1,4,-,-
Ujangsan-dong,Gangseo-gu,1,1,3,19,2,4,-,-,1,1,-,-,-,-
Sindorim-dong,Guro-gu,3,4,2,9,-,-,-,-,6,11,-,-,-,-
Guro 1(il)-dong,Guro-gu,-,-,1,6,-,-,-,-,-,-,-,-,-,-
Guro 3(sam)-dong,Guro-gu,24,721,24,295,1,9,4,28,19,368,10,55,-,-
Guro 4(sa)-dong,Guro-gu,1,5,1,4,-,-,-,-,6,11,-,-,-,-
Guro 5(o)-dong,Guro-gu,3,8,8,204,1,3,-,-,1,2,2,4,-,-
Gocheok 1(il)-dong,Guro-gu,1,2,1,5,-,-,-,-,5,25,-,-,-,-
Gocheok 2(i)-dong,Guro-gu,-,-,-,-,1,1,-,-,1,4,-,-,-,-
Gaebong 2(i)-dong,Guro-gu,3,8,-,-,-,-,-,-,-,-,-,-,-,-
Gaebong 3(sam)-dong,Guro-gu,-,-,-,-,-,-,-,-,2,5,-,-,-,-
Oryu 1(il)-dong,Guro-gu,-,-,1,2,-,-,-,-,2,5,1,1,-,-
Oryu 2(i)-dong,Guro-gu,3,8,1,3,-,-,-,-,1,6,-,-,-,-
Sugung-dong,Guro-gu,1,1,2,19,-,-,-,-,2,4,1,3,-,-
Garibong-dong,Guro-gu,-,-,2,8,-,-,-,-,4,8,-,-,-,-
Guro 2(i)-dong,Guro-gu,5,16,9,45,-,-,-,-,15,23,3,6,-,-
Gaebong 1(il)-dong,Guro-gu,-,-,2,24,-,-,-,-,2,15,-,-,-,-
Gasan-dong,Geumcheon-gu,62,1457,35,329,8,28,3,14,113,1047,37,220,3,73
Doksan 1(il)-dong,Geumcheon-gu,4,14,3,50,-,-,-,-,29,253,3,23,-,-
Doksan 2(i)-dong,Geumcheon-gu,-,-,-,-,-,-,-,-,1,2,-,-,-,-
Doksan 3(sam)-dong,Geumcheon-gu,1,5,1,1,-,-,-,-,6,9,-,-,-,-
Doksan 4(sa)-dong,Geumcheon-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Siheung 1(il)-dong,Geumcheon-gu,1,2,4,5,-,-,-,-,5,21,1,2,-,-
Siheung 3(sam)-dong,Geumcheon-gu,2,3,1,3,-,-,-,-,15,24,-,-,1,1
Siheung 4(sa)-dong,Geumcheon-gu,-,-,-,-,-,-,-,-,-,-,1,3,-,-
Siheung 5(o)-dong,Geumcheon-gu,-,-,2,5,-,-,-,-,-,-,-,-,-,-
Yeouido-dong,Yeongdeungpo-gu,28,62,49,949,31,101,-,-,26,67,5,131,2,5
Dangsan 1(il)-dong,Yeongdeungpo-gu,9,31,12,53,2,2,1,5,17,28,3,9,-,-
Dangsan2(i)-dong,Yeongdeungpo-gu,9,70,8,60,3,5,-,-,4,6,1,2,-,-
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,11,59,3,59,1,1,1,25,10,43,2,16,-,-
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,20,120,10,61,3,8,-,-,14,98,4,32,1,9
Singil 1(il)-dong,Yeongdeungpo-gu,3,9,2,13,1,2,-,-,-,-,-,-,-,-
Singil 3(sam)-dong,Yeongdeungpo-gu,1,7,-,-,-,-,-,-,2,3,-,-,-,-
Singil 4(sa)-dong,Yeongdeungpo-gu,-,-,-,-,1,1,-,-,1,5,-,-,-,-
Singil 5(o)-dong,Yeongdeungpo-gu,1,1,1,6,-,-,-,-,-,-,-,-,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,1,5,1,3,1,1,-,-,3,18,-,-,1,4
Singil 7(chil)-dong,Yeongdeungpo-gu,2,13,-,-,-,-,-,-,2,3,-,-,-,-
Daerim 1(il)-dong,Yeongdeungpo-gu,1,2,1,6,-,-,-,-,2,3,-,-,-,-
Daerim 2(i)-dong,Yeongdeungpo-gu,-,-,1,2,2,3,-,-,2,3,-,-,-,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,1,7,1,3,-,-,-,-,10,49,2,10,-,-
Yeongdeungpobon-dong,Yeongdeungpo-gu,3,20,3,21,-,-,-,-,1,1,-,-,-,-
Yeongdeungpo-dong,Yeongdeungpo-gu,15,79,10,250,2,4,1,2,154,359,26,86,-,-
Dorim-dong,Yeongdeungpo-gu,3,10,-,-,2,5,-,-,4,12,-,-,-,-
Mullae-dong,Yeongdeungpo-gu,15,58,12,160,-,-,1,3,98,488,25,126,-,-
Noryangjin 2(i)-dong,Dongjak-gu,3,82,-,-,1,1,-,-,4,12,-,-,-,-
Sangdo 1(il)-dong,Dongjak-gu,9,78,-,-,1,3,-,-,5,16,1,2,-,-
Sangdo 2(i)-dong,Dongjak-gu,1,6,2,11,-,-,-,-,-,-,-,-,-,-
Sangdo 4(sa)-dong,Dongjak-gu,-,-,3,14,-,-,-,-,-,-,1,2,-,-
Sadang 1(il)-dong,Dongjak-gu,2,9,1,5,1,1,-,-,5,8,-,-,-,-
Sadang 3(sam)-dong,Dongjak-gu,3,12,-,-,1,2,-,-,2,5,-,-,-,-
Sadang 4(sa)-dong,Dongjak-gu,-,-,-,-,1,3,-,-,-,-,-,-,-,-
Sadang 5(o)-dong,Dongjak-gu,4,13,-,-,2,4,-,-,-,-,-,-,-,-
Daebang-dong,Dongjak-gu,2,4,1,1,2,4,1,97,1,2,-,-,-,-
Sindaebang 1(il)-dong,Dongjak-gu,-,-,1,6,-,-,-,-,1,2,-,-,-,-
Sindaebang 2(i)-dong,Dongjak-gu,1,6,1,7,1,5,1,2,2,7,-,-,-,-
Heukseok-dong,Dongjak-gu,3,24,3,7,1,2,-,-,2,5,-,-,-,-
Noryangjin 1(il)-dong,Dongjak-gu,6,38,1,3,-,-,-,-,4,7,1,2,-,-
Sadang 2(i)-dong,Dongjak-gu,-,-,2,2,-,-,-,-,1,14,-,-,-,-
Boramae-dong,Gwanak-gu,5,21,1,5,-,-,-,-,4,10,-,-,-,-
Haengun-dong,Gwanak-gu,2,9,3,28,1,1,-,-,1,5,-,-,-,-
Nagseongdae-dong,Gwanak-gu,4,8,1,2,-,-,-,-,3,5,2,4,-,-
Jungang-dong,Gwanak-gu,-,-,3,13,1,1,-,-,2,6,-,-,-,-
Inheon-dong,Gwanak-gu,1,2,-,-,-,-,1,4,-,-,1,2,-,-
Namhyeon-dong,Gwanak-gu,2,4,-,-,-,-,-,-,-,-,-,-,-,-
Sewon-dong,Gwanak-gu,1,4,2,5,-,-,-,-,1,2,1,1,-,-
Sinwon-dong,Gwanak-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Serim-dong,Gwanak-gu,11,37,1,6,-,-,1,6,3,8,1,3,-,-
Sinsa-dong,Gwanak-gu,2,9,1,1,-,-,-,-,3,5,-,-,-,-
Sillim-dong,Gwanak-gu,1,3,1,4,-,-,-,-,-,-,-,-,-,-
Jowon-dong,Gwanak-gu,5,15,2,5,1,6,-,-,5,11,1,5,-,-
Daehak-dong,Gwanak-gu,6,51,3,5,-,-,-,-,1,1,-,-,-,-
Euncheon-dong,Gwanak-gu,3,14,-,-,-,-,1,4,2,2,-,-,-,-
Seonghyeon-dong,Gwanak-gu,1,3,-,-,-,-,-,-,-,-,-,-,-,-
Cheongnyong-dong,Gwanak-gu,4,18,2,4,-,-,1,1,2,3,-,-,-,-
Nangok-dong,Gwanak-gu,-,-,-,-,-,-,1,5,-,-,1,1,-,-
Samseong-dong,Gwanak-gu,2,17,1,3,-,-,-,-,2,3,1,1,-,-
Miseong-dong,Gwanak-gu,2,2,1,4,-,-,-,-,-,-,-,-,-,-
Seocho 1(il)-dong,Seocho-gu,17,183,9,42,3,3,2,3,5,13,2,7,-,-
Seocho 2(i)-dong,Seocho-gu,20,237,9,77,6,13,2,2,10,24,2,5,-,-
Seocho 3(sam)-dong,Seocho-gu,42,358,22,197,10,26,1,2,15,40,-,-,-,-
Seocho 4(sa)-dong,Seocho-gu,12,54,2,7,1,1,-,-,1,5,1,19,-,-
Jamwon-dong,Seocho-gu,16,465,7,175,4,7,2,7,11,33,3,11,-,-
Banpobon-dong,Seocho-gu,1,5,-,-,-,-,-,-,-,-,-,-,-,-
Banpo 1(il)-dong,Seocho-gu,2,2,1,2,5,13,-,-,1,2,-,-,-,-
Banpo 2(i)-dong,Seocho-gu,-,-,-,-,1,2,-,-,-,-,-,-,-,-
Banpo 3(sam)-dong,Seocho-gu,2,3,-,-,-,-,-,-,-,-,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,9,55,7,60,6,23,-,-,-,-,-,-,1,2
Bangbaebon-dong,Seocho-gu,7,214,4,12,3,10,-,-,1,1,-,-,-,-
Bangbae 1(il)-dong,Seocho-gu,7,28,6,22,7,17,1,1,1,2,-,-,1,1
Bangbae 2(i)-dong,Seocho-gu,4,12,4,52,2,5,2,4,3,6,-,-,-,-
Bangbae 3(sam)-dong,Seocho-gu,9,221,2,19,3,39,-,-,-,-,-,-,1,1
Bangbae 4(sa)-dong,Seocho-gu,9,61,8,46,9,14,-,-,4,17,-,-,1,1
Yangjae 1(il)-dong,Seocho-gu,8,53,9,103,5,5,2,43,6,15,-,-,-,-
Yangjae 2(i)-dong,Seocho-gu,15,97,15,75,10,21,-,-,10,50,3,10,-,-
Naegok-dong,Seocho-gu,2,2,-,-,-,-,-,-,-,-,-,-,-,-
Sinsa-dong,Gangnam-gu,14,187,5,44,12,50,8,35,30,98,16,84,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,18,219,8,53,23,148,1,1,24,76,3,12,1,3
Nonhyeon 2(i)-dong,Gangnam-gu,18,255,13,359,26,172,1,1,19,127,2,18,-,-
Samseong 1(il)-dong,Gangnam-gu,10,115,4,39,6,382,-,-,3,8,2,9,1,1
Samseong 2(i)-dong,Gangnam-gu,12,46,5,129,8,24,4,8,10,40,-,-,1,2
Daechi 1(il)-dong,Gangnam-gu,4,7,-,-,-,-,-,-,1,1,1,3,-,-
Daechi 4(sa)-dong,Gangnam-gu,10,58,1,86,7,24,-,-,6,15,3,5,-,-
Yeoksam 1(il)-dong,Gangnam-gu,40,261,31,375,16,77,1,4,20,61,7,48,1,1
Yeoksam 2(i)-dong,Gangnam-gu,5,28,7,51,2,6,-,-,2,58,1,3,1,1
Dogok 1(il)-dong,Gangnam-gu,9,158,3,27,2,4,-,-,1,2,1,1,-,-
Dogok 2(i)-dong,Gangnam-gu,9,184,3,55,3,3,-,-,6,13,-,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,2,2,1,2,7,9,-,-,6,11,3,6,-,-
Irwon 1(il)-dong,Gangnam-gu,2,4,-,-,-,-,-,-,-,-,-,-,-,-
Irwon 2(i)-dong,Gangnam-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Suseo-dong,Gangnam-gu,4,14,1,3,-,-,2,6,-,-,1,7,-,-
Apgujeong -dong,Gangnam-gu,6,21,8,103,15,88,1,8,8,116,2,7,-,-
Cheongdam -dong,Gangnam-gu,12,58,10,156,12,139,1,1,2,7,2,22,-,-
Daechi 2(i)-dong,Gangnam-gu,9,110,2,4,3,6,-,-,7,37,-,-,-,-
Gaepo 2(i)-dong,Gangnam-gu,2,3,1,2,-,-,-,-,1,2,-,-,-,-
Pungnap 1(il)-dong,Songpa-gu,1,1,1,5,-,-,-,-,2,4,-,-,-,-
Pungnap 2(i)-dong,Songpa-gu,1,2,-,-,1,1,-,-,1,6,-,-,-,-
Geoyeo 1(il)-dong,Songpa-gu,-,-,-,-,-,-,-,-,1,2,1,1,-,-
Geoyeo 2(i)-dong,Songpa-gu,-,-,1,4,-,-,-,-,2,3,-,-,-,-
Macheon 1(il)-dong,Songpa-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Macheon 2(i)-dong,Songpa-gu,2,7,-,-,-,-,-,-,1,1,1,2,-,-
Bangi 1(il)-dong,Songpa-gu,3,21,1,7,1,4,-,-,4,26,1,2,-,-
Bangi 2(i)-dong,Songpa-gu,6,17,3,9,-,-,-,-,1,1,1,1,-,-
Ogeum-dong,Songpa-gu,5,24,2,6,1,1,-,-,3,6,1,4,-,-
Songpa 1(il)-dong,Songpa-gu,5,30,3,13,5,25,-,-,8,21,1,2,-,-
Songpa 2(i)-dong,Songpa-gu,2,11,-,-,-,-,-,-,2,3,-,-,-,-
Seokchon-dong,Songpa-gu,7,36,1,6,2,2,-,-,7,17,3,12,-,-
Samjeon-dong,Songpa-gu,5,15,2,9,-,-,-,-,6,16,-,-,-,-
Garakbon-dong,Songpa-gu,4,10,5,61,2,5,1,1,4,87,2,2,-,-
Garak 1(il)-dong,Songpa-gu,-,-,2,8,-,-,-,-,-,-,-,-,-,-
Garak 2(i)-dong,Songpa-gu,3,9,3,37,-,-,-,-,-,-,-,-,1,2
Munjeong 1(il)-dong,Songpa-gu,4,33,-,-,-,-,-,-,5,15,-,-,-,-
Munjeong 2(i)-dong,Songpa-gu,1,2,1,1,1,1,-,-,1,3,-,-,-,-
Jangji-dong,Songpa-gu,2,6,2,7,-,-,-,-,1,3,1,3,-,-
Jamsilbon-dong,Songpa-gu,7,67,3,20,2,3,-,-,5,14,-,-,-,-
Jamsil 6(yuk)-dong,Songpa-gu,2,2,2,6,-,-,-,-,3,4,-,-,1,5
Jamsil 7(chil)-dong,Songpa-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Jamsil 3(sam)-dong,Songpa-gu,1,3,1,2,-,-,-,-,1,2,-,-,-,-
Gangil-dong,Gangdong-gu,-,-,-,-,-,-,-,-,1,4,-,-,-,-
Myeongil 1(il)-dong,Gangdong-gu,-,-,-,-,-,-,-,-,2,2,1,19,-,-
Myeongil 2(i)-dong,Gangdong-gu,2,15,1,7,-,-,-,-,-,-,2,4,-,-
Godeok 1(il)-dong,Gangdong-gu,-,-,-,-,-,-,-,-,1,1,-,-,-,-
Godeok 2(i)-dong,Gangdong-gu,1,1,-,-,-,-,-,-,-,-,-,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,-,-,-,-,1,2,-,-,2,4,-,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,-,-,1,2,-,-,1,2,1,2,-,-,-,-
Cheonho 3(sam)-dong,Gangdong-gu,4,4,1,1,-,-,-,-,3,4,-,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,6,161,3,15,1,3,-,-,3,4,1,2,-,-
Seongnae 2(i)-dong,Gangdong-gu,1,2,-,-,-,-,-,-,5,8,1,6,-,-
Seongnae 3(sam)-dong,Gangdong-gu,3,139,1,1,-,-,1,3,3,5,3,21,-,-
Dunchon 2(i)-dong,Gangdong-gu,2,2,1,21,-,-,-,-,2,6,-,-,-,-
Amsa 1(il)-dong,Gangdong-gu,-,-,-,-,-,-,-,-,1,4,-,-,1,1
Cheonho 2(i)-dong,Gangdong-gu,2,6,1,4,-,-,-,-,4,7,1,2,1,2
Gil-dong,Gangdong-gu,3,20,4,11,-,-,-,-,4,7,1,1,-,-
