Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Sajik-dong,Jongno-gu,445.0,263.0,182,130,64,66,44,15,29,86,49,37,39,32,7,13,9,4,37,16,21,4,1,3,4,1,3,66,43,23,4,3,1,2,-,2,7,3,4,40,29,11,3,-,3,10,6,4,15,11,4,71,45,26
Samcheong-dong,Jongno-gu,136.0,74.0,62,47,26,21,23,10,13,24,16,8,26,19,7,5,4,1,2,-,2,17,6,11,1,-,1,5,-,5,1,-,1,-,-,-,-,-,-,4,4,-,2,-,2,1,-,1,2,1,1,23,14,9
Buam-dong,Jongno-gu,280.0,113.0,167,173,75,98,29,15,14,144,60,84,9,7,2,17,5,12,3,1,2,15,5,10,6,-,6,2,-,2,2,-,2,-,-,-,5,2,3,2,-,2,10,3,7,-,-,-,3,2,1,33,13,20
Pyeongchang-dong,Jongno-gu,259.0,130.0,129,37,11,26,23,5,18,14,6,8,70,39,31,21,10,11,11,3,8,2,-,2,2,1,1,18,1,17,7,4,3,3,-,3,2,-,2,8,5,3,1,1,-,16,16,-,19,13,6,42,26,16
Muak-dong,Jongno-gu,51.0,22.0,29,28,13,15,11,4,7,17,9,8,5,4,1,8,2,6,1,-,1,2,-,2,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
Gyonam-dong,Jongno-gu,121.0,52.0,69,79,37,42,60,28,32,19,9,10,4,3,1,5,2,3,2,1,1,2,-,2,1,1,-,8,2,6,10,2,8,-,-,-,2,-,2,-,-,-,3,1,2,-,-,-,1,1,-,4,2,2
Gahoe-dong,Jongno-gu,115.0,49.0,66,35,12,23,27,11,16,8,1,7,14,5,9,10,4,6,7,2,5,1,-,1,-,-,-,11,1,10,2,1,1,-,-,-,-,-,-,-,-,-,2,1,1,3,3,-,8,6,2,22,14,8
Jongno 1·2·3·4(ilisamsa)-ga-dong,Jongno-gu,995.0,571.0,424,359,170,189,186,69,117,173,101,72,89,63,26,44,23,21,69,43,26,24,4,20,5,4,1,40,14,26,30,24,6,5,1,4,2,1,1,46,36,10,3,-,3,47,36,11,15,10,5,217,142,75
Jongno 5·6(oryuk)-ga-dong,Jongno-gu,318.0,136.0,182,241,98,143,199,85,114,42,13,29,3,2,1,8,-,8,3,1,2,13,5,8,9,7,2,1,-,1,-,-,-,-,-,-,1,1,-,2,2,-,-,-,-,1,-,1,1,-,1,35,20,15
Ihwa-dong,Jongno-gu,455.0,205.0,250,229,111,118,92,45,47,137,66,71,11,8,3,16,8,8,22,5,17,17,7,10,25,8,17,2,1,1,6,6,-,6,5,1,7,1,6,13,7,6,5,2,3,2,2,-,2,2,-,92,32,60
Changsin 1(il)-dong,Jongno-gu,947.0,446.0,501,816,376,440,731,339,392,85,37,48,-,-,-,9,5,4,2,1,1,18,4,14,12,1,11,4,1,3,-,-,-,4,1,3,3,2,1,2,1,1,-,-,-,-,-,-,-,-,-,77,54,23
Changsin 2(i)-dong,Jongno-gu,1017.0,449.0,568,927,415,512,791,361,430,136,54,82,-,-,-,11,4,7,1,-,1,21,2,19,6,-,6,3,1,2,-,-,-,6,3,3,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,40,24,16
Changsin 3(sam)-dong,Jongno-gu,110.0,47.0,63,81,34,47,66,28,38,15,6,9,2,2,-,2,1,1,2,1,1,2,-,2,6,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,6,9
Sungin 1(il)-dong,Jongno-gu,387.0,168.0,219,281,115,166,241,105,136,40,10,30,1,1,-,8,4,4,2,1,1,12,3,9,23,9,14,5,1,4,-,-,-,6,2,4,1,-,1,5,5,-,1,-,1,-,-,-,1,1,-,41,26,15
Sungin 2(i)-dong,Jongno-gu,398.0,174.0,224,336,149,187,277,131,146,59,18,41,2,1,1,9,2,7,2,-,2,11,1,10,11,5,6,2,-,2,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,1,-,-,-,-,23,14,9
Cheongunhyoja-dong,Jongno-gu,128.0,59.0,69,45,18,27,23,8,15,22,10,12,18,11,7,18,7,11,9,3,6,3,-,3,-,-,-,12,2,10,3,2,1,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-,7,6,1,10,8,2
Hyehwa-dong,Jongno-gu,1647.0,671.0,976,1301,512,789,90,44,46,1211,468,743,30,23,7,54,19,35,61,17,44,17,11,6,10,-,10,3,1,2,5,4,1,10,7,3,5,2,3,16,10,6,7,3,4,6,3,3,10,4,6,112,55,57
Sogong-dong,Jung-gu,468.0,308.0,160,93,57,36,25,8,17,68,49,19,40,32,8,33,19,14,78,63,15,3,3,-,4,1,3,11,5,6,5,5,-,2,-,2,3,1,2,21,12,9,1,-,1,12,8,4,22,15,7,140,87,53
Hoehyeon-dong,Jung-gu,685.0,371.0,314,228,97,131,141,64,77,87,33,54,26,15,11,247,145,102,27,20,7,6,-,6,1,-,1,19,15,4,2,2,-,1,1,-,2,-,2,32,23,9,3,3,-,1,1,-,8,6,2,82,43,39
Myeong-dong,Jung-gu,816.0,531.0,285,382,274,108,93,40,53,289,234,55,18,13,5,115,52,63,27,14,13,5,1,4,2,1,1,42,24,18,24,15,9,-,-,-,1,-,1,53,45,8,10,8,2,10,6,4,4,2,2,123,76,47
Pil-dong,Jung-gu,390.0,196.0,194,187,73,114,55,18,37,132,55,77,5,5,-,29,12,17,16,7,9,22,14,8,16,8,8,-,-,-,5,4,1,28,13,15,2,1,1,17,13,4,2,1,1,-,-,-,1,1,-,60,44,16
Jangchung-dong,Jung-gu,651.0,263.0,388,309,113,196,84,25,59,225,88,137,18,8,10,23,9,14,18,3,15,18,10,8,31,8,23,8,3,5,3,3,-,103,40,63,23,8,15,15,9,6,3,-,3,-,-,-,3,1,2,76,48,28
Gwanghui-dong ,Jung-gu,813.0,383.0,430,319,153,166,166,73,93,153,80,73,14,7,7,35,19,16,3,1,2,6,2,4,94,38,56,3,1,2,1,-,1,211,97,114,59,22,37,3,3,-,-,-,-,1,1,-,-,-,-,64,39,25
Euljiro-dong,Jung-gu,109.0,54.0,55,54,25,29,40,18,22,14,7,7,2,2,-,23,12,11,4,1,3,3,2,1,2,1,1,8,4,4,1,1,-,6,3,3,3,1,2,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-
Sindang-dong,Jung-gu,1415.0,679.0,736,1133,550,583,986,476,510,147,74,73,14,11,3,25,12,13,8,-,8,36,18,18,105,47,58,19,6,13,-,-,-,31,11,20,8,1,7,3,2,1,2,1,1,2,2,-,-,-,-,29,18,11
Dasan-dong,Jung-gu,365.0,155.0,210,228,96,132,146,67,79,82,29,53,15,9,6,15,8,7,4,-,4,12,1,11,26,9,17,18,7,11,3,3,-,4,2,2,3,3,-,1,-,1,5,3,2,2,1,1,4,4,-,25,9,16
Yaksu-dong,Jung-gu,219.0,93.0,126,117,41,76,82,32,50,35,9,26,16,8,8,11,6,5,11,3,8,9,-,9,5,1,4,2,-,2,3,2,1,3,2,1,-,-,-,15,8,7,-,-,-,3,1,2,3,3,-,21,18,3
Cheonggu-dong,Jung-gu,186.0,78.0,108,130,55,75,80,30,50,50,25,25,7,5,2,4,2,2,8,1,7,2,-,2,19,5,14,3,1,2,3,-,3,1,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,8,7,1
Sindang 5(o)-dong,Jung-gu,273.0,115.0,158,211,94,117,189,91,98,22,3,19,-,-,-,12,8,4,6,2,4,7,-,7,19,6,13,4,1,3,-,-,-,1,-,1,1,1,-,1,1,-,2,-,2,-,-,-,-,-,-,9,2,7
Donghwa-dong,Jung-gu,166.0,80.0,86,110,53,57,87,42,45,23,11,12,7,5,2,19,10,9,2,-,2,2,-,2,17,10,7,3,-,3,-,-,-,1,-,1,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,3,2,1
Hwanghak-dong,Jung-gu,797.0,374.0,423,686,332,354,578,294,284,108,38,70,7,2,5,31,14,17,10,3,7,10,-,10,31,15,16,7,1,6,2,1,1,1,-,1,3,-,3,-,-,-,1,1,-,1,1,-,-,-,-,7,4,3
Jungnim-dong,Jung-gu,304.0,155.0,149,139,59,80,91,41,50,48,18,30,11,11,-,47,28,19,18,11,7,6,1,5,-,-,-,5,2,3,4,3,1,-,-,-,10,6,4,6,4,2,3,1,2,1,1,-,18,8,10,36,20,16
Huam-dong,Yongsan-gu,471.0,227.0,244,277,124,153,243,110,133,34,14,20,33,21,12,23,8,15,17,6,11,11,-,11,3,1,2,31,20,11,5,4,1,-,-,-,6,-,6,4,2,2,2,-,2,5,3,2,5,4,1,49,34,15
Yongsan 2-ga-dong,Yongsan-gu,1065.0,613.0,452,64,20,44,46,15,31,18,5,13,254,161,93,31,16,15,10,3,7,10,4,6,7,2,5,113,44,69,94,57,37,3,-,3,40,9,31,13,9,4,7,1,6,73,54,19,14,7,7,332,226,106
Namyeong-dong,Yongsan-gu,441.0,199.0,242,315,134,181,264,116,148,51,18,33,8,5,3,26,16,10,15,9,6,12,2,10,-,-,-,8,3,5,10,7,3,3,1,2,-,-,-,2,1,1,-,-,-,3,3,-,4,3,1,35,15,20
Wonhyoro 2(i)-dong,Yongsan-gu,187.0,77.0,110,119,46,73,93,39,54,26,7,19,9,2,7,35,18,17,6,3,3,3,-,3,-,-,-,1,-,1,3,3,-,-,-,-,3,-,3,-,-,-,3,1,2,-,-,-,-,-,-,5,4,1
Hyochang-dong,Yongsan-gu,163.0,71.0,92,58,27,31,49,23,26,9,4,5,11,5,6,6,4,2,13,4,9,16,2,14,5,3,2,7,1,6,2,1,1,5,3,2,1,1,-,1,1,-,-,-,-,6,5,1,-,-,-,32,14,18
Yongmun-dong,Yongsan-gu,145.0,67.0,78,106,51,55,91,43,48,15,8,7,3,3,-,12,6,6,4,1,3,4,1,3,3,-,3,1,-,1,2,2,-,-,-,-,5,-,5,-,-,-,1,-,1,-,-,-,-,-,-,4,3,1
Ichon 1(il)-dong,Yongsan-gu,1333.0,760.0,573,63,24,39,30,6,24,33,18,15,88,62,26,50,27,23,1042,601,441,-,-,-,2,-,2,9,2,7,9,6,3,1,-,1,7,3,4,20,12,8,5,3,2,3,2,1,1,1,-,33,17,16
Ichon 2(i)-dong,Yongsan-gu,56.0,21.0,35,22,7,15,14,6,8,8,1,7,2,1,1,2,-,2,13,9,4,1,-,1,3,-,3,4,1,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,7,1,6
Itaewon 1(il)-dong,Yongsan-gu,1478.0,868.0,610,144,69,75,101,48,53,43,21,22,204,114,90,21,11,10,18,8,10,4,-,4,18,7,11,113,28,85,74,41,33,37,20,17,32,10,22,74,46,28,29,14,15,77,50,27,38,24,14,595,426,169
Itaewon 2(i)-dong,Yongsan-gu,918.0,534.0,384,50,20,30,40,16,24,10,4,6,202,134,68,24,10,14,9,3,6,1,-,1,4,1,3,54,20,34,84,58,26,8,2,6,47,11,36,19,9,10,10,5,5,74,53,21,22,11,11,310,197,113
Seobinggo-dong,Yongsan-gu,376.0,174.0,202,47,16,31,40,14,26,7,2,5,78,44,34,2,1,1,23,9,14,4,-,4,1,1,-,47,7,40,10,7,3,-,-,-,4,-,4,4,2,2,1,-,1,7,4,3,2,1,1,146,82,64
Bogwang-dong,Yongsan-gu,867.0,462.0,405,302,142,160,263,123,140,39,19,20,64,35,29,17,8,9,22,8,14,10,-,10,9,4,5,38,8,30,7,3,4,34,13,21,21,3,18,7,5,2,-,-,-,5,5,-,-,-,-,331,228,103
Cheongpa-dong,Yongsan-gu,960.0,323.0,637,591,212,379,355,165,190,236,47,189,32,24,8,37,16,21,69,11,58,48,6,42,43,6,37,10,4,6,3,1,2,6,2,4,2,-,2,3,3,-,3,-,3,-,-,-,9,3,6,104,35,69
Wonhyoro 1(il)-dong,Yongsan-gu,275.0,134.0,141,118,48,70,93,42,51,25,6,19,26,20,6,33,16,17,19,6,13,4,-,4,8,6,2,6,-,6,4,3,1,1,-,1,12,6,6,9,5,4,1,1,-,5,4,1,1,-,1,28,19,9
Hangangno-dong,Yongsan-gu,1164.0,603.0,561,244,105,139,179,71,108,65,34,31,140,81,59,53,22,31,512,291,221,14,10,4,1,-,1,22,2,20,8,3,5,7,3,4,12,3,9,11,4,7,4,1,3,7,6,1,5,5,-,124,67,57
Hannam-dong,Yongsan-gu,2186.0,1172.0,1014,467,216,251,358,171,187,109,45,64,277,150,127,14,5,9,57,25,32,8,-,8,32,15,17,134,15,119,34,22,12,10,6,4,22,8,14,110,68,42,25,11,14,113,59,54,58,39,19,825,533,292
Wangsimni 2(i)-dong,Seongdong-gu,279.0,119.0,160,202,90,112,150,73,77,52,17,35,6,4,2,10,7,3,5,-,5,27,7,20,8,2,6,6,2,4,-,-,-,3,1,2,-,-,-,-,-,-,3,1,2,-,-,-,2,2,-,7,3,4
Majang-dong,Seongdong-gu,545.0,261.0,284,334,144,190,205,103,102,129,41,88,7,5,2,6,2,4,10,2,8,44,12,32,38,25,13,24,12,12,3,2,1,1,-,1,2,1,1,-,-,-,2,-,2,1,1,-,5,5,-,68,50,18
Sageun-dong,Seongdong-gu,1178.0,552.0,626,776,361,415,106,55,51,670,306,364,34,17,17,17,1,16,51,11,40,22,9,13,20,8,12,4,1,3,11,7,4,1,1,-,10,-,10,17,11,6,4,-,4,8,5,3,22,4,18,181,116,65
Haengdang 1(il)-dong,Seongdong-gu,453.0,200.0,253,352,159,193,222,99,123,130,60,70,15,3,12,9,4,5,12,2,10,12,5,7,10,3,7,-,-,-,11,6,5,1,1,-,1,1,-,4,4,-,1,-,1,2,1,1,1,-,1,22,11,11
Haengdang 2(i)-dong,Seongdong-gu,87.0,33.0,54,55,17,38,33,14,19,22,3,19,3,2,1,14,8,6,2,1,1,5,-,5,2,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,3,2,1
Eungbong-dong,Seongdong-gu,62.0,22.0,40,38,13,25,24,8,16,14,5,9,5,1,4,4,3,1,5,-,5,2,-,2,-,-,-,1,1,-,1,1,-,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,4,2,2
Geumho 1(il)-ga-dong,Seongdong-gu,101.0,38.0,63,56,24,32,36,16,20,20,8,12,9,7,2,9,2,7,7,-,7,8,1,7,4,1,3,1,-,1,2,2,-,1,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1
Geumho 4(sa)-ga-dong,Seongdong-gu,167.0,87.0,80,107,47,60,87,40,47,20,7,13,11,8,3,18,9,9,3,1,2,2,2,-,-,-,-,-,-,-,-,-,-,4,2,2,6,4,2,-,-,-,1,1,-,-,-,-,5,5,-,10,8,2
Seongsu 1(il)-ga1(il)-dong,Seongdong-gu,436.0,233.0,203,286,131,155,232,112,120,54,19,35,8,8,-,8,4,4,3,-,3,41,21,20,16,10,6,22,17,5,3,3,-,3,-,3,-,-,-,1,1,-,6,4,2,2,2,-,1,1,-,36,31,5
Seongsu 1(il)-ga2(i)-dong,Seongdong-gu,393.0,184.0,209,281,126,155,212,101,111,69,25,44,2,2,-,19,7,12,9,-,9,17,3,14,13,3,10,2,1,1,-,-,-,2,1,1,-,-,-,-,-,-,14,9,5,1,1,-,3,3,-,30,28,2
Seongsu 2(i)-ga1(il)-dong,Seongdong-gu,828.0,406.0,422,622,282,340,544,252,292,78,30,48,3,1,2,7,2,5,11,2,9,55,28,27,28,19,9,47,29,18,-,-,-,-,-,-,2,-,2,1,1,-,11,8,3,-,-,-,-,-,-,41,34,7
Seongsu 2(i)-ga 3(sam)-dong,Seongdong-gu,418.0,251.0,167,233,117,116,188,90,98,45,27,18,3,2,1,18,8,10,10,2,8,15,10,5,29,20,9,30,25,5,1,1,-,1,-,1,2,-,2,7,3,4,13,11,2,-,-,-,-,-,-,56,52,4
Songjeong-dong,Seongdong-gu,545.0,248.0,297,441,207,234,368,183,185,73,24,49,1,1,-,5,4,1,-,-,-,24,1,23,49,25,24,13,3,10,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,10,6,4
Yongdap-dong,Seongdong-gu,948.0,453.0,495,809,390,419,683,340,343,126,50,76,8,5,3,5,2,3,4,1,3,21,2,19,43,18,25,7,1,6,3,2,1,4,2,2,3,2,1,-,-,-,3,-,3,-,-,-,-,-,-,38,28,10
WangsimniDoseon-dong,Seongdong-gu,306.0,142.0,164,180,80,100,135,62,73,45,18,27,4,3,1,5,3,2,7,2,5,38,13,25,24,11,13,21,9,12,2,2,-,6,2,4,-,-,-,3,1,2,1,1,-,-,-,-,1,1,-,14,14,-
Geumho 2.3(i.sam)-ga-dong,Seongdong-gu,233.0,111.0,122,154,76,78,126,65,61,28,11,17,4,4,-,17,8,9,10,2,8,21,8,13,6,3,3,2,-,2,3,3,-,-,-,-,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,13,5,8
Oksu-dong,Seongdong-gu,238.0,117.0,121,99,39,60,81,31,50,18,8,10,34,24,10,15,9,6,9,1,8,8,1,7,5,3,2,6,1,5,4,3,1,1,-,1,-,-,-,2,-,2,1,-,1,8,6,2,7,3,4,39,27,12
Hwayang-dong,Gwangjin-gu,2692.0,1158.0,1534,2257,925,1332,718,357,361,1539,568,971,43,30,13,6,2,4,63,11,52,79,40,39,19,9,10,7,3,4,6,5,1,7,6,1,3,1,2,61,39,22,6,4,2,9,6,3,6,4,2,120,73,47
