Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Gunja-dong,Gwangjin-gu,867.0,429.0,438,601,277,324,342,170,172,259,107,152,20,18,2,4,1,3,15,3,12,67,37,30,36,16,20,14,6,8,7,6,1,5,2,3,-,-,-,18,15,3,4,1,3,1,1,-,-,-,-,75,46,29
Junggok 1(il)-dong,Gwangjin-gu,495.0,210.0,285,345,149,196,278,127,151,67,22,45,17,16,1,3,3,-,10,3,7,27,5,22,40,14,26,14,3,11,-,-,-,2,-,2,6,1,5,-,-,-,6,-,6,-,-,-,-,-,-,25,16,9
Junggok 2(i)-dong,Gwangjin-gu,223.0,95.0,128,170,78,92,137,70,67,33,8,25,7,4,3,2,1,1,12,1,11,6,-,6,3,1,2,3,1,2,3,2,1,-,-,-,4,-,4,-,-,-,2,-,2,2,2,-,-,-,-,9,5,4
Junggok 3(sam)-dong,Gwangjin-gu,191.0,79.0,112,159,73,86,126,57,69,33,16,17,1,-,1,3,1,2,2,-,2,8,1,7,2,-,2,7,1,6,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,3,5
Junggok 4(sa)-dong,Gwangjin-gu,181.0,62.0,119,98,34,64,76,31,45,22,3,19,3,3,-,2,1,1,16,2,14,10,1,9,7,1,6,11,1,10,-,-,-,3,-,3,4,2,2,3,2,1,4,-,4,-,-,-,1,1,-,19,14,5
Neung-dong,Gwangjin-gu,257.0,108.0,149,176,72,104,135,56,79,41,16,25,11,4,7,12,8,4,5,1,4,7,2,5,3,1,2,2,-,2,-,-,-,-,-,-,11,3,8,5,1,4,2,-,2,3,2,1,-,-,-,20,14,6
Guui 1(il)-dong,Gwangjin-gu,769.0,344.0,425,623,286,337,510,238,272,113,48,65,23,10,13,17,7,10,29,8,21,12,3,9,14,5,9,5,1,4,1,1,-,6,1,5,4,3,1,1,1,-,1,-,1,-,-,-,3,1,2,30,17,13
Guui 2(i)-dong,Gwangjin-gu,360.0,123.0,237,141,47,94,123,47,76,18,-,18,12,7,5,8,3,5,154,58,96,9,-,9,15,4,11,4,1,3,1,-,1,3,-,3,1,-,1,-,-,-,3,-,3,-,-,-,-,-,-,9,3,6
Guui 3(sam)-dong,Gwangjin-gu,286.0,138.0,148,216,105,111,176,87,89,40,18,22,14,8,6,3,2,1,13,4,9,7,2,5,5,1,4,3,1,2,3,3,-,-,-,-,1,-,1,-,-,-,-,-,-,2,-,2,-,-,-,19,12,7
Gwangjang-dong,Gwangjin-gu,218.0,98.0,120,68,26,42,45,15,30,23,11,12,28,16,12,20,10,10,7,4,3,6,3,3,36,12,24,21,8,13,2,1,1,-,-,-,2,1,1,1,1,-,-,-,-,1,1,-,1,1,-,25,14,11
Jayang 1(il)-dong,Gwangjin-gu,1782.0,848.0,934,1626,796,830,1283,649,634,343,147,196,17,11,6,17,8,9,20,3,17,35,3,32,7,4,3,9,4,5,1,-,1,3,2,1,3,-,3,2,2,-,5,-,5,1,-,1,-,-,-,36,15,21
Jayang 2(i)-dong,Gwangjin-gu,296.0,147.0,149,248,123,125,204,103,101,44,20,24,9,5,4,5,4,1,6,3,3,6,-,6,11,6,5,2,2,-,-,-,-,-,-,-,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,4,2,2
Jayang 3(sam)-dong,Gwangjin-gu,355.0,154.0,201,275,120,155,191,93,98,84,27,57,7,5,2,13,5,8,14,6,8,6,-,6,4,2,2,4,2,2,6,4,2,4,-,4,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,18,10,8
Jayang 4(sa)-dong,Gwangjin-gu,3634.0,1740.0,1894,3537,1711,1826,3028,1473,1555,509,238,271,4,4,-,8,2,6,15,1,14,26,6,20,7,2,5,5,-,5,2,2,-,-,-,-,1,-,1,-,-,-,3,-,3,-,-,-,2,2,-,24,10,14
Hoegi-dong,Dongdaemun-gu,1478.0,571.0,907,1009,390,619,94,43,51,915,347,568,38,25,13,36,6,30,90,12,78,17,4,13,48,19,29,8,5,3,1,1,-,20,7,13,7,3,4,6,5,1,12,3,9,3,3,-,13,10,3,170,78,92
Hwigyeong 1(il)-dong,Dongdaemun-gu,1048.0,440.0,608,694,294,400,334,155,179,360,139,221,13,10,3,25,8,17,51,6,45,58,30,28,60,20,40,11,6,5,3,3,-,13,3,10,1,-,1,11,6,5,8,2,6,4,1,3,3,1,2,93,50,43
Hwigyeong 2(i)-dong,Dongdaemun-gu,385.0,164.0,221,234,102,132,133,64,69,101,38,63,25,13,12,4,1,3,16,2,14,8,-,8,26,14,12,39,14,25,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,27,14,13
Cheongnyangni-dong,Dongdaemun-gu,933.0,486.0,447,632,320,312,538,274,264,94,46,48,15,14,1,27,8,19,24,14,10,25,4,21,13,5,8,9,-,9,2,-,2,8,6,2,7,3,4,10,7,3,3,2,1,4,3,1,7,6,1,147,94,53
Yongsin-dong,Dongdaemun-gu,1437.0,669.0,768,1198,562,636,1023,491,532,175,71,104,14,10,4,37,22,15,30,6,24,46,12,34,44,16,28,9,3,6,3,2,1,6,3,3,5,3,2,2,1,1,1,-,1,3,2,1,7,5,2,32,22,10
Jegi-dong,Dongdaemun-gu,1551.0,660.0,891,1234,529,705,525,248,277,709,281,428,23,14,9,21,7,14,70,11,59,18,4,14,31,10,21,6,1,5,7,4,3,8,8,-,5,-,5,2,2,-,2,-,2,2,2,-,3,2,1,119,66,53
Jeonnong 1(il)-dong,Dongdaemun-gu,515.0,197.0,318,327,135,192,216,95,121,111,40,71,5,4,1,35,10,25,19,2,17,39,10,29,42,19,23,7,3,4,1,1,-,5,1,4,-,-,-,-,-,-,4,-,4,-,-,-,-,-,-,31,12,19
Jeonnong 2(i)-dong,Dongdaemun-gu,275.0,100.0,175,133,39,94,17,6,11,116,33,83,9,2,7,9,2,7,26,7,19,7,1,6,24,9,15,2,1,1,2,2,-,5,4,1,8,3,5,1,-,1,1,1,-,-,-,-,8,5,3,40,24,16
Dapsimni 1(il)-dong,Dongdaemun-gu,430.0,204.0,226,288,126,162,233,107,126,55,19,36,5,3,2,4,3,1,13,5,8,36,18,18,20,6,14,9,1,8,1,1,-,6,5,1,7,4,3,-,-,-,1,1,-,2,-,2,-,-,-,38,31,7
Dapsimni 2(i)-dong,Dongdaemun-gu,294.0,137.0,157,176,87,89,145,70,75,31,17,14,2,1,1,12,7,5,13,2,11,15,-,15,10,2,8,7,-,7,1,-,1,-,-,-,3,-,3,1,1,-,1,-,1,2,2,-,1,1,-,50,34,16
Jangan 1(il)-dong,Dongdaemun-gu,737.0,308.0,429,432,178,254,344,140,204,88,38,50,4,2,2,16,8,8,15,1,14,35,2,33,80,27,53,61,29,32,3,1,2,14,6,8,7,4,3,4,3,1,4,-,4,3,3,-,1,1,-,58,43,15
Jangan 2(i)-dong,Dongdaemun-gu,262.0,95.0,167,122,43,79,93,35,58,29,8,21,35,13,22,7,3,4,9,2,7,11,2,9,28,14,14,20,4,16,4,1,3,2,1,1,7,2,5,-,-,-,1,-,1,-,-,-,-,-,-,16,10,6
Imun 1(il)-dong,Dongdaemun-gu,2384.0,957.0,1427,1532,636,896,388,181,207,1144,455,689,41,30,11,48,12,36,124,16,108,83,24,59,87,33,54,29,9,20,6,4,2,28,9,19,31,8,23,15,14,1,17,3,14,4,4,-,28,9,19,311,146,165
Imun 2(i)-dong,Dongdaemun-gu,438.0,186.0,252,285,124,161,118,52,66,167,72,95,6,6,-,25,11,14,15,3,12,11,1,10,45,16,29,11,5,6,1,1,-,4,2,2,4,2,2,-,-,-,3,-,3,3,2,1,2,-,2,23,13,10
Myeonmok 2(i)-dong,Jungnang-gu,417.0,173.0,244,240,107,133,193,95,98,47,12,35,8,4,4,10,3,7,5,1,4,44,10,34,76,35,41,14,5,9,1,1,-,2,2,-,-,-,-,-,-,-,5,-,5,-,-,-,-,-,-,12,5,7
Myeonmok 4(sa)-dong,Jungnang-gu,217.0,80.0,137,155,62,93,125,52,73,30,10,20,-,-,-,5,2,3,4,1,3,17,3,14,19,7,12,12,4,8,-,-,-,-,-,-,-,-,-,1,1,-,2,-,2,-,-,-,-,-,-,2,-,2
Myeonmok 5(o)-dong,Jungnang-gu,162.0,47.0,115,93,32,61,76,28,48,17,4,13,-,-,-,2,2,-,2,-,2,17,-,17,24,7,17,9,1,8,-,-,-,8,4,4,3,-,3,-,-,-,2,-,2,-,-,-,-,-,-,2,1,1
Myeonmok 7(chil)-dong,Jungnang-gu,211.0,74.0,137,136,58,78,108,52,56,28,6,22,-,-,-,7,5,2,5,-,5,26,1,25,17,3,14,8,2,6,1,1,-,1,-,1,2,1,1,-,-,-,3,-,3,-,-,-,1,-,1,4,3,1
Sangbong 1(il)-dong,Jungnang-gu,228.0,85.0,143,164,62,102,129,52,77,35,10,25,7,6,1,4,1,3,8,1,7,16,1,15,13,6,7,5,1,4,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3
Sangbong 2(i)-dong,Jungnang-gu,254.0,106.0,148,193,88,105,161,82,79,32,6,26,4,2,2,6,3,3,6,1,5,10,1,9,18,4,14,2,1,1,2,1,1,4,1,3,-,-,-,-,-,-,3,-,3,2,2,-,-,-,-,4,2,2
Junghwa 1(il)-dong,Jungnang-gu,271.0,107.0,164,211,92,119,164,75,89,47,17,30,3,2,1,2,2,-,8,-,8,12,-,12,9,1,8,7,-,7,1,1,-,3,2,1,2,-,2,-,-,-,2,-,2,1,1,-,-,-,-,10,6,4
Junghwa 2(i)-dong,Jungnang-gu,518.0,217.0,301,417,192,225,350,167,183,67,25,42,2,2,-,9,2,7,6,1,5,37,4,33,15,7,8,10,-,10,1,-,1,1,-,1,3,1,2,-,-,-,7,-,7,-,-,-,-,-,-,10,8,2
Muk 1(il)-dong,Jungnang-gu,217.0,83.0,134,155,61,94,94,35,59,61,26,35,5,4,1,7,3,4,14,3,11,11,1,10,1,1,-,8,-,8,3,3,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,11,7,4
Muk 2(i)-dong,Jungnang-gu,136.0,42.0,94,91,30,61,67,24,43,24,6,18,2,2,-,4,2,2,6,1,5,9,-,9,7,3,4,2,-,2,-,-,-,3,-,3,2,-,2,-,-,-,5,1,4,1,-,1,-,-,-,4,3,1
Mangu 3(sam)-dong,Jungnang-gu,151.0,46.0,105,80,28,52,63,23,40,17,5,12,3,2,1,2,1,1,1,1,-,19,-,19,39,10,29,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,1,1,-,-,-,-,3,3,-
Sinnae 1(il)-dong,Jungnang-gu,152.0,67.0,85,78,29,49,60,27,33,18,2,16,12,8,4,3,3,-,10,1,9,11,-,11,18,16,2,2,-,2,3,1,2,3,1,2,-,-,-,1,1,-,2,-,2,-,-,-,-,-,-,9,7,2
Sinnae 2(i)-dong,Jungnang-gu,85.0,34.0,51,53,22,31,33,14,19,20,8,12,6,3,3,1,-,1,4,-,4,3,-,3,1,-,1,-,-,-,3,3,-,1,-,1,-,-,-,-,-,-,2,1,1,5,2,3,-,-,-,6,3,3
Myeonmokbon-dong,Jungnang-gu,681.0,237.0,444,460,168,292,365,145,220,95,23,72,2,2,-,7,3,4,16,3,13,49,3,46,95,37,58,22,6,16,-,-,-,9,3,6,2,-,2,-,-,-,2,-,2,-,-,-,-,-,-,17,12,5
Myeonmok 3.8(sam.pal)-dong,Jungnang-gu,295.0,112.0,183,226,92,134,183,80,103,43,12,31,1,-,1,3,2,1,2,-,2,20,1,19,29,10,19,3,2,1,1,1,-,-,-,-,1,-,1,-,-,-,1,-,1,2,1,1,-,-,-,6,3,3
Mangubon-dong,Jungnang-gu,367.0,132.0,235,222,92,130,168,77,91,54,15,39,3,2,1,1,-,1,20,5,15,43,2,41,40,17,23,9,2,7,3,1,2,2,-,2,3,-,3,1,1,-,3,-,3,5,5,-,-,-,-,12,5,7
Donam 1(il)-dong,Seongbuk-gu,170.0,66.0,104,106,49,57,25,10,15,81,39,42,18,5,13,8,4,4,4,-,4,7,-,7,2,-,2,8,-,8,1,1,-,1,1,-,4,2,2,-,-,-,1,-,1,2,1,1,-,-,-,8,3,5
Donam 2(i)-dong,Seongbuk-gu,70.0,30.0,40,18,2,16,10,1,9,8,1,7,14,9,5,14,7,7,2,-,2,1,-,1,4,3,1,-,-,-,4,4,-,1,-,1,6,2,4,-,-,-,-,-,-,2,2,-,-,-,-,4,1,3
Anam-dong,Seongbuk-gu,1507.0,667.0,840,753,300,453,131,56,75,622,244,378,89,51,38,50,22,28,112,29,83,43,18,25,72,27,45,5,1,4,12,8,4,9,8,1,5,1,4,29,16,13,3,1,2,10,6,4,7,5,2,308,174,134
Bomun-dong,Seongbuk-gu,330.0,133.0,197,215,91,124,168,72,96,47,19,28,2,1,1,12,8,4,4,1,3,40,6,34,24,6,18,2,-,2,-,-,-,2,-,2,-,-,-,1,1,-,2,1,1,1,1,-,-,-,-,25,17,8
Jeongneung 1(il)-dong,Seongbuk-gu,322.0,115.0,207,179,58,121,67,21,46,112,37,75,13,7,6,14,8,6,15,5,10,27,2,25,27,10,17,7,2,5,6,6,-,3,1,2,5,-,5,3,3,-,-,-,-,2,2,-,1,1,-,20,10,10
Jeongneung 2(i)-dong,Seongbuk-gu,128.0,60.0,68,62,28,34,28,11,17,34,17,17,8,5,3,24,14,10,2,-,2,8,-,8,5,2,3,4,-,4,2,2,-,1,-,1,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,9,7,2
Jeongneung 3(sam)-dong,Seongbuk-gu,841.0,394.0,447,554,273,281,35,15,20,519,258,261,6,3,3,15,3,12,18,3,15,74,34,40,84,36,48,5,1,4,1,-,1,5,4,1,13,2,11,2,2,-,1,-,1,-,-,-,2,1,1,61,32,29
Jeongneung 4(sa)-dong,Seongbuk-gu,228.0,91.0,137,89,29,60,32,14,18,57,15,42,17,12,5,39,18,21,7,3,4,16,-,16,18,10,8,4,1,3,3,2,1,2,-,2,9,3,6,-,-,-,1,-,1,4,3,1,-,-,-,19,10,9
Gireum 1(il)-dong,Seongbuk-gu,224.0,86.0,138,113,43,70,70,27,43,43,16,27,8,4,4,22,12,10,18,1,17,17,1,16,5,1,4,6,-,6,9,7,2,-,-,-,6,3,3,-,-,-,-,-,-,2,1,1,1,1,-,17,12,5
Gireum 2(i)-dong,Seongbuk-gu,247.0,108.0,139,179,82,97,128,58,70,51,24,27,6,2,4,13,6,7,6,1,5,11,2,9,10,3,7,3,1,2,4,2,2,2,-,2,-,-,-,5,2,3,-,-,-,-,-,-,-,-,-,8,7,1
Wolgok 1(il)-dong,Seongbuk-gu,282.0,126.0,156,111,46,65,78,35,43,33,11,22,15,10,5,16,9,7,9,2,7,27,3,24,26,14,12,11,3,8,3,3,-,2,-,2,3,-,3,9,6,3,1,-,1,-,-,-,1,1,-,48,29,19
Wolgok 2(i)-dong,Seongbuk-gu,312.0,139.0,173,130,52,78,69,31,38,61,21,40,9,5,4,6,3,3,8,2,6,31,9,22,12,8,4,14,4,10,3,2,1,5,2,3,-,-,-,25,14,11,2,-,2,1,1,-,2,1,1,64,36,28
Jangwi 1(il)-dong,Seongbuk-gu,296.0,105.0,191,156,57,99,110,49,61,46,8,38,6,3,3,13,8,5,9,1,8,26,3,23,46,17,29,17,5,12,3,3,-,2,-,2,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,16,7,9
Jangwi 2(i)-dong,Seongbuk-gu,213.0,88.0,125,108,47,61,73,37,36,35,10,25,1,-,1,10,4,6,6,-,6,18,4,14,37,19,18,8,3,5,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,23,10,13
Jangwi 3(sam)-dong,Seongbuk-gu,246.0,95.0,151,140,57,83,79,33,46,61,24,37,-,-,-,6,4,2,5,-,5,7,-,7,69,29,40,7,2,5,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,10,3,7
Seongbuk-dong,Seongbuk-gu,555.0,232.0,323,125,51,74,80,38,42,45,13,32,91,51,40,8,4,4,19,1,18,14,3,11,2,-,2,82,14,68,13,6,7,1,-,1,2,-,2,12,7,5,2,-,2,30,17,13,10,6,4,144,72,72
Samseon-dong,Seongbuk-gu,565.0,253.0,312,378,156,222,112,38,74,266,118,148,26,18,8,16,11,5,19,9,10,15,2,13,49,19,30,3,1,2,14,8,6,1,-,1,2,1,1,2,2,-,1,-,1,6,2,4,1,1,-,32,23,9
Dongseon-dong,Seongbuk-gu,548.0,222.0,326,365,135,230,64,26,38,301,109,192,13,9,4,21,6,15,26,5,21,16,4,12,-,-,-,5,3,2,6,3,3,2,1,1,4,1,3,-,-,-,1,-,1,5,5,-,10,9,1,74,41,33
Jongam-dong,Seongbuk-gu,824.0,321.0,503,508,190,318,123,59,64,385,131,254,24,20,4,19,5,14,48,8,40,23,4,19,46,19,27,34,17,17,5,2,3,3,1,2,8,3,5,-,-,-,5,-,5,7,5,2,5,3,2,89,44,45
Seokgwan-dong,Seongbuk-gu,695.0,280.0,415,415,171,244,287,128,159,128,43,85,17,12,5,8,3,5,15,2,13,47,2,45,82,27,55,11,6,5,3,2,1,5,5,-,2,1,1,4,4,-,11,4,7,6,4,2,1,1,-,68,36,32
Beon 1(il)-dong,Gangbuk-gu,369.0,129.0,240,279,105,174,200,81,119,79,24,55,3,-,3,6,3,3,11,1,10,26,1,25,18,6,12,3,1,2,2,1,1,2,1,1,2,1,1,-,-,-,1,-,1,1,1,-,1,1,-,14,7,7
Beon 2(i)-dong,Gangbuk-gu,101.0,33.0,68,58,23,35,44,22,22,14,1,13,1,1,-,8,4,4,4,1,3,18,2,16,4,1,3,4,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,3,-,3
Beon 3(sam)-dong,Gangbuk-gu,61.0,14.0,47,38,10,28,19,8,11,19,2,17,1,1,-,2,-,2,4,-,4,6,-,6,3,-,3,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,1,-,2,-,2
Suyu 1(il)-dong,Gangbuk-gu,342.0,128.0,214,199,74,125,132,54,78,67,20,47,12,9,3,13,4,9,11,-,11,39,2,37,7,1,6,15,6,9,3,1,2,1,-,1,1,1,-,1,1,-,4,-,4,4,3,1,-,-,-,32,26,6
Suyu 2(i)-dong,Gangbuk-gu,131.0,32.0,99,69,22,47,51,16,35,18,6,12,5,5,-,6,2,4,13,-,13,18,-,18,3,1,2,5,-,5,2,-,2,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,8,2,6
Suyu 3(sam)-dong,Gangbuk-gu,331.0,126.0,205,213,86,127,164,74,90,49,12,37,11,5,6,7,3,4,6,-,6,21,2,19,26,10,16,15,4,11,4,1,3,2,1,1,3,2,1,-,-,-,2,-,2,5,5,-,1,-,1,15,7,8
Samyang-dong,Gangbuk-gu,144.0,51.0,93,104,43,61,67,30,37,37,13,24,2,2,-,1,-,1,5,-,5,10,-,10,4,1,3,7,1,6,1,1,-,1,1,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,7,2,5
Mia-dong,Gangbuk-gu,743.0,286.0,457,503,202,301,388,168,220,115,34,81,10,6,4,31,18,13,19,3,16,60,4,56,51,19,32,13,4,9,6,4,2,2,-,2,5,1,4,1,1,-,4,-,4,-,-,-,2,2,-,36,22,14
Songjung-dong,Gangbuk-gu,326.0,138.0,188,252,113,139,199,92,107,53,21,32,4,4,-,5,1,4,3,1,2,17,3,14,15,3,12,5,1,4,-,-,-,8,5,3,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,15,7,8
Songcheon-dong,Gangbuk-gu,313.0,136.0,177,229,103,126,173,84,89,56,19,37,7,4,3,2,-,2,11,1,10,6,-,6,24,9,15,2,1,1,9,7,2,4,1,3,-,-,-,1,1,-,3,1,2,1,-,1,-,-,-,14,8,6
Samgaksan-dong,Gangbuk-gu,67.0,24.0,43,32,10,22,20,7,13,12,3,9,3,2,1,6,4,2,8,3,5,7,-,7,3,-,3,2,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,1,-,1,3,3,-
Ui-dong,Gangbuk-gu,122.0,49.0,73,54,17,37,29,14,15,25,3,22,4,2,2,10,5,5,3,2,1,15,-,15,-,-,-,7,6,1,3,3,-,5,-,5,1,-,1,1,1,-,9,6,3,-,-,-,2,-,2,8,7,1
Insu-dong,Gangbuk-gu,203.0,70.0,133,111,41,70,70,31,39,41,10,31,11,6,5,4,1,3,12,2,10,21,-,21,6,1,5,8,1,7,-,-,-,2,-,2,-,-,-,2,2,-,4,-,4,4,3,1,2,2,-,16,11,5
Ssangmun 1(il)-dong,Dobong-gu,225.0,63.0,162,121,39,82,66,31,35,55,8,47,9,5,4,6,3,3,7,1,6,28,2,26,10,1,9,12,4,8,4,2,2,4,-,4,1,-,1,-,-,-,3,-,3,1,1,-,1,1,-,18,4,14
Ssangmun 2(i)-dong,Dobong-gu,116.0,43.0,73,61,25,36,37,15,22,24,10,14,1,1,-,4,3,1,5,3,2,16,2,14,9,2,7,5,-,5,1,1,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,1,-,1,11,6,5
Ssangmun 3(sam)-dong,Dobong-gu,146.0,51.0,95,91,34,57,68,30,38,23,4,19,3,3,-,1,1,-,9,-,9,17,1,16,14,5,9,6,3,3,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-
Ssangmun 4(sa)-dong,Dobong-gu,47.0,19.0,28,24,9,15,14,6,8,10,3,7,6,3,3,-,-,-,1,-,1,7,1,6,-,-,-,2,1,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,5,4,1
Banghak 1(il)-dong,Dobong-gu,256.0,97.0,159,131,42,89,93,34,59,38,8,30,12,8,4,4,3,1,9,4,5,22,2,20,27,10,17,19,10,9,8,6,2,1,-,1,-,-,-,-,-,-,3,1,2,2,1,1,-,-,-,18,10,8
Banghak 2(i)-dong,Dobong-gu,187.0,61.0,126,104,32,72,65,26,39,39,6,33,1,-,1,-,-,-,8,-,8,17,-,17,5,1,4,33,15,18,-,-,-,1,-,1,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,15,12,3
Banghak 3(sam)-dong,Dobong-gu,64.0,23.0,41,22,8,14,17,6,11,5,2,3,5,4,1,9,5,4,5,-,5,7,-,7,1,-,1,2,-,2,6,4,2,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,5,2,3
Chang 1(il)-dong,Dobong-gu,265.0,121.0,144,103,40,63,81,37,44,22,3,19,21,14,7,4,1,3,13,-,13,15,4,11,11,3,8,50,30,20,13,9,4,5,-,5,1,-,1,1,1,-,4,-,4,4,4,-,2,1,1,18,14,4
Chang 2(i)-dong,Dobong-gu,222.0,113.0,109,81,36,45,57,26,31,24,10,14,6,4,2,-,-,-,6,-,6,29,5,24,15,8,7,40,20,20,3,3,-,2,2,-,1,1,-,-,-,-,10,9,1,-,-,-,5,3,2,24,22,2
Chang 3(sam)-dong,Dobong-gu,80.0,22.0,58,51,18,33,30,13,17,21,5,16,1,1,-,-,-,-,5,-,5,14,-,14,2,1,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,4,1,3
Chang 4(sa)-dong,Dobong-gu,61.0,22.0,39,20,5,15,11,3,8,9,2,7,12,7,5,4,2,2,4,-,4,6,-,6,1,-,1,-,-,-,4,3,1,1,1,-,1,-,1,-,-,-,-,-,-,2,1,1,-,-,-,6,3,3
