Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Chang 5(o)-dong,Dobong-gu,146.0,58.0,88,72,31,41,52,23,29,20,8,12,14,4,10,6,3,3,8,-,8,5,-,5,3,1,2,9,2,7,7,3,4,4,1,3,-,-,-,-,-,-,3,1,2,3,3,-,2,-,2,10,9,1
Dobong 1(il)-dong,Dobong-gu,186.0,63.0,123,108,37,71,71,28,43,37,9,28,4,3,1,4,3,1,13,6,7,23,3,20,3,2,1,12,1,11,2,-,2,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,8,5
Dobong 2(i)-dong,Dobong-gu,108.0,37.0,71,75,27,48,43,20,23,32,7,25,2,1,1,3,2,1,3,1,2,8,-,8,2,-,2,1,-,1,1,1,-,1,-,1,1,-,1,-,-,-,2,-,2,1,1,-,1,1,-,7,3,4
Wolgye 1(il)-dong,Nowon-gu,495.0,242.0,253,348,180,168,94,47,47,254,133,121,9,2,7,5,1,4,17,5,12,19,1,18,35,16,19,9,1,8,1,1,-,-,-,-,8,3,5,13,8,5,5,2,3,2,1,1,-,-,-,24,21,3
Wolgye 2(i)-dong,Nowon-gu,193.0,69.0,124,109,41,68,53,19,34,56,22,34,27,16,11,8,2,6,16,2,14,11,-,11,3,2,1,4,1,3,8,4,4,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4
Wolgye 3(sam)-dong,Nowon-gu,140.0,50.0,90,84,34,50,36,18,18,48,16,32,4,2,2,5,4,1,16,2,14,9,1,8,10,2,8,5,1,4,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,3,1,2
Gongneung 2(i)-dong,Nowon-gu,606.0,260.0,346,285,117,168,65,32,33,220,85,135,59,34,25,7,1,6,42,6,36,41,6,35,26,11,15,14,5,9,10,8,2,5,3,2,10,5,5,1,-,1,-,-,-,7,4,3,4,2,2,95,58,37
Hagye 1(il)-dong,Nowon-gu,141.0,75.0,66,74,36,38,46,22,24,28,14,14,11,8,3,4,2,2,13,1,12,5,1,4,8,6,2,3,-,3,2,2,-,13,12,1,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1
Hagye 2(i)-dong,Nowon-gu,46.0,24.0,22,23,12,11,13,8,5,10,4,6,6,4,2,5,4,1,7,2,5,-,-,-,-,-,-,-,-,-,2,2,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1
Junggyebon-dong,Nowon-gu,155.0,76.0,79,95,44,51,49,27,22,46,17,29,15,12,3,3,1,2,8,2,6,7,1,6,3,2,1,6,2,4,9,7,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,8,4,4
Junggye 1(il)-dong,Nowon-gu,85.0,38.0,47,14,4,10,9,3,6,5,1,4,39,21,18,3,1,2,7,2,5,2,-,2,-,-,-,1,-,1,6,3,3,-,-,-,1,-,1,-,-,-,-,-,-,5,4,1,-,-,-,7,3,4
Junggye 4(sa)-dong,Nowon-gu,84.0,29.0,55,38,12,26,20,7,13,18,5,13,9,7,2,2,1,1,11,-,11,6,-,6,-,-,-,6,-,6,6,4,2,2,1,1,-,-,-,2,2,-,-,-,-,1,1,-,-,-,-,1,1,-
Sanggye 1(il)-dong,Nowon-gu,262.0,106.0,156,136,52,84,93,43,50,43,9,34,18,10,8,8,3,5,18,5,13,16,2,14,5,2,3,25,18,7,7,3,4,9,2,7,2,-,2,2,1,1,-,-,-,5,3,2,-,-,-,11,5,6
Sanggye 2(i)-dong,Nowon-gu,131.0,51.0,80,79,30,49,58,23,35,21,7,14,10,5,5,5,2,3,4,1,3,8,1,7,6,2,4,7,2,5,1,1,-,1,-,1,1,-,1,-,-,-,-,-,-,1,1,-,1,1,-,7,5,2
Sanggye 5(o)-dong,Nowon-gu,126.0,50.0,76,76,35,41,61,31,30,15,4,11,3,2,1,7,3,4,8,3,5,13,-,13,8,5,3,4,-,4,1,-,1,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2
Sanggye 8(pal)-dong,Nowon-gu,43.0,8.0,35,19,3,16,7,3,4,12,-,12,3,2,1,2,1,1,6,-,6,4,-,4,-,-,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,4,1,3
Sanggye 9(gu)-dong,Nowon-gu,68.0,18.0,50,34,9,25,17,3,14,17,6,11,2,1,1,8,4,4,8,1,7,5,-,5,-,-,-,2,-,2,1,1,-,1,-,1,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,5,2,3
Sanggye 10(sip)-dong,Nowon-gu,45.0,12.0,33,15,3,12,11,1,10,4,2,2,6,4,2,3,1,2,6,-,6,5,-,5,1,-,1,1,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,3,4
Sanggye 3.4(sam.sa)-dong,Nowon-gu,250.0,86.0,164,162,63,99,118,55,63,44,8,36,2,-,2,6,5,1,9,2,7,32,4,28,11,4,7,6,-,6,1,1,-,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,7,10
Sanggye 6.7(yuk.chil)-dong,Nowon-gu,172.0,74.0,98,83,31,52,39,14,25,44,17,27,22,12,10,22,12,10,9,3,6,6,-,6,-,-,-,7,3,4,7,3,4,1,-,1,-,-,-,-,-,-,1,-,1,2,2,-,-,-,-,12,8,4
Junggye 2.3(i.sam)-dong,Nowon-gu,146.0,59.0,87,87,41,46,58,33,25,29,8,21,8,4,4,3,2,1,7,1,6,16,2,14,3,-,3,7,1,6,2,1,1,1,-,1,2,1,1,2,1,1,-,-,-,4,2,2,-,-,-,4,3,1
Gongneung 1(il)-dong,Nowon-gu,377.0,173.0,204,271,131,140,178,89,89,93,42,51,7,5,2,7,1,6,13,-,13,23,6,17,15,6,9,6,-,6,4,2,2,1,1,-,-,-,-,1,-,1,4,3,1,5,4,1,1,1,-,19,13,6
Nokbeon-dong,Eunpyeong-gu,499.0,224.0,275,287,123,164,227,100,127,60,23,37,15,13,2,108,61,47,18,4,14,26,4,22,4,2,2,4,-,4,2,1,1,4,2,2,1,-,1,-,-,-,2,-,2,2,2,-,1,-,1,25,12,13
Bulgwang 1(il)-dong,Eunpyeong-gu,383.0,171.0,212,239,115,124,177,84,93,62,31,31,16,8,8,38,24,14,33,6,27,22,-,22,1,1,-,5,1,4,1,1,-,3,1,2,1,1,-,2,1,1,2,-,2,2,2,-,1,-,1,17,10,7
Galhyeon 1(il)-dong,Eunpyeong-gu,245.0,96.0,149,157,68,89,107,46,61,50,22,28,8,5,3,8,6,2,17,2,15,28,3,25,1,1,-,3,-,3,1,-,1,-,-,-,1,-,1,-,-,-,6,-,6,3,3,-,-,-,-,12,8,4
Galhyeon 2(i)-dong,Eunpyeong-gu,265.0,118.0,147,57,23,34,40,19,21,17,4,13,13,7,6,27,13,14,145,68,77,9,1,8,1,-,1,1,-,1,7,4,3,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,2,-,2
Gusan-dong,Eunpyeong-gu,223.0,87.0,136,135,53,82,66,31,35,69,22,47,4,3,1,37,19,18,14,6,8,17,-,17,5,2,3,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,6,3,3
Daejo-dong,Eunpyeong-gu,345.0,149.0,196,239,106,133,186,92,94,53,14,39,8,5,3,34,17,17,10,2,8,16,1,15,5,1,4,2,-,2,5,4,1,13,5,8,-,-,-,-,-,-,1,-,1,1,1,-,1,1,-,10,6,4
Eungam 1(il)-dong,Eunpyeong-gu,374.0,148.0,226,190,70,120,140,54,86,50,16,34,22,11,11,63,38,25,15,3,12,26,2,24,3,-,3,9,2,7,9,6,3,3,-,3,2,-,2,-,-,-,2,-,2,3,2,1,4,2,2,23,12,11
Eungam 2(i)-dong,Eunpyeong-gu,175.0,79.0,96,89,39,50,71,36,35,18,3,15,2,2,-,44,25,19,7,1,6,11,1,10,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,2,1,1,2,-,2,-,-,-,1,1,-,15,8,7
Sinsa 1(il)-dong,Eunpyeong-gu,245.0,96.0,149,114,42,72,62,22,40,52,20,32,14,11,3,17,11,6,9,1,8,27,2,25,1,-,1,7,1,6,2,1,1,25,14,11,3,1,2,7,3,4,1,-,1,2,2,-,1,-,1,15,7,8
Sinsa 2(i)-dong,Eunpyeong-gu,130.0,48.0,82,68,23,45,46,17,29,22,6,16,2,1,1,10,3,7,5,-,5,7,-,7,-,-,-,17,6,11,2,2,-,5,3,2,-,-,-,-,-,-,1,-,1,-,-,-,2,2,-,11,8,3
Jeungsan-dong,Eunpyeong-gu,169.0,68.0,101,90,38,52,69,29,40,21,9,12,2,2,-,20,11,9,10,2,8,7,-,7,5,2,3,3,1,2,1,1,-,3,-,3,4,1,3,-,-,-,4,-,4,-,-,-,-,-,-,20,10,10
Susaek-dong,Eunpyeong-gu,200.0,70.0,130,146,51,95,96,36,60,50,15,35,2,2,-,17,10,7,2,-,2,15,1,14,4,1,3,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,4
Jingwan-dong,Eunpyeong-gu,170.0,63.0,107,65,17,48,38,14,24,27,3,24,2,2,-,27,15,12,19,9,10,12,1,11,6,2,4,2,1,1,4,2,2,11,2,9,2,-,2,-,-,-,5,1,4,1,1,-,-,-,-,14,10,4
Bulgwang 2(i)-dong,Eunpyeong-gu,271.0,108.0,163,211,92,119,158,73,85,53,19,34,3,1,2,11,6,5,12,2,10,14,1,13,-,-,-,4,-,4,2,1,1,4,1,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,8,4,4
Eungam 3(sam)-dong,Eunpyeong-gu,287.0,102.0,185,151,63,88,100,45,55,51,18,33,2,-,2,45,24,21,11,1,10,39,1,38,6,-,6,4,1,3,-,-,-,-,-,-,1,-,1,-,-,-,6,-,6,1,1,-,-,-,-,21,11,10
Yeokchon-dong,Eunpyeong-gu,430.0,226.0,204,294,172,122,134,58,76,160,114,46,10,8,2,45,25,20,22,6,16,22,2,20,3,-,3,7,-,7,1,1,-,6,4,2,1,-,1,1,1,-,2,-,2,-,-,-,-,-,-,16,7,9
Cheonyeon-dong,Seodaemun-gu,225.0,107.0,118,107,44,63,82,35,47,25,9,16,10,8,2,47,29,18,7,1,6,9,5,4,2,-,2,5,2,3,2,1,1,1,-,1,5,2,3,-,-,-,1,-,1,3,3,-,-,-,-,26,12,14
Hongje 1(il)-dong,Seodaemun-gu,423.0,186.0,237,182,75,107,143,65,78,39,10,29,11,9,2,161,81,80,16,4,12,24,6,18,6,2,4,4,-,4,1,1,-,4,-,4,1,-,1,-,-,-,2,-,2,2,2,-,-,-,-,9,6,3
Hongje 3(sam)-dong,Seodaemun-gu,174.0,83.0,91,121,57,64,100,48,52,21,9,12,4,4,-,23,17,6,14,5,9,5,-,5,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,-,4
Hongje 2(i)-dong,Seodaemun-gu,147.0,58.0,89,71,26,45,55,21,34,16,5,11,5,4,1,50,22,28,5,1,4,6,1,5,2,-,2,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,5,3,2
Hongeun 1(il)-dong,Seodaemun-gu,315.0,134.0,181,147,58,89,74,34,40,73,24,49,12,8,4,78,47,31,15,2,13,19,5,14,5,2,3,3,-,3,6,2,4,6,-,6,4,1,3,-,-,-,9,4,5,3,2,1,1,1,-,7,2,5
Hongeun 2(i)-dong,Seodaemun-gu,608.0,283.0,325,138,53,85,60,24,36,78,29,49,19,14,5,239,117,122,17,4,13,21,6,15,17,4,13,4,-,4,10,6,4,-,-,-,-,-,-,1,1,-,17,4,13,5,4,1,1,1,-,119,69,50
Namgajwa 1(il)-dong,Seodaemun-gu,119.0,55.0,64,82,40,42,34,18,16,48,22,26,1,1,-,16,9,7,4,1,3,4,1,3,4,1,3,3,-,3,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,1,-,1,2,1,1
Namgajwa 2(i)-dong,Seodaemun-gu,541.0,226.0,315,265,106,159,69,29,40,196,77,119,8,4,4,159,90,69,24,2,22,21,-,21,26,10,16,5,-,5,-,-,-,-,-,-,3,-,3,-,-,-,2,-,2,-,-,-,-,-,-,28,14,14
Bukgajwa 1(il)-dong,Seodaemun-gu,164.0,73.0,91,61,28,33,42,20,22,19,8,11,2,1,1,49,26,23,9,1,8,13,-,13,1,1,-,4,-,4,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,1,1,-,2,1,1,19,14,5
Bukgajwa 2(i)-dong,Seodaemun-gu,255.0,85.0,170,122,39,83,86,31,55,36,8,28,6,2,4,65,29,36,18,1,17,15,1,14,1,-,1,10,1,9,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,17,12,5
Chunghyeon-dong,Seodaemun-gu,817.0,257.0,560,308,116,192,68,29,39,240,87,153,38,17,21,55,14,41,91,9,82,23,4,19,14,5,9,10,2,8,3,1,2,2,-,2,6,1,5,21,9,12,10,-,10,11,7,4,34,18,16,191,54,137
Bugahyeon-dong,Seodaemun-gu,295.0,144.0,151,226,106,120,187,88,99,39,18,21,8,6,2,18,9,9,4,1,3,10,2,8,3,1,2,2,2,-,2,2,-,1,-,1,1,-,1,7,6,1,2,-,2,1,1,-,1,-,1,9,8,1
Sinchon-dong,Seodaemun-gu,3182.0,1109.0,2073,1172,393,779,189,81,108,983,312,671,259,143,116,198,66,132,560,76,484,51,10,41,64,16,48,12,6,6,50,30,20,22,13,9,32,10,22,43,30,13,61,9,52,30,23,7,65,33,32,563,251,312
Yeonhui-dong,Seodaemun-gu,2494.0,1175.0,1319,440,172,268,145,50,95,295,122,173,296,152,144,1176,610,566,60,19,41,34,6,28,27,10,17,27,4,23,61,27,34,17,4,13,8,1,7,18,8,10,45,16,29,51,21,30,7,5,2,227,120,107
Yonggang-dong,Mapo-gu,351.0,204.0,147,85,36,49,58,27,31,27,9,18,17,10,7,47,25,22,127,91,36,22,13,9,3,2,1,2,-,2,8,6,2,3,-,3,3,1,2,3,3,-,2,-,2,5,5,-,3,2,1,21,10,11
Daeheung-dong,Mapo-gu,1697.0,629.0,1068,1004,376,628,473,218,255,531,158,373,67,44,23,53,11,42,166,30,136,37,10,27,29,11,18,8,1,7,13,10,3,8,2,6,11,-,11,14,9,5,13,1,12,6,4,2,44,23,21,224,97,127
Yeomni-dong,Mapo-gu,584.0,250.0,334,451,197,254,337,149,188,114,48,66,33,20,13,20,11,9,14,3,11,11,-,11,21,4,17,2,1,1,1,-,1,3,1,2,1,-,1,4,2,2,-,-,-,3,2,1,2,-,2,18,9,9
Sinsu-dong,Mapo-gu,491.0,231.0,260,327,152,175,92,41,51,235,111,124,22,13,9,32,15,17,16,3,13,16,9,7,8,2,6,7,2,5,4,2,2,1,1,-,3,3,-,4,3,1,6,5,1,2,2,-,2,1,1,41,18,23
Seogyo-dong,Mapo-gu,1148.0,463.0,685,477,170,307,132,50,82,345,120,225,79,50,29,157,69,88,155,23,132,10,3,7,18,9,9,7,2,5,27,16,11,1,-,1,1,-,1,9,9,-,40,17,23,18,13,5,20,12,8,129,70,59
Hapjeong-dong,Mapo-gu,238.0,114.0,124,122,57,65,93,47,46,29,10,19,15,12,3,24,10,14,21,9,12,6,1,5,-,-,-,2,-,2,3,3,-,7,2,5,-,-,-,3,3,-,1,-,1,2,2,-,3,1,2,29,14,15
Mangwon 1(il)-dong,Mapo-gu,349.0,153.0,196,225,101,124,174,83,91,51,18,33,5,3,2,49,26,23,17,1,16,12,2,10,6,2,4,7,2,5,1,-,1,2,1,1,2,1,1,-,-,-,1,-,1,2,2,-,2,1,1,18,11,7
Mangwon 2(i)-dong,Mapo-gu,181.0,64.0,117,93,34,59,63,26,37,30,8,22,3,1,2,34,16,18,8,1,7,18,3,15,2,-,2,5,-,5,2,2,-,-,-,-,2,1,1,-,-,-,3,-,3,4,3,1,-,-,-,7,3,4
Yeonnam-dong,Mapo-gu,1098.0,544.0,554,239,103,136,111,42,69,128,61,67,24,20,4,693,359,334,30,6,24,11,6,5,2,-,2,5,2,3,8,6,2,3,2,1,1,-,1,2,1,1,5,4,1,7,6,1,10,1,9,58,28,30
Seongsan 1(il)-dong,Mapo-gu,323.0,143.0,180,160,69,91,106,46,60,54,23,31,10,9,1,85,44,41,19,3,16,11,-,11,-,-,-,5,1,4,3,2,1,-,-,-,2,1,1,-,-,-,4,-,4,2,2,-,4,2,2,18,10,8
Seongsan 2(i)-dong,Mapo-gu,194.0,85.0,109,81,31,50,56,24,32,25,7,18,11,9,2,42,24,18,24,8,16,8,-,8,-,-,-,3,-,3,1,1,-,5,1,4,1,-,1,-,-,-,5,1,4,5,5,-,1,1,-,7,4,3
Sangam-dong,Mapo-gu,548.0,277.0,271,87,34,53,40,17,23,47,17,30,46,29,17,27,12,15,109,54,55,19,4,15,1,-,1,5,1,4,27,15,12,4,1,3,9,6,3,8,7,1,6,2,4,15,8,7,2,2,-,183,102,81
Dohwa-dong,Mapo-gu,365.0,189.0,176,182,74,108,125,51,74,57,23,34,16,10,6,58,32,26,74,54,20,3,2,1,-,-,-,6,3,3,1,1,-,-,-,-,3,1,2,5,2,3,4,1,3,1,1,-,3,3,-,9,5,4
Seogang-dong,Mapo-gu,500.0,232.0,268,224,93,131,81,39,42,143,54,89,50,37,13,45,26,19,55,11,44,5,1,4,2,-,2,3,-,3,9,7,2,2,1,1,1,-,1,12,11,1,7,2,5,8,4,4,19,10,9,58,29,29
gongdeok-dong,Mapo-gu,618.0,290.0,328,310,136,174,244,112,132,66,24,42,21,12,9,75,40,35,74,40,34,27,6,21,15,5,10,8,1,7,6,5,1,2,-,2,4,2,2,11,5,6,1,-,1,9,5,4,8,6,2,47,27,20
Ahyeon-dong,Mapo-gu,486.0,240.0,246,316,158,158,245,133,112,71,25,46,15,10,5,60,28,32,22,10,12,17,8,9,3,2,1,2,-,2,2,2,-,1,-,1,2,-,2,1,1,-,4,-,4,5,5,-,3,1,2,33,15,18
Mok 1(il)-dong,Yangcheon-gu,259.0,129.0,130,122,57,65,74,32,42,48,25,23,45,28,17,22,14,8,17,8,9,9,1,8,3,-,3,10,5,5,7,4,3,-,-,-,1,-,1,-,-,-,3,2,1,5,3,2,1,1,-,14,6,8
Mok 2(i)-dong,Yangcheon-gu,227.0,95.0,132,134,63,71,111,60,51,23,3,20,8,4,4,31,17,14,16,2,14,15,1,14,-,-,-,1,-,1,-,-,-,2,-,2,3,1,2,-,-,-,2,1,1,2,1,1,2,2,-,11,3,8
Mok 3(sam)-dong,Yangcheon-gu,159.0,66.0,93,101,42,59,82,36,46,19,6,13,3,2,1,22,10,12,7,3,4,13,1,12,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,4
Mok 4(sa)-dong,Yangcheon-gu,173.0,68.0,105,103,44,59,80,37,43,23,7,16,8,1,7,28,15,13,12,2,10,3,-,3,5,2,3,3,1,2,3,1,2,-,-,-,2,1,1,-,-,-,-,-,-,1,1,-,-,-,-,5,-,5
Sinwol 1(il)-dong,Yangcheon-gu,468.0,169.0,299,340,139,201,259,118,141,81,21,60,2,1,1,18,10,8,5,-,5,45,4,41,12,2,10,30,8,22,-,-,-,4,2,2,-,-,-,-,-,-,5,1,4,-,-,-,-,-,-,7,2,5
Sinwol 2(i)-dong,Yangcheon-gu,166.0,61.0,105,127,48,79,97,40,57,30,8,22,-,-,-,8,5,3,4,-,4,14,2,12,3,2,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,8,4,4
Sinwol 3(sam)-dong,Yangcheon-gu,224.0,85.0,139,165,71,94,127,58,69,38,13,25,-,-,-,13,5,8,3,1,2,13,1,12,10,1,9,19,6,13,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
Sinwol 4(sa)-dong,Yangcheon-gu,65.0,17.0,48,36,12,24,21,10,11,15,2,13,1,1,-,-,-,-,1,-,1,13,1,12,-,-,-,5,1,4,-,-,-,1,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,6,2,4
Sinwol 5(o)-dong,Yangcheon-gu,142.0,62.0,80,89,43,46,71,37,34,18,6,12,-,-,-,13,7,6,3,-,3,9,-,9,-,-,-,19,7,12,1,1,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,6,4,2
Sinwol 6(yuk)-dong,Yangcheon-gu,61.0,24.0,37,47,19,28,39,19,20,8,-,8,-,-,-,4,3,1,1,-,1,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,4,1,3
Sinwol 7(chil)-dong,Yangcheon-gu,139.0,49.0,90,74,30,44,53,26,27,21,4,17,4,4,-,11,7,4,6,-,6,15,-,15,4,-,4,12,2,10,1,-,1,-,-,-,-,-,-,-,-,-,3,-,3,2,2,-,-,-,-,7,4,3
Sinjeong 1(il)-dong,Yangcheon-gu,468.0,230.0,238,337,174,163,304,167,137,33,7,26,16,9,7,25,10,15,16,6,10,20,2,18,1,-,1,18,9,9,5,3,2,1,-,1,-,-,-,4,2,2,1,-,1,2,1,1,-,-,-,22,14,8
Sinjeong 2(i)-dong,Yangcheon-gu,192.0,93.0,99,112,52,60,95,45,50,17,7,10,15,8,7,20,12,8,2,1,1,5,1,4,11,6,5,3,-,3,9,5,4,-,-,-,-,-,-,2,1,1,1,-,1,3,3,-,2,1,1,7,3,4
Sinjeong 3(sam)-dong,Yangcheon-gu,887.0,433.0,454,814,413,401,689,373,316,125,40,85,7,4,3,9,5,4,16,2,14,21,1,20,2,-,2,5,-,5,3,2,1,3,2,1,2,-,2,1,-,1,-,-,-,1,1,-,-,-,-,3,3,-
Sinjeong 6(yuk)-dong,Yangcheon-gu,44.0,18.0,26,10,3,7,7,3,4,3,-,3,15,6,9,4,2,2,6,2,4,2,-,2,-,-,-,-,-,-,2,1,1,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,3,3,-
Sinjeong 7(chil)-dong,Yangcheon-gu,223.0,111.0,112,160,79,81,123,64,59,37,15,22,13,9,4,7,3,4,6,2,4,8,-,8,-,-,-,7,5,2,5,5,-,3,-,3,-,-,-,-,-,-,3,-,3,-,-,-,1,1,-,10,7,3
Mok 5(o)-dong,Yangcheon-gu,87.0,39.0,48,14,6,8,3,2,1,11,4,7,39,21,18,2,-,2,4,-,4,1,-,1,3,2,1,-,-,-,12,4,8,-,-,-,-,-,-,2,1,1,-,-,-,5,2,3,-,-,-,5,3,2
Sinjeong 4(sa)-dong,Yangcheon-gu,564.0,247.0,317,419,183,236,358,164,194,61,19,42,46,25,21,14,9,5,13,2,11,15,1,14,14,4,10,4,-,4,9,6,3,3,1,2,2,-,2,3,2,1,-,-,-,3,3,-,-,-,-,19,11,8
Yeomchang-dong,Gangseo-gu,154.0,69.0,85,45,21,24,35,16,19,10,5,5,6,3,3,30,15,15,24,5,19,14,-,14,-,-,-,-,-,-,3,2,1,1,-,1,4,3,1,3,2,1,2,1,1,4,2,2,-,-,-,18,15,3
Deungchon 1(il)-dong,Gangseo-gu,479.0,242.0,237,132,44,88,91,35,56,41,9,32,18,12,6,27,15,12,20,8,12,21,3,18,2,-,2,84,59,25,8,4,4,9,9,-,11,3,8,86,48,38,8,2,6,3,2,1,-,-,-,50,33,17
Deungchon 2(i)-dong,Gangseo-gu,96.0,39.0,57,65,23,42,51,21,30,14,2,12,1,1,-,6,6,-,4,-,4,4,-,4,-,-,-,6,2,4,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,6,3
