Dong,외국인_등록외국인현황국적별_Autonomous Gu_Autonomous Gu_Autonomous Gu_Autonomous Gu,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Total_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Total_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese-Koreans_Female,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_total,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Male,외국인_등록외국인현황국적별_Foreigners by nationality_China_Chinese_Female,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_total,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Male,외국인_등록외국인현황국적별_Foreigners by nationality_U. S. A_U. S. A_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Taiwan_Taiwan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_total,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Japan_Japan_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_total,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Vietnam_Vietnam_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_total,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Mogol_Mogol_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_total,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Philippines_Philippines_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_total,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Canada_Canada_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _total,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Male,외국인_등록외국인현황국적별_Foreigners by nationality_Uzbekistan _Uzbekistan _Female,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_total,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Russia_Russia_Female,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_total,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Male,외국인_등록외국인현황국적별_Foreigners by nationality_India_India_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_total,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Thailand_Thailand_Female,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_total,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Male,외국인_등록외국인현황국적별_Foreigners by nationality_United Kingdom_United Kingdom_Female,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_total,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Male,외국인_등록외국인현황국적별_Foreigners by nationality_France_France_Female,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_total,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Male,외국인_등록외국인현황국적별_Foreigners by nationality_Others_Others_Female
Deungchon 3(sam)-dong,Gangseo-gu,162.0,71.0,91,78,38,40,53,27,26,25,11,14,8,7,1,4,2,2,12,3,9,11,1,10,-,-,-,13,4,9,4,2,2,5,1,4,4,-,4,7,4,3,1,-,1,3,1,2,1,1,-,11,7,4
Hwagokbon-dong,Gangseo-gu,305.0,119.0,186,200,81,119,150,69,81,50,12,38,5,1,4,28,15,13,13,2,11,11,-,11,8,2,6,10,2,8,-,-,-,3,-,3,3,-,3,1,1,-,1,-,1,4,3,1,1,1,-,17,11,6
Hwagok 2(i)-dong,Gangseo-gu,205.0,79.0,126,173,73,100,136,64,72,37,9,28,1,1,-,1,-,1,7,-,7,7,1,6,4,1,3,7,1,6,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,3,2,1,-,-,-,-,-,-
Hwagok 3(sam)-dong,Gangseo-gu,160.0,76.0,84,119,57,62,97,49,48,22,8,14,1,1,-,7,4,3,6,-,6,10,5,5,2,-,2,2,-,2,2,1,1,2,1,1,-,-,-,-,-,-,-,-,-,1,-,1,1,1,-,7,6,1
Hwagok 4(sa)-dong,Gangseo-gu,285.0,130.0,155,217,98,119,179,83,96,38,15,23,5,4,1,9,6,3,9,2,7,11,1,10,3,1,2,3,1,2,1,1,-,5,3,2,1,-,1,2,2,-,-,-,-,1,1,-,2,1,1,16,9,7
Hwagok 6(yuk)-dong,Gangseo-gu,225.0,113.0,112,156,83,73,86,40,46,70,43,27,11,5,6,12,7,5,6,-,6,9,1,8,1,-,1,1,-,1,3,2,1,-,-,-,1,-,1,2,2,-,2,-,2,1,1,-,1,1,-,19,11,8
Hwagok 8(pal)-dong,Gangseo-gu,311.0,129.0,182,264,115,149,215,99,116,49,16,33,2,2,-,11,5,6,10,1,9,7,-,7,-,-,-,5,-,5,2,2,-,-,-,-,2,-,2,-,-,-,-,-,-,1,-,1,1,1,-,6,3,3
Gayang 1(il)-dong,Gangseo-gu,227.0,113.0,114,122,57,65,91,46,45,31,11,20,5,2,3,8,3,5,14,6,8,21,11,10,4,2,2,17,11,6,-,-,-,2,1,1,2,1,1,1,1,-,9,7,2,1,1,-,-,-,-,21,10,11
Gayang 2(i)-dong,Gangseo-gu,112.0,38.0,74,33,10,23,23,8,15,10,2,8,28,9,19,3,1,2,4,1,3,10,1,9,-,-,-,12,5,7,3,-,3,-,-,-,-,-,-,13,7,6,-,-,-,1,1,-,-,-,-,5,3,2
Gayang 3(sam)-dong,Gangseo-gu,137.0,55.0,82,102,46,56,79,43,36,23,3,20,1,-,1,3,1,2,8,-,8,4,-,4,1,-,1,7,1,6,1,1,-,2,1,1,3,2,1,-,-,-,1,-,1,1,1,-,-,-,-,3,2,1
Balsan 1(il)-dong,Gangseo-gu,171.0,77.0,94,99,46,53,64,30,34,35,16,19,10,6,4,8,5,3,21,4,17,11,2,9,-,-,-,4,1,3,-,-,-,-,-,-,1,-,1,1,1,-,-,-,-,3,3,-,-,-,-,13,9,4
Gonghang-dong,Gangseo-gu,1104.0,832.0,272,442,218,224,367,194,173,75,24,51,101,100,1,31,25,6,51,48,3,28,15,13,-,-,-,7,3,4,77,77,-,1,-,1,16,14,2,8,6,2,7,7,-,38,36,2,1,1,-,296,282,14
Banghwa 1(il)-dong,Gangseo-gu,424.0,204.0,220,252,115,137,196,92,104,56,23,33,7,6,1,18,13,5,22,10,12,24,4,20,4,1,3,35,17,18,5,5,-,3,-,3,4,1,3,16,10,6,1,-,1,2,2,-,3,2,1,28,18,10
Banghwa 2(i)-dong,Gangseo-gu,256.0,128.0,128,173,86,87,138,74,64,35,12,23,-,-,-,16,10,6,13,5,8,15,-,15,4,2,2,18,13,5,-,-,-,1,1,-,3,-,3,-,-,-,2,1,1,1,1,-,-,-,-,10,9,1
Banghwa 3(sam)-dong,Gangseo-gu,146.0,66.0,80,89,37,52,56,26,30,33,11,22,11,7,4,5,1,4,4,1,3,7,1,6,-,-,-,5,3,2,1,-,1,7,4,3,1,-,1,4,3,1,2,-,2,1,1,-,-,-,-,9,8,1
Hwagok 1(il)-dong,Gangseo-gu,1176.0,506.0,670,922,417,505,736,357,379,186,60,126,11,6,5,19,13,6,28,7,21,55,3,52,13,2,11,43,11,32,7,6,1,20,8,12,2,-,2,4,4,-,6,-,6,3,3,-,5,5,-,38,21,17
Ujangsan-dong,Gangseo-gu,141.0,60.0,81,92,43,49,70,35,35,22,8,14,3,1,2,11,5,6,11,-,11,9,8,1,4,1,3,1,-,1,-,-,-,3,1,2,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,4,1,3
Sindorim-dong,Guro-gu,334.0,184.0,150,131,62,69,94,48,46,37,14,23,14,7,7,35,16,19,31,15,16,27,15,12,4,3,1,9,7,2,6,4,2,4,2,2,1,-,1,-,-,-,2,-,2,1,1,-,4,1,3,65,51,14
Guro 1(il)-dong,Guro-gu,263.0,136.0,127,194,111,83,164,98,66,30,13,17,1,1,-,6,4,2,20,3,17,6,-,6,2,1,1,3,1,2,3,1,2,3,-,3,9,4,5,4,4,-,1,-,1,1,-,1,3,2,1,7,4,3
Guro 3(sam)-dong,Guro-gu,1274.0,671.0,603,1077,571,506,888,484,404,189,87,102,23,16,7,17,6,11,19,10,9,24,7,17,2,1,1,25,9,16,5,4,1,17,6,11,3,1,2,2,2,-,3,2,1,4,3,1,-,-,-,53,33,20
Guro 4(sa)-dong,Guro-gu,4169.0,2176.0,1993,4085,2147,1938,3641,1965,1676,444,182,262,2,2,-,20,13,7,14,2,12,25,3,22,-,-,-,5,-,5,1,-,1,-,-,-,7,3,4,-,-,-,1,1,-,-,-,-,-,-,-,9,5,4
Guro 5(o)-dong,Guro-gu,3462.0,1851.0,1611,3322,1776,1546,2954,1619,1335,368,157,211,16,12,4,16,10,6,14,7,7,13,1,12,12,6,6,6,-,6,6,5,1,1,1,-,6,3,3,12,7,5,2,-,2,4,2,2,-,-,-,32,21,11
Gocheok 1(il)-dong,Guro-gu,338.0,165.0,173,250,125,125,214,110,104,36,15,21,5,4,1,11,3,8,8,-,8,17,2,15,2,1,1,3,1,2,-,-,-,-,-,-,1,-,1,-,-,-,2,-,2,-,-,-,-,-,-,39,29,10
Gocheok 2(i)-dong,Guro-gu,370.0,164.0,206,334,156,178,278,135,143,56,21,35,3,3,-,-,-,-,4,1,3,16,-,16,3,1,2,2,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,5
Gaebong 2(i)-dong,Guro-gu,262.0,118.0,144,234,108,126,202,99,103,32,9,23,1,1,-,7,5,2,4,-,4,9,1,8,-,-,-,2,-,2,1,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1
Gaebong 3(sam)-dong,Guro-gu,227.0,101.0,126,176,89,87,140,74,66,36,15,21,5,5,-,3,-,3,11,1,10,11,-,11,2,-,2,2,-,2,1,1,-,-,-,-,3,-,3,-,-,-,2,-,2,1,1,-,-,-,-,10,4,6
Oryu 1(il)-dong,Guro-gu,511.0,246.0,265,447,224,223,368,189,179,79,35,44,3,2,1,16,8,8,9,1,8,10,-,10,2,1,1,4,-,4,3,1,2,2,-,2,-,-,-,-,-,-,1,-,1,5,3,2,-,-,-,9,6,3
Oryu 2(i)-dong,Guro-gu,607.0,283.0,324,480,237,243,385,205,180,95,32,63,5,3,2,19,10,9,22,4,18,24,4,20,8,3,5,8,4,4,3,3,-,6,1,5,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,28,14,14
Sugung-dong,Guro-gu,271.0,151.0,120,130,52,78,93,41,52,37,11,26,3,1,2,9,4,5,8,3,5,36,18,18,-,-,-,18,12,6,2,2,-,4,2,2,-,-,-,-,-,-,31,30,1,4,2,2,-,-,-,26,25,1
Garibong-dong,Guro-gu,6742.0,3740.0,3002,6648,3689,2959,6090,3454,2636,558,235,323,3,2,1,3,1,2,8,1,7,15,1,14,7,4,3,9,5,4,-,-,-,5,3,2,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,42,33,9
Guro 2(i)-dong,Guro-gu,7525.0,3958.0,3567,7360,3894,3466,6526,3559,2967,834,335,499,13,9,4,21,10,11,15,3,12,40,7,33,3,1,2,12,4,8,1,1,-,4,-,4,7,2,5,3,2,1,1,-,1,3,3,-,-,-,-,42,22,20
Gaebong 1(il)-dong,Guro-gu,839.0,389.0,450,727,340,387,627,318,309,100,22,78,1,1,-,20,15,5,8,1,7,30,3,27,4,2,2,8,2,6,-,-,-,2,-,2,3,-,3,-,-,-,8,6,2,1,1,-,-,-,-,27,18,9
Gasan-dong,Geumcheon-gu,4269.0,2464.0,1805,3895,2186,1709,3506,1991,1515,389,195,194,6,4,2,9,5,4,6,3,3,48,26,22,45,33,12,64,44,20,1,1,-,8,8,-,2,1,1,26,20,6,28,15,13,2,2,-,1,1,-,128,115,13
Doksan 1(il)-dong,Geumcheon-gu,3308.0,1788.0,1520,2936,1572,1364,2675,1489,1186,261,83,178,7,4,3,12,4,8,19,3,16,129,67,62,31,16,15,40,24,16,4,1,3,5,2,3,1,1,-,13,8,5,7,4,3,2,1,1,-,-,-,102,81,21
Doksan 2(i)-dong,Geumcheon-gu,1331.0,651.0,680,1266,634,632,1106,572,534,160,62,98,-,-,-,3,3,-,4,-,4,19,2,17,18,6,12,6,-,6,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,14,6,8
Doksan 3(sam)-dong,Geumcheon-gu,3707.0,1954.0,1753,3659,1934,1725,3294,1778,1516,365,156,209,3,3,-,7,4,3,5,2,3,11,-,11,4,3,1,7,1,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,10,6,4
Doksan 4(sa)-dong,Geumcheon-gu,1255.0,655.0,600,1176,629,547,1042,569,473,134,60,74,-,-,-,2,-,2,7,-,7,24,6,18,9,3,6,22,9,13,-,-,-,2,-,2,1,-,1,1,1,-,2,-,2,-,-,-,-,-,-,9,7,2
Siheung 1(il)-dong,Geumcheon-gu,2310.0,1175.0,1135,2164,1110,1054,1905,1003,902,259,107,152,10,3,7,15,11,4,12,2,10,47,14,33,5,2,3,10,2,8,1,1,-,13,11,2,2,-,2,-,-,-,3,-,3,-,-,-,-,-,-,28,19,9
Siheung 2(i)-dong,Geumcheon-gu,83.0,41.0,42,65,31,34,44,22,22,21,9,12,7,6,1,2,1,1,1,-,1,2,-,2,-,-,-,3,1,2,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Siheung 3(sam)-dong,Geumcheon-gu,120.0,49.0,71,95,42,53,74,36,38,21,6,15,-,-,-,1,1,-,1,-,1,9,1,8,1,-,1,2,-,2,-,-,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,5
Siheung 4(sa)-dong,Geumcheon-gu,528.0,239.0,289,480,230,250,403,205,198,77,25,52,2,1,1,3,3,-,3,-,3,20,1,19,3,-,3,4,-,4,4,2,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,8,2,6
Siheung 5(o)-dong,Geumcheon-gu,467.0,220.0,247,430,215,215,366,182,184,64,33,31,1,-,1,4,-,4,6,-,6,9,-,9,3,-,3,2,-,2,-,-,-,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,8,5,3
Yeouido-dong,Yeongdeungpo-gu,499.0,291.0,208,153,72,81,40,14,26,113,58,55,131,78,53,26,16,10,21,12,9,12,9,3,-,-,-,7,2,5,4,4,-,3,-,3,3,1,2,17,15,2,11,8,3,6,6,-,9,9,-,96,59,37
Dangsan 1(il)-dong,Yeongdeungpo-gu,564.0,269.0,295,487,229,258,435,212,223,52,17,35,3,2,1,24,14,10,11,2,9,15,5,10,-,-,-,5,3,2,1,1,-,1,-,1,-,-,-,1,1,-,1,-,1,-,-,-,1,1,-,14,11,3
Dangsan2(i)-dong,Yeongdeungpo-gu,437.0,217.0,220,298,145,153,252,130,122,46,15,31,18,12,6,33,15,18,15,1,14,14,3,11,1,-,1,8,5,3,6,4,2,2,2,-,1,-,1,6,4,2,2,1,1,1,1,-,-,-,-,32,24,8
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,358.0,187.0,171,218,102,116,178,87,91,40,15,25,16,10,6,54,29,25,11,7,4,7,4,3,6,4,2,4,1,3,7,3,4,-,-,-,-,-,-,9,5,4,-,-,-,1,1,-,1,1,-,24,20,4
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,386.0,199.0,187,180,88,92,131,69,62,49,19,30,21,14,7,31,12,19,7,4,3,13,7,6,6,2,4,6,3,3,1,1,-,1,-,1,2,-,2,16,12,4,8,8,-,2,1,1,2,1,1,90,46,44
Singil 1(il)-dong,Yeongdeungpo-gu,2923.0,1516.0,1407,2823,1486,1337,2561,1370,1191,262,116,146,8,6,2,16,10,6,7,2,5,23,1,22,5,-,5,8,2,6,3,2,1,2,-,2,-,-,-,-,-,-,5,1,4,1,-,1,-,-,-,22,6,16
Singil 3(sam)-dong,Yeongdeungpo-gu,1164.0,588.0,576,1130,582,548,1012,529,483,118,53,65,-,-,-,2,2,-,8,1,7,11,-,11,2,-,2,2,-,2,-,-,-,3,1,2,1,-,1,-,-,-,3,-,3,-,-,-,-,-,-,2,2,-
Singil 4(sa)-dong,Yeongdeungpo-gu,1274.0,652.0,622,1252,650,602,1134,595,539,118,55,63,1,-,1,-,-,-,-,-,-,11,-,11,-,-,-,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,4
Singil 5(o)-dong,Yeongdeungpo-gu,2895.0,1534.0,1361,2834,1515,1319,2529,1385,1144,305,130,175,-,-,-,4,4,-,6,1,5,21,1,20,6,3,3,5,-,5,1,1,-,2,-,2,-,-,-,1,1,-,-,-,-,1,1,-,2,1,1,12,6,6
Singil 6(yuk)-dong,Yeongdeungpo-gu,1698.0,881.0,817,1648,861,787,1476,780,696,172,81,91,8,4,4,14,7,7,3,1,2,8,-,8,1,-,1,1,-,1,1,1,-,-,-,-,3,-,3,-,-,-,1,-,1,3,2,1,-,-,-,7,5,2
Singil 7(chil)-dong,Yeongdeungpo-gu,424.0,225.0,199,394,213,181,351,195,156,43,18,25,8,3,5,6,3,3,-,-,-,3,1,2,-,-,-,1,-,1,3,2,1,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,7,3,4
Daerim 1(il)-dong,Yeongdeungpo-gu,3389.0,1803.0,1586,3311,1763,1548,3008,1629,1379,303,134,169,5,2,3,7,4,3,5,1,4,11,-,11,4,1,3,4,1,3,-,-,-,-,-,-,1,-,1,1,1,-,2,-,2,1,1,-,-,-,-,37,29,8
Daerim 2(i)-dong,Yeongdeungpo-gu,8350.0,4431.0,3919,8298,4407,3891,7407,4002,3405,891,405,486,2,2,-,11,7,4,6,4,2,16,-,16,-,-,-,1,-,1,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,12,7,5
Daerim 3(sam)-dong,Yeongdeungpo-gu,3843.0,1963.0,1880,3742,1927,1815,3339,1758,1581,403,169,234,11,5,6,25,12,13,4,-,4,17,-,17,2,2,-,5,1,4,7,2,5,3,-,3,2,-,2,-,-,-,4,1,3,-,-,-,-,-,-,21,13,8
Yeongdeungpobon-dong,Yeongdeungpo-gu,2760.0,1433.0,1327,2687,1399,1288,2437,1288,1149,250,111,139,2,1,1,8,6,2,12,8,4,8,2,6,7,3,4,8,1,7,-,-,-,3,-,3,1,-,1,-,-,-,2,-,2,1,1,-,-,-,-,21,12,9
Yeongdeungpo-dong,Yeongdeungpo-gu,1116.0,570.0,546,924,490,434,842,457,385,82,33,49,21,13,8,48,26,22,5,2,3,44,5,39,6,2,4,18,1,17,4,2,2,1,-,1,1,-,1,5,4,1,-,-,-,5,5,-,1,1,-,33,19,14
Dorim-dong,Yeongdeungpo-gu,3085.0,1602.0,1483,2989,1557,1432,2723,1434,1289,266,123,143,3,3,-,26,16,10,5,2,3,14,4,10,11,4,7,5,-,5,5,3,2,4,-,4,1,1,-,7,3,4,3,2,1,-,-,-,-,-,-,12,7,5
Mullae-dong,Yeongdeungpo-gu,305.0,170.0,135,131,71,60,97,51,46,34,20,14,7,6,1,87,47,40,9,2,7,14,7,7,1,1,-,8,3,5,5,5,-,3,2,1,3,-,3,3,2,1,2,-,2,4,4,-,2,2,-,26,18,8
Noryangjin 2(i)-dong,Dongjak-gu,1031.0,505.0,526,996,490,506,884,451,433,112,39,73,-,-,-,3,3,-,5,2,3,10,-,10,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,13,9,4
Sangdo 1(il)-dong,Dongjak-gu,1232.0,603.0,629,866,413,453,231,103,128,635,310,325,43,27,16,31,13,18,23,8,15,97,54,43,34,11,23,10,1,9,11,9,2,2,1,1,6,3,3,11,8,3,4,1,3,4,4,-,6,4,2,84,46,38
Sangdo 2(i)-dong,Dongjak-gu,361.0,177.0,184,262,117,145,214,98,116,48,19,29,8,6,2,10,6,4,3,1,2,10,1,9,-,-,-,3,-,3,-,-,-,1,1,-,2,1,1,-,-,-,1,-,1,2,1,1,1,-,1,58,43,15
Sangdo 3(sam)-dong,Dongjak-gu,289.0,126.0,163,256,119,137,222,107,115,34,12,22,2,2,-,5,2,3,5,1,4,9,-,9,4,2,2,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,3,-,3
Sangdo 4(sa)-dong,Dongjak-gu,324.0,139.0,185,266,125,141,224,107,117,42,18,24,5,2,3,2,1,1,10,4,6,13,-,13,7,2,5,2,-,2,2,1,1,2,-,2,2,-,2,-,-,-,6,1,5,-,-,-,1,-,1,6,3,3
Sadang 1(il)-dong,Dongjak-gu,886.0,409.0,477,794,371,423,669,315,354,125,56,69,16,12,4,6,2,4,12,3,9,14,-,14,4,2,2,4,-,4,4,2,2,2,1,1,4,1,3,-,-,-,2,-,2,2,2,-,3,3,-,19,10,9
Sadang 3(sam)-dong,Dongjak-gu,272.0,122.0,150,227,105,122,166,78,88,61,27,34,12,4,8,2,2,-,5,1,4,9,-,9,2,-,2,1,-,1,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,7,4,3
Sadang 4(sa)-dong,Dongjak-gu,171.0,85.0,86,146,76,70,110,56,54,36,20,16,1,-,1,7,2,5,3,-,3,3,-,3,-,-,-,3,1,2,2,2,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,1,-,1,3,2,1
Sadang 5(o)-dong,Dongjak-gu,188.0,98.0,90,147,80,67,60,29,31,87,51,36,-,-,-,2,1,1,9,4,5,9,2,7,4,1,3,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,13,8,5
Daebang-dong,Dongjak-gu,391.0,190.0,201,315,158,157,261,134,127,54,24,30,13,8,5,10,2,8,11,2,9,9,1,8,1,1,-,3,-,3,4,3,1,1,-,1,1,-,1,-,-,-,7,5,2,2,1,1,-,-,-,14,9,5
Sindaebang 1(il)-dong,Dongjak-gu,2725.0,1334.0,1391,2662,1308,1354,2439,1207,1232,223,101,122,8,6,2,2,2,-,12,5,7,12,1,11,1,-,1,1,-,1,1,-,1,11,2,9,2,-,2,-,-,-,1,-,1,2,2,-,1,1,-,9,7,2
Sindaebang 2(i)-dong,Dongjak-gu,276.0,126.0,150,250,115,135,219,101,118,31,14,17,2,2,-,2,2,-,7,3,4,3,-,3,3,-,3,1,-,1,1,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-,4,2,2
Heukseok-dong,Dongjak-gu,1473.0,579.0,894,1153,403,750,146,64,82,1007,339,668,28,20,8,41,16,25,27,5,22,56,27,29,5,2,3,6,1,5,9,7,2,3,-,3,6,2,4,13,10,3,5,2,3,6,4,2,26,25,1,89,55,34
Noryangjin 1(il)-dong,Dongjak-gu,506.0,234.0,272,438,207,231,375,184,191,63,23,40,2,2,-,9,5,4,13,5,8,17,-,17,-,-,-,4,1,3,4,2,2,5,1,4,-,-,-,-,-,-,2,2,-,1,1,-,2,2,-,9,6,3
Sadang 2(i)-dong,Dongjak-gu,568.0,251.0,317,484,219,265,424,194,230,60,25,35,10,9,1,6,3,3,15,4,11,18,3,15,9,1,8,3,-,3,4,1,3,-,-,-,2,-,2,1,1,-,-,-,-,4,3,1,1,1,-,11,6,5
Boramae-dong,Gwanak-gu,1437.0,688.0,749,1208,586,622,1068,532,536,140,54,86,26,13,13,12,4,8,26,7,19,33,6,27,20,8,12,7,-,7,9,8,1,4,2,2,5,3,2,12,9,3,6,3,3,5,4,1,3,3,-,61,32,29
Cheongnim-dong,Gwanak-gu,312.0,151.0,161,136,57,79,71,34,37,65,23,42,12,10,2,3,1,2,9,2,7,17,3,14,24,10,14,2,1,1,4,3,1,1,1,-,8,4,4,18,13,5,1,-,1,5,4,1,1,-,1,71,42,29
Haengun-dong,Gwanak-gu,498.0,230.0,268,385,185,200,304,149,155,81,36,45,7,6,1,9,5,4,14,1,13,8,2,6,9,2,7,5,-,5,4,3,1,7,4,3,2,-,2,3,2,1,2,-,2,5,5,-,1,-,1,37,15,22
Nagseongdae-dong,Gwanak-gu,507.0,234.0,273,268,118,150,195,91,104,73,27,46,42,25,17,4,1,3,25,7,18,22,9,13,15,6,9,-,-,-,5,3,2,8,3,5,8,1,7,8,5,3,3,1,2,7,5,2,8,5,3,84,45,39
Jungang-dong,Gwanak-gu,491.0,223.0,268,408,186,222,350,162,188,58,24,34,14,8,6,6,1,5,10,2,8,15,8,7,3,-,3,4,1,3,4,2,2,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,2,2,-,22,13,9
Inheon-dong,Gwanak-gu,348.0,151.0,197,247,106,141,186,89,97,61,17,44,7,3,4,1,-,1,16,5,11,26,11,15,2,1,1,5,3,2,1,1,-,-,-,-,2,-,2,5,3,2,2,-,2,3,2,1,-,-,-,31,16,15
Namhyeon-dong,Gwanak-gu,243.0,118.0,125,175,80,95,142,70,72,33,10,23,9,7,2,10,6,4,7,3,4,12,2,10,-,-,-,5,3,2,6,4,2,-,-,-,1,1,-,-,-,-,3,1,2,2,2,-,-,-,-,13,9,4
Sewon-dong,Gwanak-gu,619.0,298.0,321,495,245,250,400,199,201,95,46,49,9,7,2,2,2,-,19,2,17,20,8,12,5,2,3,15,4,11,3,2,1,2,-,2,3,1,2,4,3,1,1,-,1,3,2,1,1,1,-,37,19,18
Sinwon-dong,Gwanak-gu,951.0,460.0,491,913,447,466,789,388,401,124,59,65,1,1,-,-,-,-,2,-,2,11,1,10,6,2,4,4,1,3,-,-,-,4,2,2,-,-,-,1,-,1,-,-,-,-,-,-,1,1,-,8,5,3
Serim-dong,Gwanak-gu,350.0,160.0,190,156,64,92,105,44,61,51,20,31,8,4,4,3,1,2,13,4,9,10,3,7,6,4,2,-,-,-,4,3,1,1,-,1,3,2,1,-,-,-,3,-,3,-,-,-,2,-,2,141,75,66
Sinsa-dong,Gwanak-gu,2079.0,1054.0,1025,2035,1040,995,1769,927,842,266,113,153,3,3,-,4,2,2,7,-,7,9,1,8,1,-,1,3,1,2,-,-,-,5,2,3,-,-,-,-,-,-,2,-,2,1,1,-,2,-,2,7,4,3
Sillim-dong,Gwanak-gu,3309.0,1557.0,1752,2962,1418,1544,2665,1322,1343,297,96,201,29,20,9,14,7,7,40,12,28,68,10,58,31,12,19,30,5,25,5,5,-,12,5,7,7,-,7,14,13,1,8,1,7,4,4,-,5,2,3,80,43,37
