Dong,青沥_青沥备开_Autonomous Gu_Autonomous Gu,青沥_青沥备开_Area(km2)_Area(km2),青沥_青沥备开_Area(km2)_Composition,青沥_青沥备开_Dong_Administraci？n,青沥_青沥备开_Dong_Court ,青沥_青沥备开_Tong_Tong,青沥_青沥备开_Ban_Ban
Sinsu-dong,Mapo-gu,0.78,0.13,1.0,4,22.0,167.0
Seogyo-dong,Mapo-gu,1.63,0.27,1.0,2,38.0,284.0
Hapjeong-dong,Mapo-gu,1.71,0.28,1.0,1,23.0,185.0
Mangwon 1(il)-dong,Mapo-gu,1.14,0.19,1.0,1,24.0,206.0
Mangwon 2(i)-dong,Mapo-gu,0.67,0.11,1.0,-,21.0,197.0
Yeonnam-dong,Mapo-gu,0.65,0.11,1.0,1,22.0,168.0
Seongsan 1(il)-dong,Mapo-gu,0.8,0.13,1.0,1,21.0,147.0
Seongsan 2(i)-dong,Mapo-gu,2.07,0.34,1.0,1,35.0,281.0
Sangam-dong,Mapo-gu,8.4,1.39,1.0,1,25.0,180.0
Dohwa-dong,Mapo-gu,0.62,0.1,1.0,2,21.0,196.0
Seogang-dong,Mapo-gu,1.45,0.24,1.0,4,29.0,217.0
gongdeok-dong,Mapo-gu,1.01,0.17,1.0,1,43.0,296.0
Ahyeon-dong,Mapo-gu,0.76,0.13,1.0,2,20.0,124.0
Mok 1(il)-dong,Yangcheon-gu,1.41,0.23,1.0,1,32.0,277.0
Mok 2(i)-dong,Yangcheon-gu,1.03,0.17,1.0,-,33.0,250.0
Mok 3(sam)-dong,Yangcheon-gu,0.53,0.09,1.0,-,27.0,214.0
Mok 4(sa)-dong,Yangcheon-gu,0.57,0.09,1.0,-,27.0,225.0
Sinwol 1(il)-dong,Yangcheon-gu,0.65,0.11,1.0,1,29.0,224.0
Sinwol 2(i)-dong,Yangcheon-gu,0.61,0.1,1.0,-,26.0,218.0
Sinwol 3(sam)-dong,Yangcheon-gu,0.87,0.14,1.0,-,24.0,191.0
Sinwol 4(sa)-dong,Yangcheon-gu,0.52,0.09,1.0,-,18.0,150.0
Sinwol 5(o)-dong,Yangcheon-gu,0.69,0.11,1.0,-,18.0,147.0
Sinwol 6(yuk)-dong,Yangcheon-gu,0.41,0.07,1.0,-,18.0,152.0
Sinwol 7(chil)-dong,Yangcheon-gu,1.19,0.2,1.0,-,34.0,257.0
Sinjeong 1(il)-dong,Yangcheon-gu,0.7,0.12,1.0,1,28.0,235.0
Sinjeong 2(i)-dong,Yangcheon-gu,0.52,0.09,1.0,-,22.0,189.0
Sinjeong 3(sam)-dong,Yangcheon-gu,2.72,0.45,1.0,-,70.0,553.0
Sinjeong 6(yuk)-dong,Yangcheon-gu,0.96,0.16,1.0,-,28.0,226.0
Sinjeong 7(chil)-dong,Yangcheon-gu,1.21,0.2,1.0,-,36.0,338.0
Mok 5(o)-dong,Yangcheon-gu,1.81,0.3,1.0,-,48.0,377.0
Sinjeong 4(sa)-dong,Yangcheon-gu,1.01,0.17,1.0,-,40.0,327.0
Yeomchang-dong,Gangseo-gu,1.74,0.29,1.0,1,37.0,346.0
Deungchon 1(il)-dong,Gangseo-gu,0.59,0.1,1.0,1,22.0,168.0
Deungchon 2(i)-dong,Gangseo-gu,0.92,0.15,1.0,-,20.0,149.0
Deungchon 3(sam)-dong,Gangseo-gu,0.79,0.13,1.0,-,45.0,359.0
Hwagokbon-dong,Gangseo-gu,1.11,0.18,1.0,1,36.0,258.0
Hwagok 2(i)-dong,Gangseo-gu,0.47,0.08,1.0,-,20.0,157.0
Hwagok 3(sam)-dong,Gangseo-gu,0.51,0.08,1.0,-,21.0,150.0
Hwagok 4(sa)-dong,Gangseo-gu,0.82,0.14,1.0,-,24.0,169.0
Hwagok 6(yuk)-dong,Gangseo-gu,1.12,0.19,1.0,-,24.0,173.0
Hwagok 8(pal)-dong,Gangseo-gu,0.53,0.09,1.0,-,24.0,168.0
Gayang 1(il)-dong,Gangseo-gu,4.7,0.78,1.0,2,26.0,220.0
Gayang 2(i)-dong,Gangseo-gu,1.0,0.17,1.0,-,26.0,194.0
Gayang 3(sam)-dong,Gangseo-gu,0.99,0.16,1.0,-,24.0,189.0
Balsan 1(il)-dong,Gangseo-gu,2.96,0.49,1.0,1,25.0,227.0
Gonghang-dong,Gangseo-gu,10.87,1.8,1.0,4,29.0,217.0
Banghwa 1(il)-dong,Gangseo-gu,1.04,0.17,1.0,1,31.0,237.0
Banghwa 2(i)-dong,Gangseo-gu,6.41,1.06,1.0,1,32.0,252.0
Banghwa 3(sam)-dong,Gangseo-gu,2.38,0.39,1.0,-,37.0,277.0
Hwagok 1(il)-dong,Gangseo-gu,1.12,0.19,1.0,-,52.0,407.0
Ujangsan-dong,Gangseo-gu,1.36,0.22,1.0,1,46.0,346.0
Sindorim-dong,Guro-gu,1.47,0.24,1.0,1,40.0,328.0
Guro 1(il)-dong,Guro-gu,1.02,0.17,1.0,1,33.0,166.0
Guro 3(sam)-dong,Guro-gu,1.02,0.17,1.0,-,37.0,293.0
Guro 4(sa)-dong,Guro-gu,0.46,0.08,1.0,-,50.0,367.0
Guro 5(o)-dong,Guro-gu,1.03,0.17,1.0,-,39.0,350.0
Gocheok 1(il)-dong,Guro-gu,1.16,0.19,1.0,1,33.0,241.0
Gocheok 2(i)-dong,Guro-gu,1.02,0.17,1.0,-,35.0,295.0
Gaebong 2(i)-dong,Guro-gu,0.8,0.13,1.0,-,39.0,305.0
Gaebong 3(sam)-dong,Guro-gu,0.81,0.13,1.0,-,27.0,224.0
Oryu 1(il)-dong,Guro-gu,0.59,0.1,1.0,1,32.0,230.0
Oryu 2(i)-dong,Guro-gu,4.6,0.76,1.0,2,47.0,380.0
Sugung-dong,Guro-gu,2.67,0.44,1.0,2,31.0,277.0
Garibong-dong,Guro-gu,0.4,0.07,1.0,1,39.0,299.0
Guro 2(i)-dong,Guro-gu,1.76,0.29,1.0,-,59.0,484.0
Gaebong 1(il)-dong,Guro-gu,1.31,0.22,1.0,1,47.0,358.0
Gasan-dong,Geumcheon-gu,2.5,0.41,1.0,1,31.0,255.0
Doksan 1(il)-dong,Geumcheon-gu,2.08,0.34,1.0,1,38.0,296.0
Doksan 2(i)-dong,Geumcheon-gu,0.61,0.1,1.0,-,33.0,263.0
Doksan 3(sam)-dong,Geumcheon-gu,0.92,0.15,1.0,-,46.0,395.0
Doksan 4(sa)-dong,Geumcheon-gu,0.59,0.1,1.0,-,28.0,229.0
Siheung 1(il)-dong,Geumcheon-gu,1.71,0.28,1.0,1,56.0,535.0
Siheung 2(i)-dong,Geumcheon-gu,1.26,0.21,1.0,-,33.0,233.0
Siheung 3(sam)-dong,Geumcheon-gu,1.07,0.18,1.0,-,22.0,190.0
Siheung 4(sa)-dong,Geumcheon-gu,0.87,0.14,1.0,-,34.0,253.0
Siheung 5(o)-dong,Geumcheon-gu,1.39,0.23,1.0,-,41.0,313.0
Yeouido-dong,Yeongdeungpo-gu,8.41,1.39,1.0,1,43.0,361.0
Dangsan 1(il)-dong,Yeongdeungpo-gu,0.75,0.12,1.0,3,31.0,245.0
Dangsan2(i)-dong,Yeongdeungpo-gu,1.55,0.26,1.0,4,36.0,339.0
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,0.88,0.15,1.0,4,23.0,188.0
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,3.0,0.5,1.0,4,28.0,219.0
Singil 1(il)-dong,Yeongdeungpo-gu,0.66,0.11,1.0,1,33.0,309.0
Singil 3(sam)-dong,Yeongdeungpo-gu,0.48,0.08,1.0,-,30.0,248.0
Singil 4(sa)-dong,Yeongdeungpo-gu,0.35,0.06,1.0,-,22.0,169.0
Singil 5(o)-dong,Yeongdeungpo-gu,0.47,0.08,1.0,-,30.0,254.0
Singil 6(yuk)-dong,Yeongdeungpo-gu,0.68,0.11,1.0,-,35.0,296.0
Singil 7(chil)-dong,Yeongdeungpo-gu,0.64,0.11,1.0,-,25.0,194.0
Daerim 1(il)-dong,Yeongdeungpo-gu,0.49,0.08,1.0,1,25.0,228.0
Daerim 2(i)-dong,Yeongdeungpo-gu,0.55,0.09,1.0,-,30.0,263.0
Daerim 3(sam)-dong,Yeongdeungpo-gu,1.0,0.17,1.0,-,39.0,335.0
Yeongdeungpobon-dong,Yeongdeungpo-gu,1.02,0.17,1.0,1,39.0,323.0
Yeongdeungpo-dong,Yeongdeungpo-gu,1.26,0.21,1.0,8,30.0,232.0
Dorim-dong,Yeongdeungpo-gu,0.89,0.15,1.0,1,38.0,309.0
Mullae-dong,Yeongdeungpo-gu,1.49,0.25,1.0,6,38.0,325.0
Noryangjin 2(i)-dong,Dongjak-gu,0.65,0.11,1.0,-,24.0,157.0
Sangdo 1(il)-dong,Dongjak-gu,1.51,0.25,1.0,2,45.0,360.0
Sangdo 2(i)-dong,Dongjak-gu,0.97,0.16,1.0,-,37.0,227.0
Sangdo 3(sam)-dong,Dongjak-gu,0.6,0.1,1.0,-,26.0,162.0
Sangdo 4(sa)-dong,Dongjak-gu,0.75,0.12,1.0,-,33.0,223.0
Sadang 1(il)-dong,Dongjak-gu,0.79,0.13,1.0,-,32.0,201.0
Sadang 3(sam)-dong,Dongjak-gu,0.92,0.15,1.0,-,38.0,206.0
Sadang 4(sa)-dong,Dongjak-gu,0.38,0.06,1.0,-,21.0,141.0
Sadang 5(o)-dong,Dongjak-gu,0.57,0.09,1.0,-,18.0,150.0
Daebang-dong,Dongjak-gu,1.55,0.26,1.0,1,43.0,323.0
Sindaebang 1(il)-dong,Dongjak-gu,0.62,0.1,1.0,1,36.0,212.0
Sindaebang 2(i)-dong,Dongjak-gu,1.03,0.17,1.0,-,22.0,178.0
Heukseok-dong,Dongjak-gu,1.68,0.28,1.0,1,60.0,375.0
Noryangjin 1(il)-dong,Dongjak-gu,1.58,0.26,1.0,2,48.0,340.0
Sadang 2(i)-dong,Dongjak-gu,2.75,0.45,1.0,2,42.0,294.0
Boramae-dong,Gwanak-gu,0.76,0.13,1.0,1,29.0,247.0
Cheongnim-dong,Gwanak-gu,0.3,0.05,1.0,-,24.0,184.0
Haengun-dong,Gwanak-gu,0.72,0.12,1.0,-,37.0,287.0
Nagseongdae-dong,Gwanak-gu,2.27,0.38,1.0,-,20.0,151.0
Jungang-dong,Gwanak-gu,0.39,0.06,1.0,-,19.0,159.0
Inheon-dong,Gwanak-gu,1.08,0.18,1.0,-,28.0,254.0
Namhyeon-dong,Gwanak-gu,3.27,0.54,1.0,1,17.0,143.0
Sewon-dong,Gwanak-gu,0.65,0.11,1.0,-,24.0,177.0
Sinwon-dong,Gwanak-gu,0.55,0.09,1.0,1,23.0,179.0
Serim-dong,Gwanak-gu,0.99,0.16,1.0,-,30.0,231.0
Sinsa-dong,Gwanak-gu,0.64,0.11,1.0,-,30.0,222.0
Sillim-dong,Gwanak-gu,0.54,0.09,1.0,-,21.0,187.0
Nanhyang-dong,Gwanak-gu,0.8,0.13,1.0,-,25.0,198.0
Jowon-dong,Gwanak-gu,0.67,0.11,1.0,-,25.0,224.0
Daehak-dong,Gwanak-gu,8.3,1.37,1.0,-,30.0,244.0
Euncheon-dong,Gwanak-gu,0.78,0.13,1.0,-,48.0,443.0
Seonghyeon-dong,Gwanak-gu,0.68,0.11,1.0,-,45.0,333.0
Cheongnyong-dong,Gwanak-gu,1.18,0.19,1.0,-,41.0,391.0
Nangok-dong,Gwanak-gu,0.96,0.16,1.0,-,39.0,339.0
Samseong-dong,Gwanak-gu,2.66,0.44,1.0,-,38.0,297.0
Miseong-dong,Gwanak-gu,1.38,0.23,1.0,-,42.0,291.0
Seocho 1(il)-dong,Seocho-gu,1.42,0.23,1.0,1,25.0,204.0
Seocho 2(i)-dong,Seocho-gu,1.24,0.2,1.0,-,29.0,255.0
Seocho 3(sam)-dong,Seocho-gu,2.93,0.48,1.0,-,41.0,310.0
Seocho 4(sa)-dong,Seocho-gu,0.88,0.15,1.0,-,31.0,187.0
Jamwon-dong,Seocho-gu,1.76,0.29,1.0,1,46.0,398.0
Banpobon-dong,Seocho-gu,1.01,0.17,1.0,1,15.0,103.0
Banpo 1(il)-dong,Seocho-gu,1.0,0.17,1.0,-,26.0,157.0
Banpo 2(i)-dong,Seocho-gu,1.35,0.22,1.0,-,25.0,183.0
Banpo 3(sam)-dong,Seocho-gu,1.28,0.21,1.0,-,28.0,184.0
Banpo 4(sa)-dong,Seocho-gu,1.43,0.24,1.0,-,22.0,160.0
Bangbaebon-dong,Seocho-gu,0.67,0.11,1.0,1,23.0,195.0
Bangbae 1(il)-dong,Seocho-gu,0.7,0.12,1.0,-,24.0,142.0
Bangbae 2(i)-dong,Seocho-gu,1.93,0.32,1.0,-,44.0,292.0
Bangbae 3(sam)-dong,Seocho-gu,2.4,0.4,1.0,-,31.0,228.0
Bangbae 4(sa)-dong,Seocho-gu,0.98,0.16,1.0,-,32.0,176.0
Yangjae 1(il)-dong,Seocho-gu,5.76,0.95,1.0,2,53.0,270.0
Yangjae 2(i)-dong,Seocho-gu,7.58,1.25,1.0,1,22.0,131.0
Naegok-dong,Seocho-gu,12.68,2.1,1.0,3,15.0,97.0
Sinsa-dong,Gangnam-gu,1.89,0.31,1.0,1,34.0,212.0
Nonhyeon 1(il)-dong,Gangnam-gu,1.25,0.21,1.0,1,42.0,275.0
Nonhyeon 2(i)-dong,Gangnam-gu,1.47,0.24,1.0,-,37.0,269.0
Samseong 1(il)-dong,Gangnam-gu,1.94,0.32,1.0,1,23.0,147.0
Samseong 2(i)-dong,Gangnam-gu,1.24,0.2,1.0,-,45.0,287.0
Daechi 1(il)-dong,Gangnam-gu,0.79,0.13,1.0,1,28.0,197.0
Daechi 4(sa)-dong,Gangnam-gu,0.73,0.12,1.0,-,28.0,179.0
Yeoksam 1(il)-dong,Gangnam-gu,2.35,0.39,1.0,1,51.0,333.0
Yeoksam 2(i)-dong,Gangnam-gu,1.15,0.19,1.0,-,50.0,334.0
Dogok 1(il)-dong,Gangnam-gu,1.02,0.17,1.0,1,35.0,237.0
Dogok 2(i)-dong,Gangnam-gu,1.02,0.17,1.0,-,42.0,315.0
Gaepo 1(il)-dong,Gangnam-gu,1.27,0.21,1.0,1,32.0,199.0
Gaepo 4(sa)-dong,Gangnam-gu,1.49,0.25,1.0,-,35.0,249.0
Irwonbon-dong,Gangnam-gu,2.58,0.43,1.0,1,28.0,195.0
Irwon 1(il)-dong,Gangnam-gu,0.92,0.15,1.0,-,27.0,176.0
Irwon 2(i)-dong,Gangnam-gu,1.24,0.2,1.0,-,26.0,182.0
Suseo-dong,Gangnam-gu,1.43,0.24,1.0,1,25.0,175.0
Segok-dong,Gangnam-gu,6.36,1.05,1.0,3,29.0,173.0
Apgujeong -dong,Gangnam-gu,2.53,0.42,1.0,1,38.0,253.0
Cheongdam -dong,Gangnam-gu,2.33,0.38,1.0,1,48.0,341.0
Daechi 2(i)-dong,Gangnam-gu,2.0,0.33,1.0,-,53.0,355.0
Gaepo 2(i)-dong,Gangnam-gu,2.51,0.41,1.0,-,46.0,292.0
Pungnap 1(il)-dong,Songpa-gu,0.77,0.13,1.0,1,22.0,128.0
Pungnap 2(i)-dong,Songpa-gu,1.59,0.26,1.0,-,30.0,180.0
Geoyeo 1(il)-dong,Songpa-gu,0.67,0.11,1.0,1,16.0,80.0
Geoyeo 2(i)-dong,Songpa-gu,1.69,0.28,1.0,-,35.0,182.0
Macheon 1(il)-dong,Songpa-gu,0.58,0.1,1.0,1,26.0,131.0
Macheon 2(i)-dong,Songpa-gu,0.89,0.15,1.0,-,26.0,147.0
Bangi 1(il)-dong,Songpa-gu,0.5,0.08,1.0,1,18.0,102.0
Bangi 2(i)-dong,Songpa-gu,0.8,0.13,1.0,-,34.0,198.0
Oryun-dong,Songpa-gu,3.17,0.52,1.0,-,15.0,100.0
Ogeum-dong,Songpa-gu,1.65,0.27,1.0,1,39.0,206.0
Songpa 1(il)-dong,Songpa-gu,0.79,0.13,1.0,1,31.0,186.0
Songpa 2(i)-dong,Songpa-gu,0.53,0.09,1.0,-,21.0,126.0
Seokchon-dong,Songpa-gu,0.95,0.16,1.0,1,40.0,240.0
Samjeon-dong,Songpa-gu,0.95,0.16,1.0,1,43.0,258.0
Garakbon-dong,Songpa-gu,1.13,0.19,1.0,1,28.0,167.0
Garak 1(il)-dong,Songpa-gu,1.34,0.22,1.0,-,21.0,187.0
Garak 2(i)-dong,Songpa-gu,0.96,0.16,1.0,-,32.0,193.0
Munjeong 1(il)-dong,Songpa-gu,0.56,0.09,1.0,1,22.0,132.0
Munjeong 2(i)-dong,Songpa-gu,2.2,0.36,1.0,-,18.0,110.0
Jangji-dong,Songpa-gu,2.6,0.43,1.0,1,40.0,238.0
Jamsilbon-dong,Songpa-gu,0.94,0.16,1.0,1,39.0,234.0
Jamsil 4(sa)-dong,Songpa-gu,1.56,0.26,1.0,1,24.0,138.0
Jamsil 6(yuk)-dong,Songpa-gu,2.79,0.46,1.0,-,20.0,103.0
Jamsil 7(chil)-dong,Songpa-gu,0.6,0.1,1.0,-,10.0,52.0
Jamsil 2(i)-dong,Songpa-gu,2.18,0.36,1.0,-,26.0,156.0
Jamsil 3(sam)-dong,Songpa-gu,1.49,0.25,1.0,-,33.0,190.0
Gangil-dong,Gangdong-gu,2.8,0.46,1.0,1,30.0,210.0
Sangil-dong,Gangdong-gu,2.65,0.44,1.0,1,41.0,338.0
Myeongil 1(il)-dong,Gangdong-gu,0.61,0.1,1.0,1,27.0,222.0
Myeongil 2(i)-dong,Gangdong-gu,0.97,0.16,1.0,-,26.0,214.0
Godeok 1(il)-dong,Gangdong-gu,1.73,0.29,1.0,1,30.0,254.0
Godeok 2(i)-dong,Gangdong-gu,2.01,0.33,1.0,-,26.0,217.0
Amsa 2(i)-dong,Gangdong-gu,1.18,0.19,1.0,1,19.0,165.0
Amsa 3(sam)-dong,Gangdong-gu,2.51,0.41,1.0,-,20.0,213.0
Cheonho 1(il)-dong,Gangdong-gu,0.71,0.12,1.0,-,36.0,320.0
Cheonho 3(sam)-dong,Gangdong-gu,0.79,0.13,1.0,1,30.0,283.0
Seongnae 1(il)-dong,Gangdong-gu,0.58,0.1,1.0,-,22.0,177.0
Seongnae 2(i)-dong,Gangdong-gu,0.67,0.11,1.0,-,37.0,350.0
Seongnae 3(sam)-dong,Gangdong-gu,0.71,0.12,1.0,1,28.0,240.0
Dunchon 1(il)-dong,Gangdong-gu,0.92,0.15,1.0,-,23.0,229.0
Dunchon 2(i)-dong,Gangdong-gu,0.98,0.16,1.0,-,28.0,260.0
Amsa 1(il)-dong,Gangdong-gu,1.02,0.17,1.0,1,39.0,370.0
Cheonho 2(i)-dong,Gangdong-gu,1.57,0.26,1.0,1,43.0,408.0
Gil-dong,Gangdong-gu,2.17,0.36,1.0,-,62.0,533.0
