Dong,화재_원인별화재발생_Autonomous Gu_Autonomous Gu,화재_원인별화재발생_Total_Total,화재_원인별화재발생_Accident_Electrical distribution,화재_원인별화재발생_Accident_Machinery,화재_원인별화재발생_Accident_Chemicals,화재_원인별화재발생_Accident_Gas,화재_원인별화재발생_Accident_Traffic accident,화재_원인별화재발생_Accident_Careless,화재_원인별화재발생_Accident_Other,화재_원인별화재발생_By natural_By natural,화재_원인별화재발생_Arson_Arson,화재_원인별화재발생_Arson_Incendiary suspicious,화재_원인별화재발생_Unknown_Unknown
Yonggang-dong,Mapo-gu,9.0,6,-,-,-,-,-,1,-,-,1,1
Daeheung-dong,Mapo-gu,18.0,7,2,-,-,-,8,-,-,-,1,-
Yeomni-dong,Mapo-gu,6.0,1,-,-,-,-,5,-,-,-,-,-
Sinsu-dong,Mapo-gu,6.0,2,-,-,-,-,4,-,-,-,-,-
Seogyo-dong,Mapo-gu,59.0,24,-,-,-,-,30,-,-,1,1,3
Hapjeong-dong,Mapo-gu,13.0,3,1,-,-,-,6,-,-,-,-,3
Mangwon 1(il)-dong,Mapo-gu,10.0,4,-,-,-,1,3,-,-,-,1,1
Mangwon 2(i)-dong,Mapo-gu,8.0,3,-,-,-,-,4,-,-,-,-,1
Yeonnam-dong,Mapo-gu,8.0,2,-,-,-,-,6,-,-,-,-,-
Seongsan 1(il)-dong,Mapo-gu,13.0,3,2,-,-,-,6,-,-,-,-,2
Seongsan 2(i)-dong,Mapo-gu,17.0,4,2,-,-,-,8,-,-,1,-,2
Sangam-dong,Mapo-gu,15.0,4,1,-,-,-,7,-,-,1,-,2
Dohwa-dong,Mapo-gu,5.0,3,-,-,-,-,1,-,-,-,-,1
Seogang-dong,Mapo-gu,13.0,-,-,-,-,-,11,-,-,-,1,1
gongdeok-dong,Mapo-gu,22.0,9,-,-,-,-,9,-,-,-,1,3
Ahyeon-dong,Mapo-gu,4.0,-,1,-,-,-,2,-,-,-,-,1
Mok 1(il)-dong,Yangcheon-gu,16.0,5,1,-,-,-,8,-,-,-,-,2
Mok 2(i)-dong,Yangcheon-gu,18.0,5,-,-,-,-,12,-,-,1,-,-
Mok 3(sam)-dong,Yangcheon-gu,20.0,7,-,-,-,-,11,1,-,-,-,1
Mok 4(sa)-dong,Yangcheon-gu,21.0,5,1,-,-,-,13,1,-,-,-,1
Sinwol 1(il)-dong,Yangcheon-gu,19.0,7,-,-,-,-,11,-,-,-,-,1
Sinwol 2(i)-dong,Yangcheon-gu,10.0,3,-,-,-,-,6,-,-,-,-,1
Sinwol 3(sam)-dong,Yangcheon-gu,11.0,3,-,-,-,-,7,-,-,-,-,1
Sinwol 4(sa)-dong,Yangcheon-gu,7.0,-,-,-,-,-,5,-,-,-,1,1
Sinwol 5(o)-dong,Yangcheon-gu,7.0,1,-,-,-,-,6,-,-,-,-,-
Sinwol 6(yuk)-dong,Yangcheon-gu,7.0,2,-,-,-,-,4,-,-,-,-,1
Sinwol 7(chil)-dong,Yangcheon-gu,14.0,2,1,-,-,-,10,-,-,-,-,1
Sinjeong 1(il)-dong,Yangcheon-gu,7.0,3,2,-,-,-,1,-,-,-,-,1
Sinjeong 2(i)-dong,Yangcheon-gu,9.0,2,-,-,-,-,6,-,-,1,-,-
Sinjeong 3(sam)-dong,Yangcheon-gu,17.0,4,-,-,-,1,11,-,-,-,-,1
Sinjeong 6(yuk)-dong,Yangcheon-gu,7.0,2,-,-,-,1,3,-,-,-,-,1
Sinjeong 7(chil)-dong,Yangcheon-gu,6.0,-,-,-,-,-,5,-,-,-,-,1
Mok 5(o)-dong,Yangcheon-gu,9.0,2,1,-,-,-,6,-,-,-,-,-
Sinjeong 4(sa)-dong,Yangcheon-gu,28.0,7,1,-,-,1,15,-,-,-,-,4
Yeomchang-dong,Gangseo-gu,8.0,1,2,-,-,-,4,-,-,-,-,1
Deungchon 1(il)-dong,Gangseo-gu,13.0,4,-,-,-,-,8,-,-,-,-,1
Deungchon 2(i)-dong,Gangseo-gu,8.0,5,-,-,-,-,2,-,-,-,-,1
Deungchon 3(sam)-dong,Gangseo-gu,11.0,-,-,-,-,-,11,-,-,-,-,-
Hwagokbon-dong,Gangseo-gu,13.0,4,-,1,-,-,8,-,-,-,-,-
Hwagok 2(i)-dong,Gangseo-gu,8.0,3,-,-,-,-,4,-,-,-,1,-
Hwagok 3(sam)-dong,Gangseo-gu,8.0,4,-,-,-,-,3,-,-,-,1,-
Hwagok 4(sa)-dong,Gangseo-gu,9.0,2,-,1,-,-,6,-,-,-,-,-
Hwagok 6(yuk)-dong,Gangseo-gu,14.0,4,-,-,-,-,8,-,-,1,-,1
Hwagok 8(pal)-dong,Gangseo-gu,10.0,6,1,-,-,-,3,-,-,-,-,-
Gayang 1(il)-dong,Gangseo-gu,15.0,6,1,-,-,-,8,-,-,-,-,-
Gayang 2(i)-dong,Gangseo-gu,5.0,3,-,-,-,-,2,-,-,-,-,-
Gayang 3(sam)-dong,Gangseo-gu,3.0,-,1,-,-,-,1,-,-,-,1,-
Balsan 1(il)-dong,Gangseo-gu,10.0,2,-,-,-,-,6,-,-,1,-,1
Gonghang-dong,Gangseo-gu,15.0,5,-,-,-,-,8,-,-,-,-,2
Banghwa 1(il)-dong,Gangseo-gu,12.0,2,2,-,-,-,5,1,-,1,-,1
Banghwa 2(i)-dong,Gangseo-gu,28.0,7,2,1,-,-,13,1,-,-,3,1
Banghwa 3(sam)-dong,Gangseo-gu,10.0,3,-,-,-,-,6,-,-,-,1,-
Hwagok 1(il)-dong,Gangseo-gu,22.0,10,-,-,-,-,11,-,-,-,-,1
Ujangsan-dong,Gangseo-gu,20.0,9,2,-,-,-,7,1,-,-,1,-
Sindorim-dong,Guro-gu,10.0,3,-,-,-,-,6,-,-,-,1,-
Guro 1(il)-dong,Guro-gu,6.0,2,-,-,-,-,2,1,-,-,-,1
Guro 3(sam)-dong,Guro-gu,28.0,9,3,1,-,-,14,1,-,-,-,-
Guro 4(sa)-dong,Guro-gu,13.0,2,-,-,-,-,9,-,-,1,1,-
Guro 5(o)-dong,Guro-gu,18.0,6,-,1,-,-,10,-,-,-,-,1
Gocheok 1(il)-dong,Guro-gu,15.0,2,1,-,-,-,9,-,-,1,1,1
Gocheok 2(i)-dong,Guro-gu,13.0,5,-,-,-,-,7,-,-,-,-,1
Gaebong 2(i)-dong,Guro-gu,15.0,8,-,-,-,-,6,-,-,1,-,-
Gaebong 3(sam)-dong,Guro-gu,12.0,2,-,-,-,-,10,-,-,-,-,-
Oryu 1(il)-dong,Guro-gu,7.0,1,-,-,-,-,5,-,-,-,1,-
Oryu 2(i)-dong,Guro-gu,17.0,4,-,-,-,-,9,-,-,1,-,3
Sugung-dong,Guro-gu,22.0,5,6,-,-,-,9,-,-,-,-,2
Garibong-dong,Guro-gu,13.0,6,-,-,-,-,5,-,-,-,2,-
Guro 2(i)-dong,Guro-gu,30.0,6,3,-,-,-,18,1,-,-,-,2
Gaebong 1(il)-dong,Guro-gu,19.0,7,2,-,1,-,7,-,-,-,-,2
Gasan-dong,Geumcheon-gu,27.0,8,3,-,1,-,10,-,-,-,3,2
Doksan 1(il)-dong,Geumcheon-gu,25.0,3,4,1,-,-,11,-,-,-,1,5
Doksan 2(i)-dong,Geumcheon-gu,10.0,2,1,-,-,-,7,-,-,-,-,-
Doksan 3(sam)-dong,Geumcheon-gu,13.0,3,-,-,-,-,8,-,-,-,-,2
Doksan 4(sa)-dong,Geumcheon-gu,12.0,5,-,-,-,-,6,-,-,-,-,1
Siheung 1(il)-dong,Geumcheon-gu,24.0,7,1,-,1,1,11,-,-,1,-,2
Siheung 2(i)-dong,Geumcheon-gu,8.0,2,1,-,-,-,4,-,-,-,-,1
Siheung 3(sam)-dong,Geumcheon-gu,6.0,1,-,-,-,-,4,-,-,-,-,1
Siheung 4(sa)-dong,Geumcheon-gu,12.0,1,1,-,-,-,9,-,-,-,1,-
Siheung 5(o)-dong,Geumcheon-gu,7.0,4,1,-,-,-,2,-,-,-,-,-
Yeouido-dong,Yeongdeungpo-gu,24.0,5,1,-,-,-,14,-,-,-,-,4
Dangsan 1(il)-dong,Yeongdeungpo-gu,11.0,5,-,-,-,-,4,-,-,-,1,1
Dangsan2(i)-dong,Yeongdeungpo-gu,12.0,5,-,-,-,-,5,-,-,-,1,1
Yangpyeong 1(il)-dong,Yeongdeungpo-gu,8.0,3,-,-,-,-,3,-,-,-,-,2
Yangpyeong 2(i)-dong,Yeongdeungpo-gu,6.0,-,1,-,-,-,5,-,-,-,-,-
Singil 1(il)-dong,Yeongdeungpo-gu,10.0,3,2,-,-,-,3,-,-,1,1,-
Singil 3(sam)-dong,Yeongdeungpo-gu,6.0,2,-,-,-,-,2,-,-,-,2,-
Singil 4(sa)-dong,Yeongdeungpo-gu,9.0,4,1,-,-,-,2,-,-,-,-,2
Singil 5(o)-dong,Yeongdeungpo-gu,3.0,-,-,-,-,-,3,-,-,-,-,-
Singil 6(yuk)-dong,Yeongdeungpo-gu,20.0,7,2,-,-,-,7,-,-,-,1,3
Singil 7(chil)-dong,Yeongdeungpo-gu,3.0,-,-,-,-,-,3,-,-,-,-,-
Daerim 1(il)-dong,Yeongdeungpo-gu,6.0,1,-,-,-,-,3,-,-,-,1,1
Daerim 2(i)-dong,Yeongdeungpo-gu,5.0,-,-,-,-,-,4,-,-,-,1,-
Daerim 3(sam)-dong,Yeongdeungpo-gu,13.0,3,-,-,-,-,8,-,-,-,2,-
Yeongdeungpobon-dong,Yeongdeungpo-gu,11.0,3,-,-,-,-,7,-,-,-,1,-
Yeongdeungpo-dong,Yeongdeungpo-gu,37.0,9,1,-,-,-,13,-,-,2,7,5
Dorim-dong,Yeongdeungpo-gu,11.0,3,-,-,-,-,6,-,-,-,2,-
Mullae-dong,Yeongdeungpo-gu,24.0,7,3,-,-,-,10,-,-,-,-,4
Noryangjin 2(i)-dong,Dongjak-gu,5.0,1,-,-,-,-,4,-,-,-,-,-
Sangdo 1(il)-dong,Dongjak-gu,15.0,4,1,-,-,-,7,-,-,-,-,3
Sangdo 2(i)-dong,Dongjak-gu,12.0,4,-,-,-,-,7,-,-,-,-,1
Sangdo 3(sam)-dong,Dongjak-gu,7.0,-,-,-,-,-,7,-,-,-,-,-
Sangdo 4(sa)-dong,Dongjak-gu,11.0,5,-,-,-,-,6,-,-,-,-,-
Sadang 1(il)-dong,Dongjak-gu,13.0,5,-,-,-,-,8,-,-,-,-,-
Sadang 3(sam)-dong,Dongjak-gu,5.0,1,-,-,-,-,4,-,-,-,-,-
Sadang 4(sa)-dong,Dongjak-gu,4.0,3,1,-,-,-,-,-,-,-,-,-
Sadang 5(o)-dong,Dongjak-gu,5.0,3,-,-,-,-,2,-,-,-,-,-
Daebang-dong,Dongjak-gu,20.0,9,-,-,-,-,10,-,-,-,1,-
Sindaebang 1(il)-dong,Dongjak-gu,7.0,1,-,-,-,-,6,-,-,-,-,-
Sindaebang 2(i)-dong,Dongjak-gu,3.0,-,-,-,-,-,3,-,-,-,-,-
Heukseok-dong,Dongjak-gu,16.0,4,-,-,-,1,9,-,-,-,1,1
Noryangjin 1(il)-dong,Dongjak-gu,19.0,8,1,-,-,-,9,-,-,-,-,1
Sadang 2(i)-dong,Dongjak-gu,17.0,4,2,-,-,-,10,-,-,-,1,-
Boramae-dong,Gwanak-gu,19.0,4,2,-,-,1,12,-,-,-,-,-
Cheongnim-dong,Gwanak-gu,5.0,1,-,-,-,-,4,-,-,-,-,-
Haengun-dong,Gwanak-gu,10.0,3,-,-,-,-,6,-,-,-,-,1
Nagseongdae-dong,Gwanak-gu,16.0,2,1,-,-,-,12,-,-,-,-,1
Jungang-dong,Gwanak-gu,12.0,4,-,-,-,-,7,-,-,-,-,1
Inheon-dong,Gwanak-gu,12.0,1,-,-,-,-,11,-,-,-,-,-
Namhyeon-dong,Gwanak-gu,14.0,6,-,-,-,1,6,-,-,-,1,-
Sewon-dong,Gwanak-gu,20.0,7,1,-,-,-,11,-,-,-,1,-
Sinwon-dong,Gwanak-gu,10.0,3,-,-,-,-,6,-,-,-,1,-
Serim-dong,Gwanak-gu,16.0,3,-,-,-,-,12,-,-,1,-,-
Sinsa-dong,Gwanak-gu,16.0,4,1,-,-,-,10,-,-,-,1,-
Sillim-dong,Gwanak-gu,18.0,7,1,-,-,-,10,-,-,-,-,-
Nanhyang-dong,Gwanak-gu,4.0,1,-,-,-,-,2,-,-,-,1,-
Jowon-dong,Gwanak-gu,16.0,5,1,-,-,-,8,-,-,-,1,1
Daehak-dong,Gwanak-gu,14.0,2,-,-,-,-,10,-,-,1,-,1
Euncheon-dong,Gwanak-gu,12.0,5,-,-,-,-,4,-,-,-,2,1
Seonghyeon-dong,Gwanak-gu,11.0,4,-,-,-,-,6,-,-,-,-,1
Cheongnyong-dong,Gwanak-gu,19.0,1,-,-,-,-,14,1,-,-,1,2
Nangok-dong,Gwanak-gu,21.0,4,-,-,-,-,16,-,-,-,1,-
Samseong-dong,Gwanak-gu,15.0,5,-,-,-,-,8,-,-,-,2,-
Miseong-dong,Gwanak-gu,19.0,3,-,-,-,-,14,-,-,1,1,-
Seocho 1(il)-dong,Seocho-gu,6.0,3,-,-,-,-,3,-,-,-,-,-
Seocho 2(i)-dong,Seocho-gu,18.0,5,-,-,-,-,8,-,-,-,-,5
Seocho 3(sam)-dong,Seocho-gu,21.0,4,4,-,-,-,12,-,-,-,-,1
Seocho 4(sa)-dong,Seocho-gu,17.0,8,-,-,-,1,6,-,-,1,-,1
Jamwon-dong,Seocho-gu,15.0,4,2,-,-,-,6,1,-,1,-,1
Banpobon-dong,Seocho-gu,5.0,2,-,-,-,-,2,-,-,-,1,-
Banpo 1(il)-dong,Seocho-gu,16.0,5,2,-,-,-,8,-,-,1,-,-
Banpo 2(i)-dong,Seocho-gu,2.0,1,1,-,-,-,-,-,-,-,-,-
Banpo 3(sam)-dong,Seocho-gu,4.0,1,-,-,-,-,3,-,-,-,-,-
Banpo 4(sa)-dong,Seocho-gu,10.0,1,1,-,1,-,7,-,-,-,-,-
Bangbaebon-dong,Seocho-gu,7.0,2,1,-,-,-,2,-,-,-,-,2
Bangbae 1(il)-dong,Seocho-gu,9.0,4,-,-,-,-,4,-,-,-,-,1
Bangbae 2(i)-dong,Seocho-gu,10.0,4,1,-,-,-,5,-,-,-,-,-
Bangbae 3(sam)-dong,Seocho-gu,10.0,2,1,-,-,-,5,-,-,-,-,2
Bangbae 4(sa)-dong,Seocho-gu,5.0,3,-,-,-,-,2,-,-,-,-,-
Yangjae 1(il)-dong,Seocho-gu,25.0,10,3,-,-,1,10,-,-,-,1,-
Yangjae 2(i)-dong,Seocho-gu,23.0,5,5,-,-,1,11,1,-,-,-,-
Naegok-dong,Seocho-gu,13.0,1,-,-,-,-,6,-,-,-,1,5
Sinsa-dong,Gangnam-gu,29.0,11,4,-,-,1,13,-,-,-,-,-
Nonhyeon 1(il)-dong,Gangnam-gu,42.0,16,-,-,-,-,23,-,-,-,1,2
Nonhyeon 2(i)-dong,Gangnam-gu,33.0,11,-,1,-,-,16,-,-,-,1,4
Samseong 1(il)-dong,Gangnam-gu,10.0,4,2,-,-,-,3,-,-,-,-,1
Samseong 2(i)-dong,Gangnam-gu,16.0,3,-,-,-,-,11,-,-,-,1,1
Daechi 1(il)-dong,Gangnam-gu,7.0,1,1,-,-,-,4,-,-,-,-,1
Daechi 4(sa)-dong,Gangnam-gu,21.0,7,1,-,-,-,13,-,-,-,-,-
Yeoksam 1(il)-dong,Gangnam-gu,56.0,17,1,1,-,2,30,-,-,-,2,3
Yeoksam 2(i)-dong,Gangnam-gu,16.0,5,1,1,-,-,8,-,-,-,-,1
Dogok 1(il)-dong,Gangnam-gu,12.0,7,-,-,-,-,3,-,-,1,-,1
Dogok 2(i)-dong,Gangnam-gu,8.0,2,2,-,-,-,2,-,-,-,-,2
Gaepo 1(il)-dong,Gangnam-gu,15.0,3,1,-,-,-,11,-,-,-,-,-
Gaepo 4(sa)-dong,Gangnam-gu,20.0,10,2,-,-,-,6,-,-,-,-,2
Irwonbon-dong,Gangnam-gu,6.0,3,-,-,-,1,1,-,-,-,-,1
Irwon 1(il)-dong,Gangnam-gu,9.0,2,-,1,-,1,5,-,-,-,-,-
Irwon 2(i)-dong,Gangnam-gu,5.0,1,1,-,-,-,3,-,-,-,-,-
Suseo-dong,Gangnam-gu,9.0,-,1,-,-,-,5,-,-,-,3,-
Segok-dong,Gangnam-gu,13.0,3,3,-,-,-,6,-,-,-,-,1
Apgujeong -dong,Gangnam-gu,32.0,13,2,-,-,-,16,-,-,-,1,-
Cheongdam -dong,Gangnam-gu,29.0,5,3,1,-,-,20,-,-,-,-,-
Daechi 2(i)-dong,Gangnam-gu,20.0,8,1,-,-,-,10,-,-,-,-,1
Gaepo 2(i)-dong,Gangnam-gu,13.0,2,1,-,1,-,8,-,-,-,-,1
Pungnap 1(il)-dong,Songpa-gu,8.0,3,-,-,-,-,2,-,-,-,2,1
Pungnap 2(i)-dong,Songpa-gu,18.0,5,1,-,-,1,10,-,-,-,-,1
Geoyeo 1(il)-dong,Songpa-gu,9.0,4,-,-,-,-,5,-,-,-,-,-
Geoyeo 2(i)-dong,Songpa-gu,12.0,2,-,-,-,-,8,-,-,-,2,-
Macheon 1(il)-dong,Songpa-gu,8.0,3,-,-,-,-,2,-,-,-,1,2
Macheon 2(i)-dong,Songpa-gu,13.0,1,-,-,-,-,11,-,-,-,1,-
Bangi 1(il)-dong,Songpa-gu,4.0,3,-,-,-,-,1,-,-,-,-,-
Bangi 2(i)-dong,Songpa-gu,22.0,8,-,1,-,-,11,-,-,-,1,1
Oryun-dong,Songpa-gu,6.0,2,-,-,-,-,3,-,-,-,-,1
Ogeum-dong,Songpa-gu,17.0,5,-,-,-,-,10,-,-,-,2,-
Songpa 1(il)-dong,Songpa-gu,14.0,6,-,-,-,-,6,-,-,-,-,2
Songpa 2(i)-dong,Songpa-gu,4.0,2,-,-,-,-,1,-,-,-,-,1
Seokchon-dong,Songpa-gu,27.0,8,-,-,-,-,17,-,-,-,-,2
Samjeon-dong,Songpa-gu,11.0,3,2,-,-,-,3,1,-,-,1,1
Garakbon-dong,Songpa-gu,19.0,4,2,-,-,-,10,-,-,-,-,3
Garak 1(il)-dong,Songpa-gu,12.0,6,-,-,-,-,3,-,-,-,-,3
Garak 2(i)-dong,Songpa-gu,15.0,4,1,-,-,-,8,-,-,-,2,-
Munjeong 1(il)-dong,Songpa-gu,11.0,5,1,-,-,-,5,-,-,-,-,-
Munjeong 2(i)-dong,Songpa-gu,12.0,5,2,-,-,1,3,-,-,1,-,-
Jangji-dong,Songpa-gu,15.0,4,-,-,-,1,8,-,-,-,1,1
Jamsilbon-dong,Songpa-gu,25.0,12,-,-,-,-,10,-,-,1,2,-
Jamsil 4(sa)-dong,Songpa-gu,3.0,-,-,-,-,-,2,-,-,-,-,1
Jamsil 6(yuk)-dong,Songpa-gu,5.0,1,-,-,-,-,3,-,-,-,-,1
Jamsil 7(chil)-dong,Songpa-gu,1.0,-,-,-,-,-,1,-,-,-,-,-
Jamsil 2(i)-dong,Songpa-gu,7.0,2,2,-,-,-,2,-,-,-,1,-
Jamsil 3(sam)-dong,Songpa-gu,6.0,2,1,-,-,-,3,-,-,-,-,-
Gangil-dong,Gangdong-gu,11.0,3,3,-,-,-,3,-,-,-,1,1
Sangil-dong,Gangdong-gu,8.0,3,1,-,-,-,4,-,-,-,-,-
Myeongil 1(il)-dong,Gangdong-gu,16.0,7,2,-,-,-,6,-,-,-,-,1
Myeongil 2(i)-dong,Gangdong-gu,4.0,1,-,-,-,-,2,-,-,-,-,1
Godeok 1(il)-dong,Gangdong-gu,6.0,3,1,-,-,-,1,-,-,-,1,-
Godeok 2(i)-dong,Gangdong-gu,3.0,1,-,-,-,-,1,-,-,-,1,-
Amsa 2(i)-dong,Gangdong-gu,6.0,3,1,-,-,-,2,-,-,-,-,-
Amsa 3(sam)-dong,Gangdong-gu,5.0,2,1,-,-,-,2,-,-,-,-,-
Cheonho 1(il)-dong,Gangdong-gu,10.0,2,-,-,-,-,6,-,-,-,1,1
Cheonho 3(sam)-dong,Gangdong-gu,20.0,10,1,-,-,-,9,-,-,-,-,-
Seongnae 1(il)-dong,Gangdong-gu,12.0,4,-,-,-,-,8,-,-,-,-,-
Seongnae 2(i)-dong,Gangdong-gu,15.0,9,-,-,-,-,6,-,-,-,-,-
Seongnae 3(sam)-dong,Gangdong-gu,17.0,7,1,-,-,-,6,-,-,-,-,3
Dunchon 2(i)-dong,Gangdong-gu,20.0,6,-,-,-,-,12,1,-,-,-,1
Amsa 1(il)-dong,Gangdong-gu,16.0,4,2,-,-,-,9,-,-,-,1,-
Cheonho 2(i)-dong,Gangdong-gu,29.0,13,-,-,-,-,13,-,-,-,2,1
Gil-dong,Gangdong-gu,27.0,9,-,-,-,-,16,1,-,-,1,-
